"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
1,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",1,"Balé","BF.BO.BA",NA,"","Province","Province","","Bale"
2,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",2,"Banwa","BF.BO.BW",NA,"","Province","Province","",""
3,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",3,"Kossi","BF.BO.KS",NA,"","Province","Province","",""
4,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",4,"Mouhoun","BF.BO.MO",NA,"","Province","Province","",""
5,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",5,"Nayala","BF.BO.NY",NA,"","Province","Province","",""
6,38,"BFA","Burkina Faso",1,"Boucle du Mouhoun",6,"Sourou","BF.BO.SR",NA,"","Province","Province","",""
7,38,"BFA","Burkina Faso",2,"Cascades",7,"Comoé","BF.CD.KM",NA,"","Province","Province","","Comoe"
8,38,"BFA","Burkina Faso",2,"Cascades",8,"Léraba","BF.CD.LE",NA,"","Province","Province","","Leraba"
9,38,"BFA","Burkina Faso",3,"Centre-Est",9,"Boulgou","BF.CE.BL",NA,"","Province","Province","",""
10,38,"BFA","Burkina Faso",3,"Centre-Est",10,"Koulpélogo","BF.CE.KL",NA,"","Province","Province","","Koulpelogo"
11,38,"BFA","Burkina Faso",3,"Centre-Est",11,"Kouritenga","BF.CE.KR",NA,"","Province","Province","",""
12,38,"BFA","Burkina Faso",4,"Centre-Nord",12,"Bam","BF.CN.BM",NA,"","Province","Province","",""
13,38,"BFA","Burkina Faso",4,"Centre-Nord",13,"Namentenga","BF.CN.NM",NA,"","Province","Province","",""
14,38,"BFA","Burkina Faso",4,"Centre-Nord",14,"Sanmatenga","BF.CN.ST",NA,"","Province","Province","",""
15,38,"BFA","Burkina Faso",5,"Centre-Ouest",15,"Boulkiemdé","BF.CO.BK",NA,"","Province","Province","","Boulkiemde"
16,38,"BFA","Burkina Faso",5,"Centre-Ouest",16,"Sanguié","BF.CO.SG",NA,"","Province","Province","","Sanguie"
17,38,"BFA","Burkina Faso",5,"Centre-Ouest",17,"Sissili","BF.CO.SS",NA,"","Province","Province","",""
18,38,"BFA","Burkina Faso",5,"Centre-Ouest",18,"Ziro","BF.CO.ZR",NA,"","Province","Province","",""
19,38,"BFA","Burkina Faso",6,"Centre-Sud",19,"Bazèga","BF.CS.BZ",NA,"","Province","Province","","Bazega"
20,38,"BFA","Burkina Faso",6,"Centre-Sud",20,"Nahouri","BF.CS.NR",NA,"","Province","Province","",""
21,38,"BFA","Burkina Faso",6,"Centre-Sud",21,"Zoundwéogo","BF.CS.ZW",NA,"","Province","Province","","Zoundweogo"
22,38,"BFA","Burkina Faso",7,"Centre",22,"Kadiogo","BF.CT.KA",NA,"","Province","Province","",""
23,38,"BFA","Burkina Faso",8,"Est",23,"Gnagna","BF.ES.GG",NA,"","Province","Province","",""
24,38,"BFA","Burkina Faso",8,"Est",24,"Gourma","BF.ES.GM",NA,"","Province","Province","",""
25,38,"BFA","Burkina Faso",8,"Est",25,"Komandjoari","BF.ES.KJ",NA,"","Province","Province","","Komonjdjari"
26,38,"BFA","Burkina Faso",8,"Est",26,"Kompienga","BF.ES.KP",NA,"","Province","Province","",""
27,38,"BFA","Burkina Faso",8,"Est",27,"Tapoa","BF.ES.TA",NA,"","Province","Province","",""
28,38,"BFA","Burkina Faso",9,"Haut-Bassins",28,"Houet","BF.HB.HO",NA,"","Province","Province","",""
29,38,"BFA","Burkina Faso",9,"Haut-Bassins",29,"Kénédougou","BF.HB.KN",NA,"","Province","Province","","Kenedougou"
30,38,"BFA","Burkina Faso",9,"Haut-Bassins",30,"Tuy","BF.HB.TU",NA,"","Province","Province","",""
31,38,"BFA","Burkina Faso",10,"Nord",31,"Loroum","BF.NO.LO",NA,"","Province","Province","",""
32,38,"BFA","Burkina Faso",10,"Nord",32,"Passoré","BF.NO.PA",NA,"","Province","Province","","Passore"
33,38,"BFA","Burkina Faso",10,"Nord",33,"Yatenga","BF.NO.YT",NA,"","Province","Province","",""
34,38,"BFA","Burkina Faso",10,"Nord",34,"Zondoma","BF.NO.ZM",NA,"","Province","Province","",""
35,38,"BFA","Burkina Faso",11,"Plateau-Central",35,"Ganzourgou","BF.PC.GZ",NA,"","Province","Province","",""
36,38,"BFA","Burkina Faso",11,"Plateau-Central",36,"Kourwéogo","BF.PC.KW",NA,"","Province","Province","","Kourweogo"
