"","Time","Treatment_Rate","Run_Number","Blood_Smear_Parasite_Prevalence","PCR_Parasite_Prevalence","PfHRP2_Prevalence","node_id","Births"
"12411",1,0.7,3,0.327826887694956,0.345086870297418,0.345635547403409,1,1
"12412",2,0.7,3,0.325795225708738,0.346570223105786,0.347667209389627,1,1
"12413",3,0.7,3,0.323764767951552,0.348053107399951,0.349697667146812,1,1
"12414",4,0.7,3,0.321736116091854,0.349535289015293,0.351726319006511,1,1
"12415",5,0.7,3,0.319709871262971,0.351016533898153,0.353752563835394,1,1
"12416",6,0.7,3,0.317686633884975,0.352496608142792,0.35577580121339,1,1
"12417",7,0.7,3,0.315667003486767,0.353975278028331,0.357795431611598,1,1
"12418",8,0.7,3,0.313651578528421,0.355452310055652,0.359810856569944,1,1
"12419",9,0.7,3,0.311640956223849,0.356927470984277,0.361821478874516,1,1
"12420",10,0.7,3,0.309635732363832,0.358400527869194,0.363826702734533,1,1
"12421",11,0.7,3,0.307636501139476,0.359871248097644,0.365825933958889,1,1
"12422",12,0.7,3,0.30564385496614,0.361339399425855,0.367818580132225,1,1
"12423",13,0.7,3,0.30365838430789,0.362804750015713,0.369804050790475,1,1
"12424",14,0.7,3,0.301680677502532,0.364267068471372,0.371781757595833,1,1
"12425",15,0.7,3,0.299711320587275,0.365726123875796,0.37375111451109,1,1
"12426",16,0.7,3,0.297750897125075,0.367181685827224,0.37571153797329,1,1
"12427",17,0.7,3,0.295799988031713,0.36863352447555,0.377662447066652,1,1
"12428",18,0.7,3,0.293859171403658,0.37008141055862,0.379603263694707,1,1
"12429",19,0.7,3,0.291929022346762,0.371525115438439,0.381533412751603,1,1
"12430",20,0.7,3,0.290010112805848,0.372964411137269,0.383452322292517,1,1
"12431",21,0.7,3,0.288103011395226,0.374399070373635,0.385359423703139,1,1
"12432",22,0.7,3,0.286208283230202,0.375828866598212,0.387254151868163,1,1
"12433",23,0.7,3,0.284326489759623,0.377253574029603,0.389135945338742,1,1
"12434",24,0.7,3,0.282458188599508,0.378672967689986,0.391004246498857,1,1
"12435",25,0.7,3,0.28060393336781,0.38008682344065,0.392858501730554,1,1
"12436",26,0.7,3,0.278764273520374,0.381494918017382,0.394698161577991,1,1
"12437",27,0.7,3,0.276939754188115,0.382897029065724,0.39652268091025,1,1
"12438",28,0.7,3,0.275130916015488,0.384292935176089,0.398331519082877,1,1
"12439",29,0.7,3,0.273338295000281,0.385682415918719,0.400124140098084,1,1
"12440",30,0.7,3,0.271562422334789,0.387065251878499,0.401900012763576,1,1
"12441",31,0.7,3,0.269803824248409,0.388441224689599,0.403658610849956,1,1
"12442",32,0.7,3,0.268063021851707,0.389810117069962,0.405399413246657,1,1
"12443",33,0.7,3,0.266340530982005,0.391171712855612,0.40712190411636,1,1
"12444",34,0.7,3,0.26463686205052,0.392525797034792,0.408825573047845,1,1
"12445",35,0.7,3,0.262952519891125,0.393872155781911,0.41050991520724,1,1
"12446",36,0.7,3,0.261288003610753,0.395210576491316,0.412174431487611,1,1
"12447",37,0.7,3,0.259643806441502,0.396540847810862,0.413818628656863,1,1
"12448",38,0.7,3,0.258020415594477,0.397862759675286,0.415442019503888,1,1
"12449",39,0.7,3,0.256418312115421,0.399176103339382,0.417044122982944,1,1
"12450",40,0.7,3,0.254837970742173,0.400480671410958,0.418624464356192,1,1
"12451",41,0.7,3,0.253279859763986,0.401776257883595,0.420182575334379,1,1
"12452",42,0.7,3,0.251744440882772,0.403062658169169,0.421717994215593,1,1
"12453",43,0.7,3,0.250232169076281,0.404339669130163,0.423230266022084,1,1
"12454",44,0.7,3,0.248743492463287,0.405607089111741,0.424718942635078,1,1
"12455",45,0.7,3,0.247278852170799,0.406864717973598,0.426183582927566,1,1
"12456",46,0.7,3,0.245838682203345,0.408112357121556,0.427623752895019,1,1
"12457",47,0.7,3,0.244423409314369,0.409349809538931,0.429039025783996,1,1
"12458",48,0.7,3,0.24303345287977,0.410576879817641,0.430428982218595,1,1
"12459",49,0.7,3,0.241669224773638,0.411793374189065,0.431793210324727,1,1
"12460",50,0.7,3,0.240331129246204,0.412999100554639,0.43313130585216,1,1
"12461",51,0.7,3,0.239019562804051,0.414193868516193,0.434442872294314,1,1
"12462",52,0.7,3,0.237734914092622,0.415377489406016,0.435727521005743,1,1
"12463",53,0.7,3,0.236477563781054,0.416549776316648,0.436984871317311,1,1
"12464",54,0.7,3,0.235247884449381,0.417710544130397,0.438214550648984,1,1
"12465",55,0.7,3,0.234046240478127,0.418859609548568,0.439416194620237,1,1
"12466",56,0.7,3,0.232872987940336,0.419996791120412,0.440589447158029,1,1
"12467",57,0.7,3,0.231728474496054,0.421121909271775,0.441733960602311,1,1
"12468",58,0.7,3,0.230613039289316,0.42223478633346,0.442849395809049,1,1
"12469",59,0.7,3,0.229527012847646,0.423335246569276,0.443935422250719,1,1
"12470",60,0.7,3,0.228470716984118,0.424423116203797,0.444991718114246,1,1
"12471",61,0.7,3,0.227444464701993,0.425498223449795,0.446017970396372,1,1
"12472",62,0.7,3,0.22644856010197,0.426560398535374,0.447013874996395,1,1
"12473",63,0.7,3,0.225483298292076,0.427609473730774,0.447979136806289,1,1
"12474",64,0.7,3,0.224548965300217,0.42864528337486,0.448913469798148,1,1
"12475",65,0.7,3,0.223645837989423,0.429667663901283,0.449816597108942,1,1
"12476",66,0.7,3,0.222774183975807,0.430676453864305,0.450688251122558,1,1
"12477",67,0.7,3,0.221934261549265,0.431671493964297,0.4515281735491,1,1
"12478",68,0.7,3,0.22112631959694,0.432652627072893,0.452336115501425,1,1
"12479",69,0.7,3,0.220350597529468,0.433619698257801,0.453111837568897,1,1
"12480",70,0.7,3,0.21960732521004,0.434572554807269,0.453855109888325,1,1
"12481",71,0.7,3,0.218896722886285,0.435511046254204,0.45456571221208,1,1
"12482",72,0.7,3,0.218219001125008,0.436435024399926,0.455243433973357,1,1
"12483",73,0.7,3,0.217574360749793,0.437344343337575,0.455888074348572,1,1
"12484",74,0.7,3,0.216962992781495,0.43823885947515,0.45649944231687,1,1
"12485",75,0.7,3,0.216385078381638,0.439118431558182,0.457077356716727,1,1
"12486",76,0.7,3,0.215840788798732,0.439982920692044,0.457621646299633,1,1
"12487",77,0.7,3,0.215330285317525,0.44083219036388,0.458132149780839,1,1
"12488",78,0.7,3,0.214853719211218,0.441666106464164,0.458608715887147,1,1
"12489",79,0.7,3,0.214411231696633,0.442484537307876,0.459051203401732,1,1
"12490",80,0.7,3,0.21400295389237,0.443287353655298,0.459459481205995,1,1
"12491",81,0.7,3,0.213629006779953,0.444074428732424,0.459833428318412,1,1
"12492",82,0.7,3,0.213289501167983,0.444845638250973,0.460172933930382,1,1
"12493",83,0.7,3,0.212984537659299,0.445600860428024,0.460477897439065,1,1
"12494",84,0.7,3,0.212714206621172,0.446339976005239,0.460748228477193,1,1
"12495",85,0.7,3,0.212478588158521,0.447062868267701,0.460983846939844,1,1
"12496",86,0.7,3,0.212277752090182,0.447769423062341,0.461184683008183,1,1
"12497",87,0.7,3,0.212111757928217,0.448459528815966,0.461350677170148,1,1
"12498",88,0.7,3,0.211980654860277,0.449133076552879,0.461481780238087,1,1
"12499",89,0.7,3,0.211884481735033,0.449789959912083,0.461577953363332,1,1
"12500",90,0.7,3,0.211823267050656,0.450430075164082,0.461639168047709,1,1
"12501",91,0.7,3,0.211797028946379,0.451053321227256,0.461665406151986,1,1
"12502",92,0.7,3,0.211805775197117,0.451659599683828,0.461656659901248,1,1
"12503",93,0.7,3,0.211849503211169,0.4522488147954,0.461612931887196,1,1
"12504",94,0.7,3,0.211928200030979,0.452820873518076,0.461534235067386,1,1
"12505",95,0.7,3,0.212041842336982,0.453375685517153,0.461420592761383,1,1
"12506",96,0.7,3,0.21219039645451,0.453913163181384,0.461272038643855,1,1
"12507",97,0.7,3,0.212373818363772,0.454433221636816,0.461088616734593,1,1
"12508",98,0.7,3,0.212592053712897,0.454935778760189,0.460870381385468,1,1
"12509",99,0.7,3,0.212845037834042,0.455420755191908,0.460617397264323,1,1
"12510",100,0.7,3,0.213132695762551,0.455888074348572,0.460329739335814,1,1
"12511",101,0.7,3,0.213454942259173,0.45633766243507,0.460007492839192,1,1
"12512",102,0.7,3,0.213811681835316,0.45676944845623,0.459650753263049,1,1
"12513",103,0.7,3,0.214202808781343,0.457183364228034,0.459259626317022,1,1
"12514",104,0.7,3,0.214628207197901,0.457579344388384,0.458834227900464,1,1
"12515",105,0.7,3,0.215087751030257,0.457957326407422,0.458374684068108,1,1
"12516",106,0.7,3,0.215581304105655,0.458317250597406,0.457881130992709,1,1
"12517",107,0.7,3,0.216108720173669,0.458659060122133,0.457353714924696,1,1
"12518",108,0.7,3,0.216669842949534,0.458982701005918,0.456792592148831,1,1
"12519",109,0.7,3,0.217264506160462,0.459288122142112,0.456197928937902,1,1
"12520",110,0.7,3,0.21789253359491,0.459575275301178,0.455569901503455,1,1
"12521",111,0.7,3,0.218553739154795,0.459844115138304,0.45490869594357,1,1
"12522",112,0.7,3,0.219247926910639,0.460094599200563,0.454214508187726,1,1
"12523",113,0.7,3,0.219974891159628,0.460326687933616,0.453487543938737,1,1
"12524",114,0.7,3,0.220734416486567,0.460540344687964,0.452728018611798,1,1
"12525",115,0.7,3,0.22152627782771,0.460735535724728,0.451936157270655,1,1
"12526",116,0.7,3,0.22235024053745,0.46091223022098,0.451112194560915,1,1
"12527",117,0.7,3,0.223206060457855,0.461070400274611,0.45025637464051,1,1
"12528",118,0.7,3,0.224093483991012,0.461210020908736,0.449368951107353,1,1
"12529",119,0.7,3,0.225012248174176,0.461331070075638,0.448450186924189,1,1
"12530",120,0.7,3,0.225962080757691,0.461433528660251,0.447500354340674,1,1
"12531",121,0.7,3,0.226942700285664,0.461517380483177,0.446519734812701,1,1
"12532",122,0.7,3,0.227953816179364,0.46158261230324,0.445508618919001,1,1
"12533",123,0.7,3,0.228995128823331,0.46162921381958,0.444467306275034,1,1
"12534",124,0.7,3,0.230066329654155,0.461657177673277,0.44339610544421,1,1
"12535",125,0.7,3,0.231167101251912,0.461666499448515,0.442295333846453,1,1
"12536",126,0.7,3,0.23229711743422,0.461657177673277,0.441165317664145,1,1
"12537",127,0.7,3,0.233456043352897,0.46162921381958,0.440006391745468,1,1
"12538",128,0.7,3,0.234643535593181,0.46158261230324,0.438818899505183,1,1
"12539",129,0.7,3,0.235859242275494,0.461517380483177,0.43760319282287,1,1
"12540",130,0.7,3,0.237102803159709,0.461433528660251,0.436359631938656,1,1
"12541",131,0.7,3,0.238373849751897,0.461331070075638,0.435088585346468,1,1
"12542",132,0.7,3,0.239672005413521,0.461210020908736,0.433790429684844,1,1
"12543",133,0.7,3,0.240996885473043,0.461070400274611,0.432465549625322,1,1
"12544",134,0.7,3,0.242348097339907,0.46091223022098,0.431114337758458,1,1
"12545",135,0.7,3,0.243725240620876,0.460735535724728,0.429737194477488,1,1
"12546",136,0.7,3,0.245127907238675,0.460540344687964,0.428334527859689,1,1
"12547",137,0.7,3,0.246555681552913,0.460326687933616,0.426906753545452,1,1
"12548",138,0.7,3,0.248008140483246,0.460094599200563,0.425454294615119,1,1
"12549",139,0.7,3,0.249484853634747,0.459844115138304,0.423977581463618,1,1
"12550",140,0.7,3,0.250985383425439,0.459575275301178,0.422477051672926,1,1
"12551",141,0.7,3,0.252509285215961,0.459288122142112,0.420953149882404,1,1
"12552",142,0.7,3,0.254056107441323,0.458982701005918,0.419406327657041,1,1
"12553",143,0.7,3,0.255625391744718,0.458659060122133,0.417837043353647,1,1
"12554",144,0.7,3,0.257216673113339,0.458317250597406,0.416245761985026,1,1
"12555",145,0.7,3,0.258829480016172,0.457957326407422,0.414632955082193,1,1
"12556",146,0.7,3,0.260463334543726,0.457579344388384,0.412999100554639,1,1
"12557",147,0.7,3,0.262117752549642,0.457183364228034,0.411344682548722,1,1
"12558",148,0.7,3,0.263792243794161,0.45676944845623,0.409670191304204,1,1
"12559",149,0.7,3,0.265486312089388,0.45633766243507,0.407976123008977,1,1
"12560",150,0.7,3,0.267199455446326,0.455888074348572,0.406262979652039,1,1
"12561",151,0.7,3,0.268931166223625,0.455420755191908,0.40453126887474,1,1
"12562",152,0.7,3,0.27068093127801,0.454935778760189,0.402781503820355,1,1
"12563",153,0.7,3,0.27244823211633,0.454433221636816,0.401014202982034,1,1
"12564",154,0.7,3,0.274232545049208,0.453913163181385,0.399229890049157,1,1
"12565",155,0.7,3,0.276033341346211,0.453375685517153,0.397429093752153,1,1
"12566",156,0.7,3,0.277850087392534,0.452820873518076,0.395612347705831,1,1
"12567",157,0.7,3,0.279682244847113,0.4522488147954,0.393780190251252,1,1
"12568",158,0.7,3,0.281529270802153,0.451659599683828,0.391933164296212,1,1
"12569",159,0.7,3,0.283390617944002,0.451053321227256,0.390071817154362,1,1
"12570",160,0.7,3,0.285265734715332,0.450430075164082,0.388196700383033,1,1
"12571",161,0.7,3,0.287154065478573,0.449789959912083,0.386308369619791,1,1
"12572",162,0.7,3,0.289055050680568,0.449133076552879,0.384407384417797,1,1
"12573",163,0.7,3,0.290968127018375,0.448459528815966,0.38249430807999,1,1
"12574",164,0.7,3,0.292892727606186,0.447769423062341,0.380569707492179,1,1
"12575",165,0.7,3,0.294828282143312,0.447062868267701,0.378634152955053,1,1
"12576",166,0.7,3,0.296774217083171,0.446339976005239,0.376688218015194,1,1
"12577",167,0.7,3,0.298729955803242,0.445600860428024,0.374732479295123,1,1
"12578",168,0.7,3,0.300694918775936,0.444845638250973,0.372767516322429,1,1
"12579",169,0.7,3,0.302668523740315,0.444074428732424,0.370793911358049,1,1
"12580",170,0.7,3,0.304650185874636,0.443287353655298,0.368812249223729,1,1
"12581",171,0.7,3,0.30663931796964,0.442484537307876,0.366823117128725,1,1
"12582",172,0.7,3,0.308635330602557,0.441666106464164,0.364827104495808,1,1
"12583",173,0.7,3,0.310637632311768,0.44083219036388,0.362824802786596,1,1
"12584",174,0.7,3,0.312645629772064,0.439982920692044,0.360816805326301,1,1
"12585",175,0.7,3,0.314658727970459,0.439118431558182,0.358803707127906,1,1
"12586",176,0.7,3,0.316676330382512,0.43823885947515,0.356786104715853,1,1
"12587",177,0.7,3,0.318697839149085,0.437344343337575,0.35476459594928,1,1
"12588",178,0.7,3,0.320722655253503,0.436435024399926,0.352739779844862,1,1
"12589",179,0.7,3,0.322750178699054,0.435511046254204,0.350712256399311,1,1
"12590",180,0.7,3,0.324779808686784,0.434572554807269,0.348682626411581,1,1
"12591",181,0.7,3,0.326810943793525,0.433619698257801,0.34665149130484,1,1
"12592",182,0.7,3,0.32884298215011,0.432652627072893,0.344619452948255,1,1
"12593",183,0.7,3,0.330875321619717,0.431671493964297,0.342587113478648,1,1
"12594",184,0.7,3,0.332907359976301,0.430676453864305,0.340555075122063,1,1
"12595",185,0.7,3,0.334938495083043,0.429667663901283,0.338523940015322,1,1
"12596",186,0.7,3,0.336968125070773,0.42864528337486,0.336494310027592,1,1
"12597",187,0.7,3,0.338995648516324,0.427609473730774,0.334466786582041,1,1
"12598",188,0.7,3,0.341020464620741,0.426560398535374,0.332441970477623,1,1
"12599",189,0.7,3,0.343041973387314,0.425498223449795,0.33042046171105,1,1
