"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"C",2,"Control-III",1.93533299196809,0.874938121063437,1.25671919669907
2,"C",2,"Control-III",1.90144597819157,0.874614034249842,1.38760411580788
3,"C",2,"Control-III",1.86757905029848,0.874073996265924,1.51654375477674
4,"C",2,"Control-III",1.83374224379046,0.873318167136592,1.64258348963075
5,"C",2,"Control-III",1.79994558524354,0.87234677083033,1.76479016627045
6,"C",2,"Control-III",1.76619908933703,0.871160095192827,1.88225900921837
7,"C",2,"Control-III",1.73251275588599,0.869758491861685,1.99412032026005
8,"C",2,"Control-III",1.69889656687802,0.868142376162221,2.09954591738537
9,"C",2,"Control-III",1.66536048351543,0.866312226984395,2.19775526635838
10,"C",2,"Control-III",1.63191444326348,0.864268586640906,2.28802125951972
11,"C",2,"Control-III",1.59856835690572,0.862012060706493,2.3696755990373
12,"C",2,"Control-III",1.56533210560722,0.85954331783849,2.44211374474969
13,"C",2,"Control-III",1.53221553798652,0.85686308957869,2.5047993899699
14,"C",2,"Control-III",1.49922846719733,0.853972170136569,2.55726843211251
15,"C",2,"Control-III",1.46638066802064,0.850871416153949,2.59913240874678
16,"C",2,"Control-III",1.43368187396826,0.847561746451156,2.63008137363665
17,"C",2,"Control-III",1.40114177439857,0.84404414175475,2.64988619147414
18,"C",2,"Control-III",1.36877001164534,0.840319644406919,2.65840023431709
19,"C",2,"Control-III",1.33657617816051,0.83638935805661,2.6555604671711
20,"C",2,"Control-III",1.30456981367175,0.832254447332488,2.64138791467856
21,"C",2,"Control-III",1.27276040235561,0.827916137497843,2.61598750545959
22,"C",2,"Control-III",1.24115737002717,0.823375714087504,2.57954729525722
23,"C",2,"Control-III",1.20977008134695,0.818634522526919,2.53233707463849
24,"C",2,"Control-III",1.17860783704597,0.813693967733472,2.47470637155945
25,"C",2,"Control-III",1.14767987116978,0.808555513700173,2.4070818635825
26,"C",2,"Control-III",1.11699534834213,0.803220683061849,2.32996421890495
27,"C",2,"Control-III",1.08656336104936,0.797691056643953,2.24392438958692
28,"C",2,"Control-III",1.05639292694609,0.791968272994133,2.14959938442198
29,"C",2,"Control-III",1.02649298618307,0.786054027896691,2.04768755274696
30,"C",2,"Control-III",0.996872398758037,0.77995007387009,1.93894341410778
31,"C",2,"Control-III",0.96753994189032,0.773658219647641,1.82417207206068
32,"C",2,"Control-III",0.93850430741993,0.76718032964154,1.70422325346723
33,"C",2,"Control-III",0.909774099232003,0.760518323390401,1.57998501741389
34,"C",2,"Control-III",0.881357830707272,0.753674174990454,1.45237718033326
35,"C",2,"Control-III",0.853263922199374,0.746649912510577,1.32234450600505
36,"C",2,"Control-III",0.825500698539717,0.73944761739134,1.19084971085554
37,"C",2,"Control-III",0.79807638657065,0.732069423828226,1.05886633634204
38,"C",2,"Control-III",0.770999112707675,0.724517518139221,0.927371541192533
39,"C",2,"Control-III",0.744276900531413,0.716794138116964,0.797338866864318
40,"C",2,"Control-III",0.717917668410045,0.70890157236564,0.669731029783696
41,"C",2,"Control-III",0.691929227152927,0.700842159622817,0.545492793730356
42,"C",2,"Control-III",0.666319277696079,0.692618288066427,0.425543975136903
43,"C",2,"Control-III",0.641095408820234,0.684232394607098,0.310772633089805
44,"C",2,"Control-III",0.616265094902115,0.675686964166043,0.202028494450618
45,"C",2,"Control-III",0.591835693699619,0.666984528938729,0.100116662775601
46,"C",2,"Control-III",0.567814444171551,0.658127667644527,0.00579165761066313
47,"C",2,"Control-III",0.544208464332568,0.649119004762586,-0.0802481717073707
48,"C",2,"Control-III",0.521024749143955,0.639961209754139,-0.157365816384917
49,"C",2,"Control-III",0.498270168440867,0.63065699627149,-0.224990324361873
50,"C",2,"Control-III",0.47595146489665,0.621209121353895,-0.282621027440911
51,"C",2,"Control-III",0.454075252024843,0.611620384610593,-0.329831248059642
52,"C",2,"Control-III",0.432648012219447,0.601893627391224,-0.366271458262009
53,"C",2,"Control-III",0.411676094834053,0.592031731943872,-0.39167186748098
54,"C",2,"Control-III",0.391165714300394,0.582037620560996,-0.40584441997352
55,"C",2,"Control-III",0.371122948286872,0.571914254713489,-0.408684187119514
56,"C",2,"Control-III",0.351553735897615,0.561664634173131,-0.40017014427656
57,"C",2,"Control-III",0.332463875912593,0.551291796123694,-0.380365326439066
58,"C",2,"Control-III",0.313859025069312,0.540798814260955,-0.349416361549204
59,"C",2,"Control-III",0.295744696386602,0.530188797881899,-0.307552384914929
60,"C",2,"Control-III",0.278126257530991,0.51946489096336,-0.255083342772324
61,"C",2,"Control-III",0.26100892922615,0.5086302712304,-0.192397697552111
62,"C",2,"Control-III",0.244397783705877,0.497688149214676,-0.119959551839723
63,"C",2,"Control-III",0.228297743211087,0.486641767303091,-0.0383052123221361
64,"C",2,"Control-III",0.212713578531247,0.475494398777007,0.0519607808392002
65,"C",2,"Control-III",0.197649907590686,0.464249346842297,0.150170129812212
66,"C",2,"Control-III",0.183111194080203,0.452909943650538,0.25559572693753
67,"C",2,"Control-III",0.169101746134382,0.44147954931162,0.367457037979211
68,"C",2,"Control-III",0.155625715054999,0.429961550898074,0.48492588092713
69,"C",2,"Control-III",0.1426870940809,0.418359361441407,0.607132557566833
70,"C",2,"Control-III",0.130289717204717,0.406676418920754,0.733172292420835
71,"C",2,"Control-III",0.118437258036775,0.394916185244119,0.862111931389698
72,"C",2,"Control-III",0.107133228716523,0.383082145222549,0.992996850498509
73,"C",2,"Control-III",0.0963809788718107,0.371177805537501,1.12485802359879
74,"C",2,"Control-III",0.0861836946263181,0.359206693701742,1.25671919669907
75,"C",2,"Control-III",0.0765443976554438,0.347172357014065,1.38760411580788
76,"C",2,"Control-III",0.0674659442909122,0.335078361508153,1.51654375477674
77,"C",2,"Control-III",0.058951024674385,0.322928290895884,1.64258348963074
78,"C",2,"Control-III",0.0510021619603117,0.310725745505402,1.76479016627045
79,"C",2,"Control-III",0.0436217115682644,0.298474341214257,1.88225900921837
80,"C",2,"Control-III",0.0368118604849776,0.286177708377948,1.99412032026005
81,"C",2,"Control-III",0.0305746266162961,0.273839490754168,2.09954591738537
82,"C",2,"Control-III",0.0249118581892259,0.261463344423079,2.19775526635838
83,"C",2,"Control-III",0.0198252332042639,0.249052936703938,2.28802125951971
84,"C",2,"Control-III",0.0153162589381722,0.236611945068391,2.3696755990373
85,"C",2,"Control-III",0.0113862714973367,0.224144056050757,2.44211374474969
86,"C",2,"Control-III",0.00803643542185301,0.211652964155632,2.5047993899699
87,"C",2,"Control-III",0.0052677433404453,0.199142370763125,2.55726843211251
88,"C",2,"Control-III",0.00308101567633023,0.186615983032058,2.59913240874678
89,"C",2,"Control-III",0.00147690040410834,0.174077512801458,2.63008137363665
90,"C",2,"Control-III",0.000455872857754883,0.161530675490655,2.64988619147414
91,"C",2,"Control-III",1.82355897668741e-05,0.148979188998329,2.65840023431709
92,"C",2,"Control-III",0.000164118281511974,0.136426772600811,2.6555604671711
93,"C",2,"Control-III",0.000893477704800623,0.123877145849981,2.64138791467856
94,"C",2,"Control-III",0.00220609773469388,0.11133402747109,2.61598750545959
95,"C",2,"Control-III",0.0041015894135493,0.0988011342608162,2.57954729525722
96,"C",2,"Control-III",0.00657939106627343,0.0862821799858993,2.53233707463849
97,"C",2,"Control-III",0.00963876846676217,0.0737808742826724,2.47470637155945
98,"C",2,"Control-III",0.0132788150554641,0.0613009215578154,2.4070818635825
99,"C",2,"Control-III",0.0174984522080167,0.0488460198906604,2.32996421890495
100,"C",2,"Control-III",0.0222964295548649,0.0364198599373699,2.24392438958692
101,"C",2,"Control-III",0.027671325351771,0.0240261238373168,2.14959938442198
102,"C",2,"Control-III",0.0336215469011115,0.0116684841219861,2.04768755274696
103,"C",2,"Control-III",0.0401453310238247,-0.000649397373274589,1.93894341410778
104,"C",2,"Control-III",0.0472407445818804,-0.0129238705943368,1.82417207206068
105,"C",2,"Control-III",0.0549056850511099,-0.0251512983498803,1.70422325346723
106,"C",2,"Control-III",0.0631378811442282,-0.0373280573891714,1.57998501741389
107,"C",2,"Control-III",0.0719348934838689,-0.0494505394757112,1.45237718033326
108,"C",2,"Control-III",0.0812941153254201,-0.0615151524564324,1.32234450600505
109,"C",2,"Control-III",0.0912127733294611,-0.0735183213261333,1.19084971085554
110,"C",2,"Control-III",0.101687928383564,-0.0854564892868284,1.05886633634204
111,"C",2,"Control-III",0.112716476473214,-0.0973261188017039,0.927371541192533
112,"C",2,"Control-III",0.124295149601596,-0.109123692643367,0.79733886686432
113,"C",2,"Control-III",0.136420516757973,-0.120845714936076,0.669731029783696
114,"C",2,"Control-III",0.149088984934371,-0.132488712191644,0.545492793730358
115,"C",2,"Control-III",0.162296800190262,-0.144049234338707,0.425543975136904
116,"C",2,"Control-III",0.176040048764936,-0.155523855745057,0.310772633089807
117,"C",2,"Control-III",0.190314658237238,-0.166909176232728,0.202028494450619
118,"C",2,"Control-III",0.205116398732309,-0.178201822085544,0.100116662775602
119,"C",2,"Control-III",0.220440884174993,-0.189398447048825,0.00579165761066336
120,"C",2,"Control-III",0.236283573589524,-0.20049573332095,-0.0802481717073698
121,"C",2,"Control-III",0.252639772445116,-0.211490392536498,-0.157365816384917
122,"C",2,"Control-III",0.269504634047051,-0.222379166740659,-0.224990324361872
123,"C",2,"Control-III",0.286873160972863,-0.233158829354638,-0.28262102744091
124,"C",2,"Control-III",0.304740206553181,-0.243826186131758,-0.329831248059641
125,"C",2,"Control-III",0.323100476396798,-0.254378076103985,-0.366271458262008
126,"C",2,"Control-III",0.34194852995951,-0.264811372518592,-0.39167186748098
127,"C",2,"Control-III",0.361278782156274,-0.275122983764683,-0.40584441997352
128,"C",2,"Control-III",0.381085505016181,-0.285309854289302,-0.408684187119514
129,"C",2,"Control-III",0.401362829379787,-0.295368965502863,-0.40017014427656
130,"C",2,"Control-III",0.422104746638258,-0.305297336673619,-0.380365326439066
131,"C",2,"Control-III",0.443305110513867,-0.315092025810921,-0.349416361549204
132,"C",2,"Control-III",0.464957638881255,-0.324750130536991,-0.307552384914929
133,"C",2,"Control-III",0.487055915628966,-0.334268788946959,-0.255083342772324
134,"C",2,"Control-III",0.509593392560681,-0.343645180456909,-0.192397697552112
135,"C",2,"Control-III",0.532563391335585,-0.352876526639677,-0.119959551839723
136,"C",2,"Control-III",0.555959105447311,-0.361960092048162,-0.038305212322137
137,"C",2,"Control-III",0.579773602240843,-0.370893185025892,0.0519607808392
138,"C",2,"Control-III",0.603999824966824,-0.379673158504627,0.15017012981221
139,"C",2,"Control-III",0.628630594872616,-0.388297410788737,0.25559572693753
140,"C",2,"Control-III",0.653658613329519,-0.396763386326144,0.367457037979209
141,"C",2,"Control-III",0.679076463995517,-0.405068576465586,0.48492588092713
142,"C",2,"Control-III",0.704876615012894,-0.413210520199984,0.607132557566832
143,"C",2,"Control-III",0.731051421240092,-0.421186804895692,0.733172292420835
144,"C",2,"Control-III",0.757593126517126,-0.428995067007411,0.862111931389697
145,"C",2,"Control-III",0.784493865963907,-0.436632992778563,0.992996850498508
146,"C",2,"Control-III",0.81174566831077,-0.4440983189269,1.12485802359879
147,"C",2,"Control-III",0.839340458260538,-0.451388833315172,1.25671919669907
148,"C",2,"Control-III",0.867270058881405,-0.458502375606621,1.38760411580788
149,"C",2,"Control-III",0.895526194029936,-0.465436837905145,1.51654375477674
150,"C",2,"Control-III",0.92410049080347,-0.472190165379906,1.64258348963074
151,"C",2,"Control-III",0.952984482021189,-0.478760356874225,1.76479016627045
152,"C",2,"Control-III",0.982169608733127,-0.485145465498566,1.88225900921837
153,"C",2,"Control-III",1.01164722275637,-0.491343599207441,1.99412032026005
154,"C",2,"Control-III",1.04140858923771,-0.497352921360066,2.09954591738537
155,"C",2,"Control-III",1.07144488924196,-0.503171651264596,2.19775526635838
156,"C",2,"Control-III",1.10174722236518,-0.50879806470578,2.28802125951971
157,"C",2,"Control-III",1.13230660937209,-0.514230494455888,2.3696755990373
158,"C",2,"Control-III",1.16311399485679,-0.519467330768745,2.44211374474969
159,"C",2,"Control-III",1.1941602499261,-0.52450702185673,2.5047993899699
160,"C",2,"Control-III",1.2254361749046,-0.529348074350608,2.55726843211251
161,"C",2,"Control-III",1.25693250206073,-0.533989053742047,2.59913240874678
162,"C",2,"Control-III",1.288639898353,-0.538428584808694,2.63008137363665
163,"C",2,"Control-III",1.3205489681956,-0.542665352021679,2.64988619147414
164,"C",2,"Control-III",1.35265025624247,-0.546698099935441,2.65840023431709
165,"C",2,"Control-III",1.38493425018916,-0.550525633559739,2.6555604671711
166,"C",2,"Control-III",1.41739138359153,-0.554146818713756,2.64138791467856
167,"C",2,"Control-III",1.45001203870046,-0.557560582362178,2.61598750545959
168,"C",2,"Control-III",1.48278654931183,-0.560765912933161,2.57954729525722
169,"C",2,"Control-III",1.51570520363081,-0.563761860618082,2.53233707463849
170,"C",2,"Control-III",1.5487582471497,-0.566547537652982,2.47470637155946
171,"C",2,"Control-III",1.58193588553835,-0.569122118581636,2.4070818635825
172,"C",2,"Control-III",1.61522828754647,-0.571484840500151,2.32996421890495
173,"C",2,"Control-III",1.64862558791684,-0.573635003283032,2.24392438958692
174,"C",2,"Control-III",1.68211789030859,-0.575571969790641,2.14959938442198
175,"C",2,"Control-III",1.7156952702297,-0.577295166057999,2.04768755274697
176,"C",2,"Control-III",1.74934777797783,-0.578804081464862,1.93894341410778
177,"C",2,"Control-III",1.78306544158866,-0.58009826888703,1.82417207206068
178,"C",2,"Control-III",1.81683826979078,-0.581177344828839,1.70422325346723
179,"C",2,"Control-III",1.85065625496631,-0.5820409895368,1.57998501741389
180,"C",2,"Control-III",1.88450937611639,-0.582688947094345,1.45237718033327
181,"C",2,"Control-III",1.91838760183061,-0.583121025497668,1.32234450600505
182,"C",2,"Control-III",1.95228089325956,-0.583337096712611,1.19084971085554
183,"C",2,"Control-III",1.98617920708948,-0.583337096712611,1.05886633634204
184,"C",2,"Control-III",2.02007249851842,-0.583121025497668,0.927371541192536
185,"C",2,"Control-III",2.05395072423265,-0.582688947094345,0.79733886686432
186,"C",2,"Control-III",2.08780384538273,-0.5820409895368,0.669731029783696
