"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",5,"Control-II",2.70105334587814,2.07362376457984,1.71100046797164
2,"D",5,"Control-II",2.65375883257073,2.0732946049582,1.81893588328623
3,"D",5,"Control-II",2.60649235218731,2.07274611396441,1.92526710599225
4,"D",5,"Control-II",2.5592679108061,2.0719784541282,2.0292068969188
5,"D",5,"Control-II",2.51209950204827,2.07099185292375,2.1299857222192
6,"D",5,"Control-II",2.46500110293131,2.06978660270228,2.22685745073032
7,"D",5,"Control-II",2.41798666972735,2.06836306060545,2.3191048780667
8,"D",5,"Control-II",2.3710701338276,2.06672164845951,2.40604503655089
9,"D",5,"Control-II",2.32426539761419,2.06486285265029,2.48703425166716
10,"D",5,"Control-II",2.27758633034058,2.06278722397911,2.5614729076024
11,"D",5,"Control-II",2.23104676402184,2.06049537749955,2.62880988659188
12,"D",5,"Control-II",2.18466048933586,2.05798799233517,2.68854664920229
13,"D",5,"Control-II",2.13844125153693,2.05526581147831,2.74024092534332
14,"D",5,"Control-II",2.09240274638271,2.05232964156992,2.78350998868066
15,"D",5,"Control-II",2.04655861607586,2.0491803526605,2.81803349020786
16,"D",5,"Control-II",2.00092244522159,2.04581887795233,2.84355582999834
17,"D",5,"Control-II",1.95550775680224,2.0422462135229,2.85988804957776
18,"D",5,"Control-II",1.91032800817011,2.03846341802979,2.8669092309065
19,"D",5,"Control-II",1.86539658705978,2.03447161239695,2.8645673916145
20,"D",5,"Control-II",1.82072680762102,2.03027197948254,2.85287986986053
21,"D",5,"Control-II",1.77633190647355,2.02586576372841,2.83193319596657
22,"D",5,"Control-II",1.73222503878468,2.02125427079141,2.80188245177751
23,"D",5,"Control-II",1.68841927437121,2.0164388671564,2.76295012248952
24,"D",5,"Control-II",1.64492759382656,2.0114209797314,2.71542444944741
25,"D",5,"Control-II",1.60176288467428,2.00620209542477,2.65965729610662
26,"D",5,"Control-II",1.55893793754928,2.00078376070454,2.59606154295928
27,"D",5,"Control-II",1.51646544240762,1.99516758114024,2.52510803071148
28,"D",5,"Control-II",1.47435798476626,1.98935522092708,2.44732207434347
29,"D",5,"Control-II",1.43262804197363,1.98334840239283,2.36327957386127
30,"D",5,"Control-II",1.39128797951239,1.97714890548745,2.27360275053459
