"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"A",3,"Control-I",0.65150676492389,6.16472169854977,2.86362052996716
2,"A",3,"Control-I",0.640099105978325,6.16323253544562,3.11509038839221
3,"A",3,"Control-I",0.628698208705809,6.16075108724484,3.36282277022546
4,"A",3,"Control-I",0.617307451438255,6.1572780892541,3.60498355158573
5,"A",3,"Control-I",0.605930209502876,6.15281457059764,3.83977985877246
6,"A",3,"Control-I",0.594569854221996,6.14736185391238,4.06547334207522
7,"A",3,"Control-I",0.583229751914063,6.14092155495594,4.28039304590685
8,"A",3,"Control-I",0.57191326289613,6.13349558212791,4.48294777997395
9,"A",3,"Control-I",0.560623740488122,6.1250861359043,4.67163789989318
10,"A",3,"Control-I",0.549364530019177,6.11569570818551,4.8450664100335
11,"A",3,"Control-I",0.538138967836351,6.10532708155794,5.00194930638314
12,"A",3,"Control-I",0.526950380315985,6.09398332846943,5.14112508286602
13,"A",3,"Control-I",0.515802082878032,6.08166781031885,5.26156333072637
14,"A",3,"Control-I",0.504697379003623,6.06838417646,5.36237236731469
15,"A",3,"Control-I",0.493639559256174,6.05413636312029,5.44280583779404
16,"A",3,"Control-I",0.482631900306324,6.0389285922343,5.50226824089019
17,"A",3,"Control-I",0.471677663960984,6.02276537019276,5.54031933777469
18,"A",3,"Control-I",0.460780096196796,6.00565148650719,5.5566774114391
19,"A",3,"Control-I",0.449942426198277,5.98759201239066,5.5512213524292
20,"A",3,"Control-I",0.439167865400943,5.96859229925513,5.523991555497
21,"A",3,"Control-I",0.428459606539692,5.94865797712563,5.47518962053211
22,"A",3,"Control-I",0.41782082270273,5.92779495297203,5.40517685998672
23,"A",3,"Control-I",0.407254666391309,5.90600940895865,5.31447162384459
24,"A",3,"Control-I",0.396764268585582,5.88330780061236,5.20374546193916
25,"A",3,"Control-I",0.386352737816819,5.85969685490964,5.07381815203349
26,"A",3,"Control-I",0.376023159246288,5.83518356828327,4.92565163047257
27,"A",3,"Control-I",0.365778593751048,5.80977520454912,4.76034287034311
28,"A",3,"Control-I",0.355622077016951,5.78347929275373,4.57911575986869
29,"A",3,"Control-I",0.345556618639103,5.75630362494326,4.38331204116945
30,"A",3,"Control-I",0.33558520123005,5.7282562538546,4.17438137647296
31,"A",3,"Control-I",0.325710779535971,5.6993454905291,3.95387061532222
32,"A",3,"Control-I",0.315936279561122,5.66957990184988,3.72341234224287
33,"A",3,"Control-I",0.306264597700797,5.63896830800327,3.48471278965852
34,"A",3,"Control-I",0.296698599883063,5.60751977986517,3.2395392055429
35,"A",3,"Control-I",0.287241120719524,5.57524363631319,2.98970676933409
36,"A",3,"Control-I",0.277894962665365,5.54214944146523,2.73706515298112
37,"A",3,"Control-I",0.268662895188925,5.50824700184547,2.48348482661994
38,"A",3,"Control-I",0.259547653951041,5.47354636347843,2.23084321026696
