"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",3,"Control-III",2.2721882468014,1.83290716279177,2.28408310339198
2,"D",3,"Control-III",2.23240301359256,1.83261621366275,2.42817041546029
3,"D",3,"Control-III",2.19264136232463,1.83213139424255,2.57011622651769
4,"D",3,"Control-III",2.152915075233,1.83145284819365,2.70886961944158
5,"D",3,"Control-III",2.11323592407391,1.83058077658387,2.84340331265629
6,"D",3,"Control-III",2.07361566663619,1.82951543782685,2.97272126576646
7,"D",3,"Control-III",2.03406604325719,1.82825714760546,3.09586605389162
8,"D",3,"Control-III",1.99459877334387,1.82680627877824,3.21192595610507
9,"D",3,"Control-III",1.95522555190008,1.82516326126895,3.32004170549661
10,"D",3,"Control-III",1.91595804606107,1.82332858193913,3.41941285088412
11,"D",3,"Control-III",1.8768078916363,1.82130278444387,3.50930368307405
12,"D",3,"Control-III",1.83778668966144,1.81908646907067,3.5890486817949
13,"D",3,"Control-III",1.79890600296078,1.81668029256162,3.65805744297647
14,"D",3,"Control-III",1.76017735272092,1.81408496791874,3.715819049895
15,"D",3,"Control-III",1.72161221507674,1.81130126419275,3.76190585582189
16,"D",3,"Control-III",1.68322201771084,1.80833000625512,3.79597665017039
17,"D",3,"Control-III",1.64501813646722,1.80517207455372,3.81777918469948
18,"D",3,"Control-III",1.60701189198041,1.80182840485185,3.82715204107154
19,"D",3,"Control-III",1.56921454632088,1.79829998795102,3.82402582593727
20,"D",3,"Control-III",1.5316372996579,1.7945878693973,3.80842368469975
21,"D",3,"Control-III",1.49429128694062,1.79069314917154,3.78046113015399
22,"D",3,"Control-III",1.45718757459861,1.78661698136338,3.74034518727063
23,"D",3,"Control-III",1.42033715726261,1.78236057382933,3.68837286045542
24,"D",3,"Control-III",1.38375095450656,1.7779251878348,3.62492893463259
25,"D",3,"Control-III",1.34743980761193,1.77331213768038,3.55048312643187
26,"D",3,"Control-III",1.31141447635522,1.76852279031238,3.46558660657086
27,"D",3,"Control-III",1.27568563581955,1.7635585649178,3.37086791917995
28,"D",3,"Control-III",1.24026387323148,1.75842093250376,3.26702832828142
29,"D",3,"Control-III",1.20515968482373,1.75311141546162,3.15483662587601
30,"D",3,"Control-III",1.17038347272492,1.74763158711587,3.03512344007591
31,"D",3,"Control-III",1.13594554187724,1.74198307125791,2.90877508542482
32,"D",3,"Control-III",1.10185609698282,1.73616754166489,2.77672700093517
33,"D",3,"Control-III",1.06812523947991,1.73018672160376,2.63995682442498
34,"D",3,"Control-III",1.03476296454954,1.72404238332055,2.49947715442944
35,"D",3,"Control-III",1.0017791581538,1.71773634751532,2.35632805327569
36,"D",3,"Control-III",0.969183594106378,1.71127048280257,2.21156934682522
37,"D",3,"Control-III",0.936985931176362,1.70464670515756,2.06627277789396
38,"D",3,"Control-III",0.905195710226164,1.69786697734855,1.92151407144348
39,"D",3,"Control-III",0.87382235138434,1.69093330835522,1.77836497028973
40,"D",3,"Control-III",0.842875151254209,1.68384775277332,1.6378853002942
41,"D",3,"Control-III",0.812363280159063,1.67661241020591,1.501115123784
