"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"B",4,"Control-II",1.27876938640139,3.12932896928947,2.21191293116196
2,"B",4,"Control-II",1.25637857510751,3.12852651944197,2.41574235420229
3,"B",4,"Control-II",1.23400103554151,3.12718936723564,2.61654235772448
4,"B",4,"Control-II",1.21164339865131,3.12531790889755,2.81282628875621
5,"B",4,"Control-II",1.18931228948724,3.12291269898118,3.00314092974581
6,"B",4,"Control-II",1.16701432523889,3.11997445020215,3.18607725767664
7,"B",4,"Control-II",1.14475611327429,3.11650403322697,3.36028087598048
8,"B",4,"Control-II",1.12254424918203,3.1125024764151,3.5244620420159
9,"B",4,"Control-II",1.10038531481679,3.10797096551418,3.6774052158715
10,"B",4,"Control-II",1.07828587634908,3.10291084330869,3.81797805979817
11,"B",4,"Control-II",1.05625248231944,3.09732360922205,3.94513982164158
12,"B",4,"Control-II",1.03429166169805,3.09121091887229,4.05794904020703
13,"B",4,"Control-II",1.01240992195001,3.08457458358149,4.15557051550874
14,"B",4,"Control-II",0.990613747107056,3.07741656983902,4.23728149229832
15,"B",4,"Control-II",0.968909595846195,3.06973899871884,4.30247701109177
16,"B",4,"Control-II",0.947303899575858,3.06154414525095,4.35067438707786
17,"B",4,"Control-II",0.925803060530138,3.05283443774732,4.38151678374756
18,"B",4,"Control-II",0.904413449871673,3.04361245708223,4.39477585478673
19,"B",4,"Control-II",0.883141405803725,3.03388093592759,4.39035343467234
20,"B",4,"Control-II",0.86199323169204,3.02364275794314,4.36828226545565
21,"B",4,"Control-II",0.840975194197022,3.01290095692198,4.32872575435152
22,"B",4,"Control-II",0.820093521416788,3.00165871589156,4.27197676392856
23,"B",4,"Control-II",0.799354401041645,2.98991936617055,4.19845544385712
24,"B",4,"Control-II",0.778763978520547,2.97768638638161,4.10870612026818
25,"B",4,"Control-II",0.758328355240066,2.96496340142067,4.00339326575307
26,"B",4,"Control-II",0.738053586716417,2.95175418138275,3.88329657984088
27,"B",4,"Control-II",0.717945680801077,2.93806264044483,3.74930521637597
28,"B",4,"Control-II",0.698010595900534,2.92389283570599,3.602411200534
29,"B",4,"Control-II",0.678254239210679,2.90924896598516,3.44370208421455
30,"B",4,"Control-II",0.658682464966375,2.894135370577,3.27435289418743
31,"B",4,"Control-II",0.639301072706725,2.87855652796599,3.09561743260552
32,"B",4,"Control-II",0.62011580555654,2.86251705449943,2.90881899429234
33,"B",4,"Control-II",0.601132348524529,2.84602170301946,2.71534056953014
34,"B",4,"Control-II",0.582356326818706,2.82907536145472,2.51661460488372
35,"B",4,"Control-II",0.563793304179523,2.81168305137195,2.31411239786721
36,"B",4,"Control-II",0.545448781231211,2.79384992648799,2.10933320397209
37,"B",4,"Control-II",0.527328193851827,2.77558127114261,1.90379313670401
38,"B",4,"Control-II",0.509436911562484,2.75688249873266,1.69901394280889
39,"B",4,"Control-II",0.491780235936252,2.73775915010795,1.49651173579238
40,"B",4,"Control-II",0.474363399027181,2.7182168919294,1.29778577114596
41,"B",4,"Control-II",0.457191561819932,2.69826151498986,1.10430734638376
42,"B",4,"Control-II",0.440269812700469,2.6778989324982,0.917508908070586
43,"B",4,"Control-II",0.423603165948257,2.65713517832706,0.738773446488676
44,"B",4,"Control-II",0.407196560250425,2.63597640522493,0.569424256461551
45,"B",4,"Control-II",0.391054857238324,2.61442888299292,0.410715140142103
46,"B",4,"Control-II",0.375182840046924,2.5924989966269,0.263821124300128
47,"B",4,"Control-II",0.359585211897464,2.57019324442548,0.129829760835224
48,"B",4,"Control-II",0.344266594703789,2.54751823606444,0.00973307492303395
49,"B",4,"Control-II",0.329231527702778,2.52448069063813,-0.0955797795920828
50,"B",4,"Control-II",0.314484466109264,2.50108743466845,-0.185329103181022
51,"B",4,"Control-II",0.300029779795867,2.477345400082,-0.258850423252455
52,"B",4,"Control-II",0.285871751998099,2.45326162215603,-0.315599413675422
53,"B",4,"Control-II",0.272014578045151,2.42884323743371,-0.355155924779555
54,"B",4,"Control-II",0.258462364116729,2.40409748160943,-0.377227093996244
55,"B",4,"Control-II",0.245219126026298,2.37903168738469,-0.381649514110632
56,"B",4,"Control-II",0.232288788031119,2.35365328229529,-0.36839044307146
57,"B",4,"Control-II",0.2196751816694,2.32796978651036,-0.337548046401762
58,"B",4,"Control-II",0.207382044624927,2.30198881060401,-0.289350670415675
59,"B",4,"Control-II",0.195413019619517,2.2757180533001,-0.224155151622222
60,"B",4,"Control-II",0.18377165333359,2.249165299191,-0.142444174832644
61,"B",4,"Control-II",0.172461395355218,2.2223384164308,-0.044822699530937
62,"B",4,"Control-II",0.161485597157936,2.19524535440384,0.0679865190345151
63,"B",4,"Control-II",0.150847511107627,2.16789414136912,0.195148280877926
64,"B",4,"Control-II",0.140550289498775,2.14029288208133,0.335721124804594
65,"B",4,"Control-II",0.130596983620377,2.1124497553893,0.488664298660196
66,"B",4,"Control-II",0.120990542851773,2.08437301181236,0.652845464695612
67,"B",4,"Control-II",0.111733813788688,2.05607097109559,0.827049082999454
68,"B",4,"Control-II",0.102829539399719,2.02755201974445,1.00998541093028
69,"B",4,"Control-II",0.0942803582135376,1.99882460853973,1.20030005191989
70,"B",4,"Control-II",0.0860888035370362,1.96989725003334,1.39658398295161
71,"B",4,"Control-II",0.0782573027046531,1.94077851602592,1.59738398647381
72,"B",4,"Control-II",0.0707881763591031,1.91147703502679,1.80121340951414
73,"B",4,"Control-II",0.0636836377637189,1.88200148969715,2.00656317033805
74,"B",4,"Control-II",0.056945792146615,1.8523606142772,2.21191293116195
75,"B",4,"Control-II",0.0505766360768624,1.82256319199805,2.41574235420228
76,"B",4,"Control-II",0.0445780568728621,1.79261805247899,2.61654235772448
77,"B",4,"Control-II",0.0389518320430923,1.76253406911113,2.81282628875621
78,"B",4,"Control-II",0.0336996287593939,1.73232015642801,3.00314092974581
79,"B",4,"Control-II",0.0288230033629516,1.70198526746403,3.18607725767664
80,"B",4,"Control-II",0.0243234009031167,1.67153839110146,3.36028087598048
81,"B",4,"Control-II",0.0202021547092074,1.64098854940688,3.5244620420159
82,"B",4,"Control-II",0.0164604859954147,1.61034479495769,3.6774052158715
83,"B",4,"Control-II",0.0130995034989302,1.57961620815968,3.81797805979817
84,"B",4,"Control-II",0.0101202031514038,1.54881189455631,3.94513982164158
85,"B",4,"Control-II",0.00752346778382671,1.51794098213049,4.05794904020703
86,"B",4,"Control-II",0.0053100668649309,1.48701261859984,4.15557051550874
87,"B",4,"Control-II",0.00348065627317746,1.45603596870595,4.23728149229832
88,"B",4,"Control-II",0.00203577810240664,1.42502021149873,4.30247701109177
89,"B",4,"Control-II",0.000975860501203509,1.3939745376164,4.35067438707786
90,"B",4,"Control-II",0.000301217546028263,1.36290814656215,4.38151678374756
91,"B",4,"Control-II",1.20491481485222e-05,1.33183024397813,4.39477585478673
92,"B",4,"Control-II",0.000108440994401217,1.30075003891759,4.39035343467234
93,"B",4,"Control-II",0.000590364521802125,1.26967674111605,4.36828226545565
94,"B",4,"Control-II",0.00145767692600911,1.23861955826226,4.32872575435152
95,"B",4,"Control-II",0.00271012120363897,1.20758769326978,4.27197676392856
96,"B",4,"Control-II",0.00434732622842201,1.17659034154992,4.19845544385712
97,"B",4,"Control-II",0.00636880686117581,1.14563668828698,4.10870612026818
98,"B",4,"Control-II",0.00877396409356165,1.11473590571645,4.00339326575307
99,"B",4,"Control-II",0.011562085225584,1.08389715040711,3.88329657984088
100,"B",4,"Control-II",0.0147323440767791,1.0531295605477,3.74930521637598
101,"B",4,"Control-II",0.0182838012310291,1.02244225323912,3.602411200534
102,"B",4,"Control-II",0.0222154043149329,0.991844321792811,3.44370208421455
103,"B",4,"Control-II",0.0265259883096456,0.961344833036219,3.27435289418743
104,"B",4,"Control-II",0.0312142758960996,0.930952824626095,3.09561743260552
105,"B",4,"Control-II",0.0362788778335015,0.900677302370444,2.90881899429234
106,"B",4,"Control-II",0.0417182933709939,0.87052723755991,2.71534056953014
107,"B",4,"Control-II",0.0475309106923615,0.840511564309387,2.51661460488372
108,"B",4,"Control-II",0.0537150073936448,0.810639176910652,2.31411239786722
109,"B",4,"Control-II",0.0602687509935277,0.780918927196789,2.10933320397209
110,"B",4,"Control-II",0.0671901994763402,0.751359621919204,1.90379313670401
111,"B",4,"Control-II",0.0744773018675198,0.721970020137993,1.69901394280889
112,"B",4,"Control-II",0.0821278988413594,0.692758830626444,1.49651173579239
113,"B",4,"Control-II",0.0901397233608621,0.663734709290437,1.29778577114596
114,"B",4,"Control-II",0.0985104013495135,0.634906256603516,1.10430734638377
115,"B",4,"Control-II",0.107237452394772,0.606282015058382,0.917508908070586
116,"B",4,"Control-II",0.116318290483067,0.577870466635566,0.738773446488679
117,"B",4,"Control-II",0.125750224766093,0.549680030290037,0.569424256461552
118,"B",4,"Control-II",0.135530460358163,0.521719059456483,0.410715140142105
119,"B",4,"Control-II",0.145656099164398,0.493995839574011,0.263821124300128
120,"B",4,"Control-II",0.156124140739489,0.466518585630987,0.129829760835226
121,"B",4,"Control-II",0.1669314831768,0.439295439730761,0.00973307492303438
122,"B",4,"Control-II",0.178074924027523,0.412334468678989,-0.0955797795920816
123,"B",4,"Control-II",0.189551161249641,0.385643661593258,-0.185329103181021
124,"B",4,"Control-II",0.201356794186387,0.359230927535742,-0.258850423252455
125,"B",4,"Control-II",0.213488324573935,0.333104093169576,-0.315599413675422
126,"B",4,"Control-II",0.225942157578011,0.307270900439646,-0.355155924779555
127,"B",4,"Control-II",0.238714602859121,0.281739004278484,-0.377227093996244
128,"B",4,"Control-II",0.251801875666076,0.256515970337947,-0.381649514110632
129,"B",4,"Control-II",0.265200097957497,0.231609272747347,-0.36839044307146
130,"B",4,"Control-II",0.278905299550961,0.207026291898712,-0.337548046401763
131,"B",4,"Control-II",0.292913419299454,0.182774312259811,-0.289350670415675
132,"B",4,"Control-II",0.307220306294775,0.158860520215612,-0.224155151622223
133,"B",4,"Control-II",0.321821721097538,0.1352920019388,-0.142444174832645
134,"B",4,"Control-II",0.336713336993413,0.11207574128999,-0.0448226995309383
135,"B",4,"Control-II",0.351890741275223,0.0892186177482614,0.0679865190345147
136,"B",4,"Control-II",0.367349436550525,0.0667274043726147,0.195148280877925
137,"B",4,"Control-II",0.383084842074282,0.0446087657949749,0.335721124804594
138,"B",4,"Control-II",0.399092295106239,0.0228692562453113,0.488664298660193
139,"B",4,"Control-II",0.415367052292594,0.00151531760948067,0.652845464695612
140,"B",4,"Control-II",0.431904291071555,-0.0194467224796437,0.827049082999452
