"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",5,"Control-I",3.01814696388897,1.80468243091966,2.34118165926922
2,"D",5,"Control-I",2.96530025060019,1.80439596208366,2.4888709319786
3,"D",5,"Control-I",2.9124848611964,1.80391860834335,2.63436516945366
4,"D",5,"Control-I",2.85971644601735,1.80325051114897,2.77658718326409
5,"D",5,"Control-I",2.80701064148329,1.80239186847211,2.91448401137875
6,"D",5,"Control-I",2.75438306546159,1.80134293474716,3.04703471392812
7,"D",5,"Control-I",2.70184931263881,1.80010402079579,3.17325793188594
8,"D",5,"Control-I",2.6494249498997,1.79867549373496,3.29221915270808
9,"D",5,"Control-I",2.59712551171433,1.79705777686806,3.40303762913642
10,"D",5,"Control-I",2.54496649553496,1.79525134955951,3.50489289994348
11,"D",5,"Control-I",2.49296335720377,1.79325674709272,3.59703086434021
12,"D",5,"Control-I",2.44113150637296,1.79107456051143,3.67876936507447
13,"D",5,"Control-I",2.38948630193856,1.78870543644463,3.7495032388846
14,"D",5,"Control-I",2.33804304748924,1.78615007691491,3.80870879691651
15,"D",5,"Control-I",2.28681698677152,1.78340923913045,3.85594770193274
16,"D",5,"Control-I",2.23582329917275,1.78048373526063,3.89087021360799
17,"D",5,"Control-I",2.18507709522309,1.7773744321954,3.91321777788413
18,"D",5,"Control-I",2.13459341211797,1.77408225128834,3.92282494121398
19,"D",5,"Control-I",2.08438720926222,1.77060816808372,3.9196205755215
20,"D",5,"Control-I",2.03447336383729,1.76695321202736,3.90362840480916
21,"D",5,"Control-I",1.9848666663928,1.76311846616163,3.87496682951375
22,"D",5,"Control-I",1.9355818164638,1.75910506680448,3.83384804991096
23,"D",5,"Control-I",1.88663341821499,1.75491420321277,3.78057649505877
24,"D",5,"Control-I",1.83803597611315,1.75054711722981,3.71554656891123
25,"D",5,"Control-I",1.78980389062921,1.74600510291745,3.63923973028956
26,"D",5,"Control-I",1.74195145397102,1.74128950617253,3.5522209283295
27,"D",5,"Control-I",1.6944928458483,1.73640172432815,3.45513441979558
28,"D",5,"Control-I",1.64744212927089,1.73134320573956,3.34869899922939
29,"D",5,"Control-I",1.60081324638154,1.72611544935499,3.23370267724633
30,"D",5,"Control-I",1.55462001432459,1.72072000427147,3.11099684638068
31,"D",5,"Control-I",1.50887612115162,1.71515846927582,2.98148997767319
32,"D",5,"Control-I",1.46359512176543,1.70943249237091,2.8461408946693
33,"D",5,"Control-I",1.41879043390336,1.70354377028725,2.70595167462509
34,"D",5,"Control-I",1.3744753341614,1.69749404798029,2.56196022947787
35,"D",5,"Control-I",1.33066295406,1.69128511811332,2.41523262150935
36,"D",5,"Control-I",1.28736627615293,1.68491882052624,2.26685517059344
37,"D",5,"Control-I",1.24459813018028,1.67839704169045,2.11792641146404
38,"D",5,"Control-I",1.2023711892667,1.67172171414975,1.96954896054813
39,"D",5,"Control-I",1.16069796616613,1.66489481594776,1.82282135257961
40,"D",5,"Control-I",1.11959080955395,1.65791837004175,1.67882990743239
41,"D",5,"Control-I",1.07906190036783,1.65079444370321,1.53864068738818
42,"D",5,"Control-I",1.03912324819825,1.64352514790527,1.40329160438429
43,"D",5,"Control-I",0.999786687729782,1.63611263669714,1.2737847356768
44,"D",5,"Control-I",0.961063875234259,1.62855910656588,1.15107890481115
45,"D",5,"Control-I",0.922966285116727,1.62086679578549,1.03608258282809
46,"D",5,"Control-I",0.885505206515348,1.61303798375366,0.929647162261897
47,"D",5,"Control-I",0.848691739956191,1.60507499031635,0.832560653727973
48,"D",5,"Control-I",0.812536794063895,1.59698017508038,0.745541851767921
49,"D",5,"Control-I",0.777051082329217,1.5887559367142,0.669235013146252
50,"D",5,"Control-I",0.742245119934388,1.58040471223713,0.604205086998708
51,"D",5,"Control-I",0.708129220637239,1.57192897629722,0.550933532146516
52,"D",5,"Control-I",0.674713493715014,1.56333124043795,0.509814752543724
53,"D",5,"Control-I",0.64200784096877,1.55461405235401,0.481153177248317
54,"D",5,"Control-I",0.610021953789263,1.54577999513636,0.465161006535978
55,"D",5,"Control-I",0.578765310285173,1.53683168650682,0.461956640843494
56,"D",5,"Control-I",0.548247172474547,1.52777177804233,0.471563804173342
57,"D",5,"Control-I",0.518476583540253,1.51860295438932,0.49391136844948
58,"D",5,"Control-I",0.489462365150293,1.50932793246812,0.528833880124732
59,"D",5,"Control-I",0.461213114843755,1.49994946066788,0.576072785140966
60,"D",5,"Control-I",0.433737203483174,1.4904703180322,0.635278343172879
61,"D",5,"Control-I",0.407042772774063,1.48089331343563,0.706012216983007
62,"D",5,"Control-I",0.381137732852356,1.47122128475132,0.787750717717264
63,"D",5,"Control-I",0.356029759940457,1.4614570980101,0.879888682113998
64,"D",5,"Control-I",0.331726294072616,1.45160364655124,0.981743952921054
65,"D",5,"Control-I",0.30823453689028,1.44166385016506,1.0925624293494
66,"D",5,"Control-I",0.285561449508095,1.43164065422774,1.21152365017153
67,"D",5,"Control-I",0.26371375045118,1.42153702882855,1.33774686812936
68,"D",5,"Control-I",0.242697913664276,1.41135596788977,1.47029757067873
69,"D",5,"Control-I",0.222520166593382,1.40110048827947,1.60819439879338
70,"D",5,"Control-I",0.203186488340427,1.39077362891759,1.75041641260381
71,"D",5,"Control-I",0.184702607891531,1.38037844987543,1.89591065007887
72,"D",5,"Control-I",0.167074002419388,1.36991803146888,2.04359992278825
73,"D",5,"Control-I",0.150305895660254,1.35939547334568,2.19239079102874
74,"D",5,"Control-I",0.134403256366047,1.3488138935669,2.34118165926922
75,"D",5,"Control-I",0.119370796831999,1.33817642768299,2.4888709319786
76,"D",5,"Control-I",0.105212971500295,1.32748622780466,2.63436516945366
77,"D",5,"Control-I",0.0919339756401326,1.31674646166886,2.77658718326409
78,"D",5,"Control-I",0.079537744104569,1.30596031170007,2.91448401137875
79,"D",5,"Control-I",0.0680279501645409,1.29513097406732,3.04703471392812
80,"D",5,"Control-I",0.0574080044203946,1.28426165773706,3.17325793188594
81,"D",5,"Control-I",0.047681053791251,1.27335558352229,3.29221915270807
82,"D",5,"Control-I",0.0388499805825066,1.26241598312819,3.40303762913642
83,"D",5,"Control-I",0.0309174016317429,1.25144609819444,3.50489289994348
84,"D",5,"Control-I",0.0238856675333026,1.2404491793347,3.59703086434021
85,"D",5,"Control-I",0.0177568619417557,1.22942848517336,3.67876936507447
86,"D",5,"Control-I",0.0125328009544702,1.21838728137994,3.7495032388846
87,"D",5,"Control-I",0.00821503257346063,1.20732883970143,3.80870879691651
88,"D",5,"Control-I",0.00480483624668323,1.19625643699274,3.85594770193274
89,"D",5,"Control-I",0.00230322248890783,1.18517335424576,3.89087021360799
90,"D",5,"Control-I",0.000710932582280267,1.17408287561711,3.91321777788413
91,"D",5,"Control-I",2.84383566643313e-05,1.16298828745495,3.92282494121398
92,"D",5,"Control-I",0.000255942049828211,1.1518928773252,3.9196205755215
93,"D",5,"Control-I",0.00139337624751799,1.14079993303734,3.90362840480916
94,"D",5,"Control-I",0.00344040390343258,1.12971274167016,3.87496682951375
95,"D",5,"Control-I",0.00639641843909973,1.11863458859775,3.83384804991096
96,"D",5,"Control-I",0.0102605439236159,1.10756875651595,3.78057649505877
97,"D",5,"Control-I",0.0150316353332058,1.09651852446962,3.71554656891123
98,"D",5,"Control-I",0.020708278890516,1.08548716688101,3.63923973028956
99,"D",5,"Control-I",0.0272887924835484,1.07447795257944,3.5522209283295
100,"D",5,"Control-I",0.0347712261641066,1.06349414383271,3.45513441979558
101,"D",5,"Control-I",0.0431533627256062,1.05253899538041,3.34869899922939
102,"D",5,"Control-I",0.0524327183600835,1.04161575346944,3.23370267724633
103,"D",5,"Control-I",0.0626065433941987,1.03072765489213,3.11099684638068
104,"D",5,"Control-I",0.0736718231040251,1.01987792602708,2.98148997767319
105,"D",5,"Control-I",0.0856252786083766,1.0090697818831,2.8461408946693
106,"D",5,"Control-I",0.0984633678404098,0.99830642514656,2.70595167462509
