"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"B",5,"Control-II",1.26155761766026,3.88215680284525,1.90072227733959
2,"B",5,"Control-II",1.23946817850589,3.88116130631389,2.07587524999593
3,"B",5,"Control-II",1.21739183244679,3.87950247319498,2.24842500754177
4,"B",5,"Control-II",1.19533512118075,3.87718079503657,2.41709405194209
5,"B",5,"Control-II",1.17330458058733,3.87419695980201,2.58063361660425
6,"B",5,"Control-II",1.15130673879117,3.87055185166607,2.73783291180895
7,"B",5,"Control-II",1.12934811422756,3.86624655075297,2.88752808897369
8,"B",5,"Control-II",1.10743521371084,3.86128233281627,3.02861085738048
9,"B",5,"Control-II",1.08557453050638,3.85566066886089,3.16003668957256
10,"B",5,"Control-II",1.06377254240638,3.84938322470719,3.28083255467021
11,"B",5,"Control-II",1.04203570981046,3.84245186049735,3.39010412235102
12,"B",5,"Control-II",1.02037047381122,3.83486863014417,3.48704238415864
13,"B",5,"Control-II",0.99878325428567,3.82663578072246,3.57092964311834
14,"B",5,"Control-II",0.977280447992846,3.8177557518032,3.64114482731438
15,"B",5,"Control-II",0.95586842667832,3.80823117473059,3.69716808808908
16,"B",5,"Control-II",0.934553535186116,3.79806487184238,3.7385846488205
17,"B",5,"Control-II",0.913342089578596,3.78725985563351,3.76508787578334
18,"B",5,"Control-II",0.892240375264876,3.7758193278635,3.77648154835785
19,"B",5,"Control-II",0.871254645138317,3.76374667860761,3.77268131177858
20,"B",5,"Control-II",0.850391117723666,3.75104548525238,3.75371530166757
21,"B",5,"Control-II",0.829655975334367,3.73771951143551,3.71972393572806
22,"B",5,"Control-II",0.809055362240612,3.72377270593064,3.67095887414094
23,"B",5,"Control-II",0.788595382848657,3.70920920147723,3.6077811563608
24,"B",5,"Control-II",0.76828209989196,3.69403331355597,3.53065852810615
25,"B",5,"Control-II",0.748121532634656,3.67824953910996,3.44016197833376
26,"B",5,"Control-II",0.728119655087925,3.66186255521222,3.33696151183617
27,"B",5,"Control-II",0.708282394239759,3.64487721767974,3.22182118876068
28,"B",5,"Control-II",0.688615628298672,3.62729855963459,3.09559346777527
29,"B",5,"Control-II",0.669125184951855,3.60913179001254,2.95921289476294
30,"B",5,"Control-II",0.64981683963831,3.5903822920195,2.8136891837709
31,"B",5,"Control-II",0.630696313837461,3.57105562153637,2.66009974144107
32,"B",5,"Control-II",0.611769273373759,3.55115750547272,2.49958169026824
33,"B",5,"Control-II",0.593041326737771,3.53069384006977,2.33332344974297
34,"B",5,"Control-II",0.574518023424268,3.50967068915323,2.16255593770947
35,"B",5,"Control-II",0.556204852287787,3.48809428233642,1.98854345708054
36,"B",5,"Control-II",0.538107239916167,3.46597101317435,1.81257433538114
37,"B",5,"Control-II",0.520230549022532,3.44330743726913,1.63595138642217
38,"B",5,"Control-II",0.502580076856204,3.42011027032741,1.45998226472277
39,"B",5,"Control-II",0.485161053633015,3.3963863861704,1.28596978409384
40,"B",5,"Control-II",0.467978640985478,3.37214281469698,1.11520227206034
41,"B",5,"Control-II",0.451037930433289,3.3473867398006,0.948944031535071
42,"B",5,"Control-II",0.434343941874594,3.32212549724051,0.78842598036224
43,"B",5,"Control-II",0.417901622098488,3.29636657246809,0.634836538032408
44,"B",5,"Control-II",0.401715843319177,3.27011759840866,0.489312827040366
45,"B",5,"Control-II",0.38579140173223,3.24338635319974,0.352932254028035
46,"B",5,"Control-II",0.370133016093366,3.21618075788618,0.226704533042631
47,"B",5,"Control-II",0.354745326320187,3.18850887407303,0.111564209967139
48,"B",5,"Control-II",0.339632892117265,3.16037890153666,0.00836374346955312
49,"B",5,"Control-II",0.324800191625009,3.13179917579504,-0.0821328063028433
50,"B",5,"Control-II",0.310251620092688,3.1027781656377,-0.159255434557493
51,"B",5,"Control-II",0.295991488576034,3.07332447061627,-0.222433152337631
52,"B",5,"Control-II",0.282024022659772,3.04344681849626,-0.271198213924753
53,"B",5,"Control-II",0.268353361205497,3.01315406267079,-0.30518957986426
54,"B",5,"Control-II",0.254983555125234,2.9824551795372,-0.324155589975271
55,"B",5,"Control-II",0.241918566181069,2.95135926583709,-0.327955826554545
56,"B",5,"Control-II",0.229162265811192,2.91987553596079,-0.316562153980036
57,"B",5,"Control-II",0.216718433982705,2.88801331921694,-0.29005892701719
58,"B",5,"Control-II",0.20459075807154,2.85578205706801,-0.248642366285777
59,"B",5,"Control-II",0.192782831769805,2.82319130033257,-0.192619105511072
60,"B",5,"Control-II",0.181298154020901,2.79025070635522,-0.122403921315037
61,"B",5,"Control-II",0.170140127982703,2.75697003614487,-0.0385166623553287
62,"B",5,"Control-II",0.159312060019136,2.72335915148235,0.0584215994522855
63,"B",5,"Control-II",0.148817158720427,2.68942801199817,0.167693167133096
64,"B",5,"Control-II",0.138658533952329,2.65518667222126,0.28848903223075
65,"B",5,"Control-II",0.128839195934602,2.62064527859958,0.419914864422821
66,"B",5,"Control-II",0.11936205434902,2.58581406649353,0.560997632829612
67,"B",5,"Control-II",0.110229917477167,2.55070335714297,0.710692809994354
68,"B",5,"Control-II",0.101445491368287,2.51532355460883,0.867892105199056
69,"B",5,"Control-II",0.0930113790374187,2.47968514269016,1.03143166986121
70,"B",5,"Control-II",0.0849300796940693,2.44379868181755,1.20010071426153
71,"B",5,"Control-II",0.0772039880016424,2.40767480592386,1.37265047180737
72,"B",5,"Control-II",0.0698353933678497,2.37132421929313,1.54780344446372
73,"B",5,"Control-II",0.0628264792663082,2.33475769338868,1.72426286090165
74,"B",5,"Control-II",0.056179322589531,2.29798606366132,1.90072227733959
75,"B",5,"Control-II",0.0498958930334989,2.26102022633853,2.07587524999593
76,"B",5,"Control-II",0.0439780525139968,2.22387113519568,2.24842500754177
77,"B",5,"Control-II",0.0384275546148881,2.18654979831024,2.41709405194209
78,"B",5,"Control-II",0.0332460440684899,2.14906727479979,2.58063361660425
79,"B",5,"Control-II",0.0284350562682031,2.11143467154497,2.73783291180895
80,"B",5,"Control-II",0.0239960168135428,2.07366313989831,2.88752808897369
81,"B",5,"Control-II",0.0199302410877015,2.03576387237982,3.02861085738048
82,"B",5,"Control-II",0.0162389338677735,1.99774809936038,3.16003668957255
83,"B",5,"Control-II",0.012923188967753,1.95962708573401,3.28083255467021
84,"B",5,"Control-II",0.00998398891441351,1.92141212757974,3.39010412235102
85,"B",5,"Control-II",0.00742220465616385,1.88311454881444,3.48704238415863
86,"B",5,"Control-II",0.00523859530496785,1.84474569783721,3.57092964311834
87,"B",5,"Control-II",0.00343380791140219,1.80631694416667,3.64114482731438
88,"B",5,"Control-II",0.00200837727292208,1.7678396750719,3.69716808808908
89,"B",5,"Control-II",0.000962725775389046,1.72932529219812,3.7385846488205
90,"B",5,"Control-II",0.000297163267908894,1.69078520818821,3.76508787578334
91,"B",5,"Control-II",1.1886971016613e-05,1.6522308433008,3.77648154835785
92,"B",5,"Control-II",0.000106981418235617,1.61367362202629,3.77268131177858
93,"B",5,"Control-II",0.000582418431029013,1.57512496970148,3.75371530166757
94,"B",5,"Control-II",0.00143805712714894,1.536596309124,3.71972393572806
