"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"B",1,"Control-III",1.50893132350841,3.35182652541227,2.75040325117414
2,"B",1,"Control-III",1.48251045600924,3.35096702079944,3.00385495802798
3,"B",1,"Control-III",1.45610524897719,3.34953479610282,3.25353973302186
4,"B",1,"Control-III",1.42972352684495,3.34753027572149,3.49760899743875
5,"B",1,"Control-III",1.40337310708618,3.3449540536381,3.73425574783722
6,"B",1,"Control-III",1.37706179789892,3.34180689324286,3.96172793447275
7,"B",1,"Control-III",1.35079739589193,3.33808972710731,4.17834143286099
8,"B",1,"Control-III",1.32458768377437,3.333803656708,4.38249251244628
9,"B",1,"Control-III",1.29844042804959,3.3289499521001,4.57266971006154
10,"B",1,"Control-III",1.27236337671375,3.32353005154102,4.74746502027278
11,"B",1,"Control-III",1.24636425695996,3.31754556106428,4.90558431975869
12,"B",1,"Control-III",1.22045077288852,3.31099825400355,5.04585694854695
13,"B",1,"Control-III",1.194630603224,3.30389007046723,5.16724437717109
14,"B",1,"Control-III",1.16891139903993,3.29622311676351,5.2688478955793
15,"B",1,"Control-III",1.14330078149157,3.28799966477622,5.34991526686923
16,"B",1,"Control-III",1.11780633955762,3.27922215129168,5.40984629658682
17,"B",1,"Control-III",1.09243562779144,3.26989317727656,5.44819727635607
18,"B",1,"Control-III",1.06719616408248,3.2600155071072,5.4646842689406
19,"B",1,"Control-III",1.04209542742855,3.24959206775044,5.4591852104156
20,"B",1,"Control-III",1.01714085571962,3.23862594789633,5.43174081388643
21,"B",1,"Control-III",0.99233984353387,3.22712039704284,5.38255426806306
22,"B",1,"Control-III",0.967699739946452,3.21507882453301,5.31198973292189
23,"B",1,"Control-III",0.943227846351838,3.20250479854464,5.22056964359276
24,"B",1,"Control-III",0.918931414300246,3.18940204503302,5.10897084243198
25,"B",1,"Control-III",0.894817643348854,3.17577444662677,4.97801956791837
26,"B",1,"Control-III",0.870893678928412,3.16162604147742,4.82868533747259
27,"B",1,"Control-III",0.847166610225899,3.14696102206277,4.66207376948943
28,"B",1,"Control-III",0.823643468083844,3.13178373394455,4.47941839772597
29,"B",1,"Control-III",0.800331222916934,3.1160986744808,4.28207153864925
30,"B",1,"Control-III",0.777236782646533,3.09991049149314,4.0714942793583
31,"B",1,"Control-III",0.75436699065371,3.08322398188957,3.84924566020639
32,"B",1,"Control-III",0.731728623751404,3.066044090243,3.61697113221178
33,"B",1,"Control-III",0.709328390176304,3.0483759073261,3.37639037471404
34,"B",1,"Control-III",0.687172927601056,3.03022466860277,3.12928456346987
35,"B",1,"Control-III",0.665268801167373,3.0115957526768,2.87748318345101
36,"B",1,"Control-III",0.643622501540649,2.992494679698,2.62285048397758
37,"B",1,"Control-III",0.622240442986627,2.97292710972655,2.36727167646832
38,"B",1,"Control-III",0.601128961470721,2.95289884105573,2.11263897699489
39,"B",1,"Control-III",0.580294312780526,2.93241580849378,1.86083759697603
40,"B",1,"Control-III",0.559742670672098,2.91148408160532,1.61373178573187
41,"B",1,"Control-III",0.539480125040534,2.89010986291276,1.37315102823412
42,"B",1,"Control-III",0.519512680115406,2.86829948605841,1.14087650023951
43,"B",1,"Control-III",0.49984625268158,2.84605941392762,0.918627881087604
44,"B",1,"Control-III",0.480486670325938,2.82339623673376,0.708050621796647
45,"B",1,"Control-III",0.461439669710549,2.80031667006532,0.510703762719931
46,"B",1,"Control-III",0.442710894872761,2.77682755289603,0.32804839095647
47,"B",1,"Control-III",0.424305895552759,2.75293584555822,0.161436822973307
48,"B",1,"Control-III",0.406230125549054,2.72864862768041,0.0121025925275329
49,"B",1,"Control-III",0.388488941102406,2.70397309608943,-0.118848681986083
50,"B",1,"Control-III",0.371087599308652,2.67891656267781,-0.230447483146861
51,"B",1,"Control-III",0.354031256560916,2.65348645223717,-0.321867572475992
52,"B",1,"Control-III",0.337324967021663,2.62769030025807,-0.392432107617159
53,"B",1,"Control-III",0.320973681125032,2.60153575069706,-0.441618653440533
54,"B",1,"Control-III",0.304982244109926,2.57503055371164,-0.469063049969698
55,"B",1,"Control-III",0.289355394584254,2.5481825633637,-0.474562108494701
56,"B",1,"Control-III",0.274097763120787,2.52099973529221,-0.458075115910174
57,"B",1,"Control-III",0.259213870885014,2.49349012435579,-0.419724136140922
58,"B",1,"Control-III",0.244708128295424,2.46566188224586,-0.359793106423328
59,"B",1,"Control-III",0.230584833716608,2.43752325507113,-0.278725735133401
60,"B",1,"Control-III",0.216848172185554,2.40908258091413,-0.177122216725192
61,"B",1,"Control-III",0.203502214171534,2.3803482873604,-0.055734788101053
62,"B",1,"Control-III",0.190550914369939,2.35132888900126,0.0845378406872071
63,"B",1,"Control-III",0.177998110530412,2.32203298491073,0.242657140173115
64,"B",1,"Control-III",0.165847522319641,2.29246925609747,0.417452450384353
65,"B",1,"Control-III",0.154102750219145,2.26264646293234,0.607629647999613
66,"B",1,"Control-III",0.142767274458369,2.23257344255259,0.811780727584901
67,"B",1,"Control-III",0.131844453983423,2.2022591062432,1.02839422597314
68,"B",1,"Control-III",0.121337525461745,2.17171243679624,1.25586641260867
69,"B",1,"Control-III",0.111249602323015,2.14094248584912,1.49251316300715
70,"B",1,"Control-III",0.101583673836575,2.10995837120238,1.73658242742404
