"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",5,"Control-III",2.97797993716263,1.97898636677581,2.06161990135601
2,"D",5,"Control-III",2.92583653467032,1.97867222955629,2.19167351877991
3,"D",5,"Control-III",2.87372403918891,1.97814877095327,2.3197942113044
4,"D",5,"Control-III",2.82165789277549,1.97741614607882,2.44503341814751
5,"D",5,"Control-III",2.76965352375291,1.97647457202551,2.56646391203912
6,"D",5,"Control-III",2.71772634213808,1.97532432780205,2.68318666408724
7,"D",5,"Control-III",2.66589173507557,1.97396575425063,2.79433749987342
8,"D",5,"Control-III",2.61416506227814,1.97239925394591,2.89909349749774
9,"D",5,"Control-III",2.5625616514753,1.97062529107574,2.9966790802047
10,"D",5,"Control-III",2.51109679387137,1.96864439130361,3.08637175848212
11,"D",5,"Control-III",2.45978573961434,1.96645714161286,3.16750747912075
12,"D",5,"Control-III",2.40864369327699,1.96406419013279,3.23948554163186
13,"D",5,"Control-III",2.35768580935137,1.96146624594657,3.30177304562353
14,"D",5,"Control-III",2.30692718775826,1.95866407888111,3.35390883620869
15,"D",5,"Control-III",2.25638286937269,1.95565851927901,3.39550691823456
16,"D",5,"Control-III",2.20606783156704,1.95245045775244,3.4262593140557
17,"D",5,"Control-III",2.1559969837729,1.94904084491925,3.44593834369276
18,"D",5,"Control-III",2.10618516306308,1.94543069112133,3.45439831049542
19,"D",5,"Control-III",2.05664712975509,1.94162106612515,3.45157657982933
20,"D",5,"Control-III",2.00739756303732,1.93761309880483,3.43749404280111
21,"D",5,"Control-III",1.95845105661928,1.93340797680757,3.41225496158788
22,"D",5,"Control-III",1.90982211440716,1.92900694620177,3.37604619751656
23,"D",5,"Control-III",1.86152514620605,1.92441131110779,3.32913582760799
24,"D",5,"Control-III",1.81357446344997,1.91962243331149,3.2718711598285
25,"D",5,"Control-III",1.76598427496106,1.91464173186071,3.20467616174318
26,"D",5,"Control-III",1.71876868273926,1.90947068264479,3.12804832160838
27,"D",5,"Control-III",1.67194167778355,1.9041108179572,3.04255496514275
28,"D",5,"Control-III",1.62551713594609,1.89856372604153,2.94882905524606
29,"D",5,"Control-III",1.57950881382056,1.89283105062083,2.84756450576337
30,"D",5,"Control-III",1.53393034466575,1.88691449041055,2.73951104398971
31,"D",5,"Control-III",1.48879523436573,1.88081579861517,2.62546865995147
32,"D",5,"Control-III",1.44411685742778,1.87453678240868,2.50628168356015
33,"D",5,"Control-III",1.39990845301922,1.86807930239911,2.3828325334891
34,"D",5,"Control-III",1.35618312104437,1.86144527207714,2.25603518405438
35,"D",5,"Control-III",1.31295381826278,1.85463665724913,2.12682839846873
36,"D",5,"Control-III",1.27023335444981,1.84765547545459,1.99616877856713
