"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"B",5,"Control-III",1.09439339236792,3.50651262301999,2.63824883232535
2,"B",5,"Control-III",1.07523094119387,3.50561345244789,2.88136542600031
3,"B",5,"Control-III",1.0560798481986,3.50411513087914,3.12086869367417
4,"B",5,"Control-III",1.03694578826427,3.50201810229877,3.3549854369479
5,"B",5,"Control-III",1.01783443122578,3.4993229881016,3.58198233736454
6,"B",5,"Control-III",0.998751440190684,3.49603058690813,3.80017878929262
7,"B",5,"Control-III",0.979702469861069,3.49214187432788,4.00795934254231
8,"B",5,"Control-III",0.960693164857955,3.48765800267033,4.20378566259335
9,"B",5,"Control-III",0.941729158048668,3.48258030060342,4.38620791988568
10,"B",5,"Control-III",0.922816068877703,3.47691027275984,4.55387552385026
11,"B",5,"Control-III",0.903959501701557,3.47064959929123,4.70554712220905
12,"B",5,"Control-III",0.885165044128045,3.46380013537024,4.84009979151303
13,"B",5,"Control-III",0.866438265360563,3.45636391064087,4.95653735087452
14,"B",5,"Control-III",0.847784714547816,3.44834312861698,5.05399773734191
15,"B",5,"Control-III",0.829209919139486,3.43974016602939,5.1317593883122
16,"B",5,"Control-III",0.810719383248331,3.43055757212158,5.189246583728
17,"B",5,"Control-III",0.792318586019193,3.42079806789431,5.22603370850745
18,"B",5,"Control-III",0.774012980005414,3.4104645452993,5.24184840364938
19,"B",5,"Control-III",0.755807989553121,3.39956006638231,5.23657358268402
20,"B",5,"Control-III",0.737709009193882,3.38808786237579,5.21024829854031
21,"B",5,"Control-III",0.719721402046186,3.37605133274138,5.16306745441164
22,"B",5,"Control-III",0.701850498226234,3.36345404416256,5.09538036076082
23,"B",5,"Control-III",0.684101593268515,3.35029972948783,5.00768814914759
24,"B",5,"Control-III",0.66647994655662,3.33659228662451,4.90064006202595
25,"B",5,"Control-III",0.648990779764775,3.32233577738376,4.77502864598011
26,"B",5,"Control-III",0.631639275310549,3.30753442627694,4.63178388398691
27,"B",5,"Control-III",0.614430574819188,3.29219261926382,4.47196631014721
28,"B",5,"Control-III",0.597369777600041,3.27631490245293,4.29675915786248
29,"B",5,"Control-III",0.580461939135526,3.25990598075442,4.10745959958863
30,"B",5,"Control-III",0.563712069583082,3.24297071648594,3.90546914302504
