"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",2,"Control-I",2.75246410041614,2.02867205942723,1.75286625179309
2,"D",2,"Control-I",2.70426940251285,2.02835003527853,1.86344269547023
3,"D",2,"Control-I",2.65610327110084,2.02781343439029,1.97237569419362
4,"D",2,"Control-I",2.60797997884438,2.02706241576894,2.07885874615302
5,"D",2,"Control-I",2.55991378571354,2.02609720195752,2.18210348808686
6,"D",2,"Control-I",2.5119189347587,2.0249180789697,2.28134553204802
7,"D",2,"Control-I",2.46400964789001,2.02352539620507,2.37585012466474
8,"D",2,"Control-I",2.41620012166313,2.02191956634559,2.46491758699755
9,"D",2,"Control-I",2.36850452307251,2.02010106523331,2.54788849471729
10,"D",2,"Control-I",2.32093698535336,2.01807043172935,2.62414856025217
11,"D",2,"Control-I",2.27351160379369,2.01582826755424,2.69313318075803
12,"D",2,"Control-I",2.22624243155759,2.01337523710963,2.75433161824022
13,"D",2,"Control-I",2.17914347552095,2.01071206728136,2.80729078087908
14,"D",2,"Control-I",2.13222869212091,2.00783954722414,2.85161857756322
15,"D",2,"Control-I",2.0855119832203,2.00475852812765,2.88698682079491
16,"D",2,"Control-I",2.0390071919882,2.00146992296435,2.91313365647554
17,"D",2,"Control-I",1.9927280987979,1.99797470621891,2.92986550258168
18,"D",2,"Control-I",1.94668841714351,1.9942739135995,2.93705848237874
19,"D",2,"Control-I",1.90090178957631,1.99036864173084,2.93465934156088
20,"D",2,"Control-I",1.85538178366221,1.98626004782926,2.92268584252736
21,"D",2,"Control-I",1.81014188796136,1.9819493493598,2.90122663287584
22,"D",2,"Control-I",1.76519550803122,1.97743782367547,2.87044058908667
23,"D",2,"Control-I",1.72055596245418,1.97272680763867,2.83055564025699
24,"D",2,"Control-I",1.67623647889099,1.96781769722515,2.7818670805934
25,"D",2,"Control-I",1.63225019016113,1.96271194711025,2.72473538315703
26,"D",2,"Control-I",1.58861013035126,1.95741107023794,2.65958353104708
27,"D",2,"Control-I",1.54532923095292,1.95191663737242,2.58689388578194
28,"D",2,"Control-I",1.50242031703068,1.94623027663274,2.50720461606328
29,"D",2,"Control-I",1.45989610342179,1.94035367301031,2.42110571336328
30,"D",2,"Control-I",1.41776919096848,1.93428856786961,2.32923462383418
