"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"B",3,"Control-II",1.4812808477894,3.5927939059282,2.57961535332108
2,"B",3,"Control-II",1.45534413059177,3.59187261035646,2.81732882826206
3,"B",3,"Control-II",1.42942278689035,3.59033742107297,3.05150928117921
4,"B",3,"Control-II",1.40352449773871,3.58818879298743,3.28042292193163
5,"B",3,"Control-II",1.37765693735887,3.58542736278472,3.50237495401306
6,"B",3,"Control-II",1.35182777086723,3.58205394873621,3.71572212223213
7,"B",3,"Control-II",1.32604465200326,3.57806955045728,3.91888487879895
8,"B",3,"Control-II",1.30031522086152,3.57347534861113,4.11035907774431
9,"B",3,"Control-II",1.27464710162776,3.56827270455893,4.28872711109014
10,"B",3,"Control-II",1.24904790031965,3.56246315995638,4.45266840432303
11,"B",3,"Control-II",1.22352520253303,3.55604843629693,4.60096919346589
12,"B",3,"Control-II",1.19808657119408,3.54903043440165,4.7325315113618
13,"B",3,"Control-II",1.17273954431827,3.54141123385595,4.84638131663865
14,"B",3,"Control-II",1.14749163277669,3.53319309239339,4.94167570517072
15,"B",3,"Control-II",1.12235031807044,3.52437844522666,5.01770915064589
16,"B",3,"Control-II",1.09732305011365,3.51496990432594,5.07391872803563
17,"B",3,"Control-II",1.07241724502596,3.50497025764495,5.10988828129493
18,"B",3,"Control-II",1.04764028293491,3.49438246829481,5.12535150443611
19,"B",3,"Control-II",1.02299950578911,3.48320967366602,5.12019391316514
20,"B",3,"Control-II",0.998502215182626,3.47145518449875,5.0944536924833
21,"B",3,"Control-II",0.974155670191349,3.45912248390182,5.04832141397882
22,"B",3,"Control-II",0.949967085222004,3.44621522632059,4.98213862490147
23,"B",3,"Control-II",0.925943627874351,3.43273723645402,4.89639531946626
24,"B",3,"Control-II",0.902092416817271,3.41869250812141,4.79172631110769
25,"B",3,"Control-II",0.87842051967935,3.40408520307887,4.6689065325432
26,"B",3,"Control-II",0.854934950954592,3.38891964978612,4.52884529844239
27,"B",3,"Control-II",0.831642669923871,3.37320034212392,4.37257957317946
28,"B",3,"Control-II",0.808550578592744,3.35693193806236,4.20126629351167
