"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"B",4,"Control-III",1.2278203696876,3.8764494130376,1.98570071768847
2,"B",4,"Control-III",1.20632165811943,3.87545538004495,2.16868451687652
3,"B",4,"Control-III",1.18483568950397,3.87379898567535,2.34894871511348
4,"B",4,"Control-III",1.16336883059745,3.8714807207542,2.52515869934449
5,"B",4,"Control-III",1.14192744249343,3.86850127223344,2.69600987249675
6,"B",4,"Control-III",1.12051787873797,3.86486152298795,2.86023731225982
7,"B",4,"Control-III",1.09914648344686,3.860562551554,3.0166251361278
8,"B",4,"Control-III",1.07781958942576,3.8556056318096,3.16401550336807
9,"B",4,"Control-III",1.05654351629363,3.84999223259704,3.30131718726892
10,"B",4,"Control-III",1.03532456861012,3.84372401728766,3.4275136542004
11,"B",4,"Control-III",1.01416903400738,3.83680284328895,3.5416705896736
12,"B",4,"Control-III",0.993083181326874,3.82923076149411,3.64294281567828
13,"B",4,"Control-III",0.972073258761827,3.82101001567441,3.73058054808512
14,"B",4,"Control-III",0.951145492005726,3.81214304181426,3.80393494778514
15,"B",4,"Control-III",0.930306082407519,3.80263246738937,3.86246292446739
16,"B",4,"Control-III",0.909561205134021,3.7924811105882,3.90573115746968
17,"B",4,"Control-III",0.888917007340079,3.78169197947686,3.93341930393305
18,"B",4,"Control-III",0.868379606347037,3.77026827110773,3.94532237050834
19,"B",4,"Control-III",0.847955087830044,3.75821337057216,3.94135223105514
20,"B",4,"Control-III",0.827649504014733,3.74553084999734,3.92153827909692
21,"B",4,"Control-III",0.807468871883819,3.73222446748783,3.8860272102017
22,"B",4,"Control-III",0.787419171394137,3.71829816601193,3.83508193589934
23,"B",4,"Control-III",0.767506343704648,3.70375607223334,3.7690796371766
24,"B",4,"Control-III",0.747736289415952,3.68860249528828,3.68850897196104
25,"B",4,"Control-III",0.728114866821808,3.67284192550864,3.59396645726873
26,"B",4,"Control-III",0.708647890173194,3.65647903309139,3.48615205280094
27,"B",4,"Control-III",0.689341127955423,3.63951866671469,3.36586397868739
28,"B",4,"Control-III",0.670200301178815,3.62196585210114,3.23399280574374
29,"B",4,"Control-III",0.651231081683437,3.60382579052852,3.0915148619968
30,"B",4,"Control-III",0.632439090458414,3.58510385728857,2.93948500429342
31,"B",4,"Control-III",0.61382989597631,3.56580560009417,2.77902880850947
32,"B",4,"Control-III",0.59540901254307,3.54593673743541,2.61133423617985
33,"B",4,"Control-III",0.577181898664011,3.52550315688511,2.43764283924692
34,"B",4,"Control-III",0.559153955426347,3.50451091335416,2.2592405680443
35,"B",4,"Control-III",0.541330524898736,3.48296622729739,2.07744825057051
36,"B",4,"Control-III",0.523716888548304,3.46087548287024,1.8936118135406
37,"B",4,"Control-III",0.506318265675635,3.43824522603704,1.70909231761561
38,"B",4,"Control-III",0.489139811868179,3.41508216263129,1.5252558805857
39,"B",4,"Control-III",0.47218661747254,3.39139315636859,1.34346356311191
40,"B",4,"Control-III",0.455463706086098,3.36718522681273,1.16506129190929
41,"B",4,"Control-III",0.438976033068407,3.3424655472957,0.991369894976361
42,"B",4,"Control-III",0.422728484072814,3.31724144279202,0.823675322646741
43,"B",4,"Control-III",0.406725873598739,3.29152038774825,0.663219126862789
44,"B",4,"Control-III",0.39097294356503,3.2653100038681,0.511189269159407
45,"B",4,"Control-III",0.37547436190483,3.23861805785398,0.368711325412464
46,"B",4,"Control-III",0.360234721182374,3.21145245910555,0.236840152468815
47,"B",4,"Control-III",0.345258537232105,3.183821257376,0.116552078355272
48,"B",4,"Control-III",0.330550247820541,3.15573264038674,0.00873767388747591
49,"B",4,"Control-III",0.316114211331264,3.12719493140119,-0.0858048408048334
50,"B",4,"Control-III",0.301954705473442,3.0982165867584,-0.16637550602039
51,"B",4,"Control-III",0.288075926014249,3.06880619336731,-0.232377804743133
52,"B",4,"Control-III",0.274481985535565,3.03897246616219,-0.283323079045492
53,"B",4,"Control-III",0.261176912215337,3.00872424552029,-0.318834147940715
54,"B",4,"Control-III",0.248164648633936,2.9780704946422,-0.338648099898933
55,"B",4,"Control-III",0.235449050605888,2.94702029689585,-0.342618239352137
56,"B",4,"Control-III",0.223033886037315,2.91558285312496,-0.330715172776848
57,"B",4,"Control-III",0.21092283380942,2.8837674789226,-0.30302702631347
58,"B",4,"Control-III",0.199119482688355,2.85158360187077,-0.259758793311189
59,"B",4,"Control-III",0.187627330261795,2.81904075874684,-0.201230816628931
60,"B",4,"Control-III",0.176449781902525,2.78614859269753,-0.127876416928914
61,"B",4,"Control-III",0.165590149759355,2.75291685038154,-0.0402386845220713
62,"B",4,"Control-III",0.155051651775659,2.71935537908131,0.061033541482602
63,"B",4,"Control-III",0.144837410735829,2.6854741237851,0.175190476955802
64,"B",4,"Control-III",0.134950453339926,2.65128312424006,0.301386943887282
65,"B",4,"Control-III",0.125393709306805,2.61679251197728,0.43868862778814
66,"B",4,"Control-III",0.116170010505975,2.58201250730953,0.586078995028407
67,"B",4,"Control-III",0.107282090118453,2.5469534163028,0.742466818896388
68,"B",4,"Control-III",0.0987325818268679,2.51162562772241,0.90669425865945
69,"B",4,"Control-III",0.0905240190350399,2.47603960995454,1.07754543181171
70,"B",4,"Control-III",0.0826588341172793,2.44020590790426,1.25375541604272
71,"B",4,"Control-III",0.0751393576976216,2.40413513987086,1.43401961427968
72,"B",4,"Control-III",0.067967817959214,2.36783799440136,1.61700341346774
73,"B",4,"Control-III",0.0611463399840551,2.33132522712333,1.8013520655781
74,"B",4,"Control-III",0.0546769451232887,2.29460765755772,1.98570071768846
75,"B",4,"Control-III",0.0485615503982331,2.25769616591282,2.16868451687652
76,"B",4,"Control-III",0.0428019679323262,2.22060168986023,2.34894871511348
77,"B",4,"Control-III",0.0373999044141547,2.18333522129376,2.52515869934449
78,"B",4,"Control-III",0.032356960591725,2.14590780307233,2.69600987249675
79,"B",4,"Control-III",0.0276746307981274,2.1083305257477,2.86023731225981
80,"B",4,"Control-III",0.0233543025087328,2.07061452427813,3.0166251361278
81,"B",4,"Control-III",0.0193972559300535,2.03277097472883,3.16401550336806
