"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",1,"Control-III",3.02868611549289,1.82346914764295,1.72306629057247
2,"D",1,"Control-III",2.97565486529129,1.8231796966707,1.8317628568031
3,"D",1,"Control-III",2.92265504835545,1.8226973736852,1.93884391780205
4,"D",1,"Control-III",2.86970236967495,1.82202232160916,2.04351668285804
5,"D",1,"Control-III",2.81681252027129,1.82115474047507,2.14500619144038
6,"D",1,"Control-III",2.76400117254831,1.82009488736595,2.24256105073558
7,"D",1,"Control-III",2.71128397564811,1.81884307633915,2.33545899869687
8,"D",1,"Control-III",2.65867655081386,1.81739967833329,2.42301225141966
9,"D",1,"Control-III",2.60619448676089,1.81576512105835,2.50457259525299
10,"D",1,"Control-III",2.55385333505744,1.81393988886894,2.57953618594657
11,"D",1,"Control-III",2.50166860551637,1.81192452262073,2.64734801930235
12,"D",1,"Control-III",2.44965576159929,1.80971961951024,2.70750604023144
13,"D",1,"Control-III",2.39783021583438,1.80732583289785,2.75956485979433
14,"D",1,"Control-III",2.34620732524933,1.8047438721142,2.80313905270475
15,"D",1,"Control-III",2.29480238682074,1.80197450224999,2.83790601088365
16,"D",1,"Control-III",2.24363063294128,1.79901854392928,2.86360833193657
17,"D",1,"Control-III",2.19270722690599,1.79587687306631,2.88005572487089
18,"D",1,"Control-III",2.1420472584191,1.79255042060596,2.88712641894375
19,"D",1,"Control-III",2.0916657391226,1.78904017224789,2.88476806521006
20,"D",1,"Control-III",2.04157759814799,1.78534716815444,2.87299812409574
21,"D",1,"Control-III",1.99179767769243,1.78147250264243,2.85190373612688
22,"D",1,"Control-III",1.94234072862068,1.77741732385887,2.8216410767717
23,"D",1,"Control-III",1.89322140609413,1.77318283344076,2.78243420017211
24,"D",1,"Control-III",1.84445426522812,1.76877028615898,2.73457338032517
25,"D",1,"Control-III",1.79605375677897,1.76418098954654,2.67841296199599
26,"D",1,"Control-III",1.7480342228619,1.75941630351106,2.61436873727309
27,"D",1,"Control-III",1.70040989270116,1.75447763993185,2.54291486718922
28,"D",1,"Control-III",1.65319487841359,1.7493664622415,2.46458037119895
29,"D",1,"Control-III",1.60640317082691,1.74408428499228,2.37994521050378
30,"D",1,"Control-III",1.56004863533393,1.73863267340731,2.28963599422226
31,"D",1,"Control-III",1.51414500778392,1.73301324291675,2.19432134019532
32,"D",1,"Control-III",1.46870589041241,1.72722765867913,2.0947069247737
33,"D",1,"Control-III",1.42374474781053,1.72127763508793,1.99153025823719
34,"D",1,"Control-III",1.37927490293518,1.71516493526355,1.88555522452647
35,"D",1,"Control-III",1.33530953316113,1.70889137053087,1.77756642571373
36,"D",1,"Control-III",1.2918616663763,1.70245879988252,1.66836337308343
37,"D",1,"Control-III",1.24894417712128,1.69586912942799,1.55875456783046
38,"D",1,"Control-III",1.2065697827744,1.68912431182888,1.44955151520016
39,"D",1,"Control-III",1.1647510397832,1.68222634572019,1.34156271638742
40,"D",1,"Control-III",1.12350033994376,1.67517727511816,1.2355876826767
41,"D",1,"Control-III",1.0828299067287,1.66797918881453,1.13241101614018
42,"D",1,"Control-III",1.04275179166513,1.66063421975762,1.03279660071857
43,"D",1,"Control-III",1.00327787076349,1.65314454442029,0.937481946691628
44,"D",1,"Control-III",0.964419840998461,1.64551238215498,0.847172730410105
45,"D",1,"Control-III",0.926189216842892,1.63773999453608,0.762537569714936
46,"D",1,"Control-III",0.888597326855803,1.62982968468978,0.684203073724671
47,"D",1,"Control-III",0.851655310325496,1.62178379661161,0.612749203640793
48,"D",1,"Control-III",0.815374113968744,1.61360471447186,0.548704978917894
49,"D",1,"Control-III",0.779764488687038,1.60529486190907,0.49254456058872
50,"D",1,"Control-III",0.74483698638087,1.59685670131191,0.444683740741777
51,"D",1,"Control-III",0.710601956822969,1.58829273308947,0.405476864142186
52,"D",1,"Control-III",0.677069544591446,1.57960549493036,0.37521420478701
53,"D",1,"Control-III",0.644249686063734,1.57079756105074,0.354119816818143
54,"D",1,"Control-III",0.612152106472225,1.56187154143149,0.342349875703829
55,"D",1,"Control-III",0.580786317022474,1.55283008104488,0.339991521970138
56,"D",1,"Control-III",0.550161612074825,1.54367585907075,0.347062216042999
57,"D",1,"Control-III",0.52028706639029,1.53441158810263,0.363509608977315
58,"D",1,"Control-III",0.491171532441499,1.52504001334396,0.389211930030237
59,"D",1,"Control-III",0.462823637789526,1.51556391179458,0.423978888209139
60,"D",1,"Control-III",0.435251782527356,1.50598609142789,0.467553081119555
61,"D",1,"Control-III",0.40846413679075,1.49630939035879,0.519611900682442
62,"D",1,"Control-III",0.382468638337266,1.48653667600263,0.579769921611536
63,"D",1,"Control-III",0.357272990194124,1.47667084422558,0.647581754967319
64,"D",1,"Control-III",0.332884658375636,1.46671481848654,0.722545345660896
65,"D",1,"Control-III",0.309310869670862,1.45667154897079,0.804105689494225
66,"D",1,"Control-III",0.286558609502161,1.44654401171585,0.891658942217018
67,"D",1,"Control-III",0.264634619855254,1.43633520772956,0.984556890178302
68,"D",1,"Control-III",0.243545397281431,1.42604816210089,1.08211174947351
69,"D",1,"Control-III",0.223297190972484,1.41568592310345,1.18360125805585
70,"D",1,"Control-III",0.203896000908936,1.4052515612923,1.28827402311184
71,"D",1,"Control-III",0.185347576082112,1.39474816859404,1.39535508411079
72,"D",1,"Control-III",0.167657412790598,1.3841788573906,1.50405165034142
73,"D",1,"Control-III",0.150830753011562,1.373546759597,1.61355897045694
74,"D",1,"Control-III",0.134872582847444,1.36285502573327,1.72306629057247
75,"D",1,"Control-III",0.119787631048472,1.35210682399091,1.8317628568031
76,"D",1,"Control-III",0.105580367611421,1.34130533929405,1.93884391780204
77,"D",1,"Control-III",0.0922550024550673,1.33045377235573,2.04351668285804
78,"D",1,"Control-III",0.0798154841726906,1.31955533872943,2.14500619144038
79,"D",1,"Control-III",0.0682654988620252,1.30861326785623,2.24256105073558
80,"D",1,"Control-III",0.0576084690329876,1.29763080210789,2.33545899869687
81,"D",1,"Control-III",0.0478475525935138,1.28661119582603,2.42301225141966
82,"D",1,"Control-III",0.0389856419138026,1.27555771435782,2.50457259525299
83,"D",1,"Control-III",0.031025362969244,1.26447363308835,2.57953618594656
84,"D",1,"Control-III",0.0239690745622863,1.25336223647014,2.64734801930235
85,"D",1,"Control-III",0.0178188676234714,1.2422268170498,2.70750604023144
86,"D",1,"Control-III",0.0125765645918482,1.23107067449242,2.75956485979433
87,"D",1,"Control-III",0.00824371887494254,1.21989711460382,2.80313905270475
88,"D",1,"Control-III",0.0048216143884509,1.20870944835094,2.83790601088365
89,"D",1,"Control-III",0.00231126517578776,1.19751099088073,2.86360833193657
90,"D",1,"Control-III",0.000713415107602745,1.18630506053783,2.88005572487089
91,"D",1,"Control-III",2.85376613555334e-05,1.17509497788125,2.88712641894375
92,"D",1,"Control-III",0.000256835781014012,1.1638840647004,2.88476806521006
93,"D",1,"Control-III",0.00139824181691855,1.15267564303081,2.87299812409574
94,"D",1,"Control-III",0.00345241754582668,1.14147303416973,2.85190373612688
95,"D",1,"Control-III",0.00641875427113784,1.13027955769192,2.8216410767717
96,"D",1,"Control-III",0.0102963730032609,1.11909853046605,2.78243420017211
97,"D",1,"Control-III",0.0150841247200803,1.10793326567179,2.73457338032517
98,"D",1,"Control-III",0.0207805907074337,1.09678707181806,2.67841296199599
99,"D",1,"Control-III",0.0273840829795093,1.08566325176265,2.61436873727309
100,"D",1,"Control-III",0.0348926447790323,1.07456510173353,2.54291486718922
101,"D",1,"Control-III",0.0433040511570927,1.06349591035206,2.46458037119895
102,"D",1,"Control-III",0.0526158096324483,1.05245895765854,2.37994521050378
103,"D",1,"Control-III",0.0628251609300984,1.04145751414025,2.28963599422226
104,"D",1,"Control-III",0.0739290797989177,1.03049483976233,2.19432134019532
105,"D",1,"Control-III",0.0859242759081033,1.01957418300181,2.0947069247737
106,"D",1,"Control-III",0.0988071948221698,1.00869877988495,1.99153025823719
107,"D",1,"Control-III",0.112574019054208,0.997871853028426,1.88555522452647
108,"D",1,"Control-III",0.127220669197085,0.987096610684318,1.77756642571373
109,"D",1,"Control-III",0.142742805132262,0.976376245789484,1.66836337308343
110,"D",1,"Control-III",0.159135827315868,0.965713935019407,1.55875456783046
111,"D",1,"Control-III",0.176394878141638,0.955112837846879,1.44955151520016
112,"D",1,"Control-III",0.194514843380333,0.944576095605784,1.34156271638742
113,"D",1,"Control-III",0.21349035369519,0.934106830560249,1.2355876826767
114,"D",1,"Control-III",0.233315786232979,0.923708144979452,1.13241101614018
115,"D",1,"Control-III",0.253985266290171,0.913383120218352,1.03279660071857
116,"D",1,"Control-III",0.275492669053742,0.903134815804619,0.937481946691629
117,"D",1,"Control-III",0.297831621416083,0.892966268532027,0.847172730410105
118,"D",1,"Control-III",0.320995503863497,0.882880491560587,0.762537569714937
119,"D",1,"Control-III",0.344977452437697,0.872880473523687,0.684203073724671
120,"D",1,"Control-III",0.369770360769746,0.862969177642487,0.612749203640794
121,"D",1,"Control-III",0.395366882185833,0.853149540847861,0.548704978917894
122,"D",1,"Control-III",0.421759431884243,0.843424472910117,0.49254456058872
123,"D",1,"Control-III",0.448940189182902,0.833796855576768,0.444683740741777
124,"D",1,"Control-III",0.476901099836814,0.82426954171861,0.405476864142186
125,"D",1,"Control-III",0.505633878424707,0.814845354484358,0.37521420478701
126,"D",1,"Control-III",0.535130010804181,0.805527086464078,0.354119816818143
127,"D",1,"Control-III",0.565380756634632,0.79631749886169,0.342349875703829
128,"D",1,"Control-III",0.596377151967207,0.78721932067676,0.339991521970138
129,"D",1,"Control-III",0.628110011901012,0.778235247895839,0.347062216042999
130,"D",1,"Control-III",0.660569933304797,0.769367942693583,0.363509608977315
131,"D",1,"Control-III",0.693747297603309,0.760620032643896,0.389211930030237
132,"D",1,"Control-III",0.727632273627478,0.751994109941322,0.423978888209139
133,"D",1,"Control-III",0.762214820527612,0.74349273063292,0.467553081119554
134,"D",1,"Control-III",0.79748469074871,0.735118413860853,0.519611900682441
135,"D",1,"Control-III",0.833431433067042,0.726873641115914,0.579769921611536
136,"D",1,"Control-III",0.870044395687064,0.718760855502204,0.647581754967318
137,"D",1,"Control-III",0.907312729397778,0.710782461013188,0.722545345660896
138,"D",1,"Control-III",0.945225390787589,0.702940821819342,0.804105689494224
139,"D",1,"Control-III",0.983771145516707,0.695238261567595,0.891658942217018
140,"D",1,"Control-III",1.02293857164612,0.687677062692785,0.984556890178301
141,"D",1,"Control-III",1.06271606302216,0.680259465741321,1.0821117494735
142,"D",1,"Control-III",1.10309183271567,0.672987668707266,1.18360125805585
143,"D",1,"Control-III",1.1440539165147,0.66586382638102,1.28827402311184
144,"D",1,"Control-III",1.1855901764698,0.658890049710807,1.39535508411078
145,"D",1,"Control-III",1.2276883044907,0.652068405177163,1.50405165034142
146,"D",1,"Control-III",1.27033582599353,0.645400914180586,1.61355897045694
147,"D",1,"Control-III",1.31352010359726,0.638889552442555,1.72306629057247
148,"D",1,"Control-III",1.35722834086844,0.632536249420078,1.8317628568031
149,"D",1,"Control-III",1.40144758611306,0.626342887733957,1.93884391780204
150,"D",1,"Control-III",1.44616473621444,0.620311302610923,2.04351668285803
151,"D",1,"Control-III",1.49136654051591,0.614443281339822,2.14500619144038
152,"D",1,"Control-III",1.53703960474733,0.608740562741996,2.24256105073558
153,"D",1,"Control-III",1.58317039499406,0.603204836656042,2.33545899869687
154,"D",1,"Control-III",1.62974524170738,0.59783774343707,2.42301225141966
155,"D",1,"Control-III",1.67675034375502,0.592640873470632,2.50457259525299
156,"D",1,"Control-III",1.7241717725108,0.587615766701457,2.57953618594656
157,"D",1,"Control-III",1.77199547598195,0.58276391217713,2.64734801930235
158,"D",1,"Control-III",1.820207282973,0.57808674760686,2.70750604023144
159,"D",1,"Control-III",1.86879290728504,0.573585658935449,2.75956485979433
160,"D",1,"Control-III",1.91773795194903,0.569261979932613,2.80313905270474
161,"D",1,"Control-III",1.96702791349191,0.565116991797753,2.83790601088365
162,"D",1,"Control-III",2.01664818623432,0.561151922780309,2.86360833193657
163,"D",1,"Control-III",2.06658406661855,0.557367947815804,2.88005572487089
164,"D",1,"Control-III",2.11682075756553,0.553766188177685,2.88712641894375
165,"D",1,"Control-III",2.16734337285954,0.550347711145066,2.88476806521006
166,"D",1,"Control-III",2.2181369415593,0.547113529686468,2.87299812409574
167,"D",1,"Control-III",2.26918641243419,0.544064602159656,2.85190373612688
168,"D",1,"Control-III",2.32047665842426,0.541201832027658,2.8216410767717
169,"D",1,"Control-III",2.37199248112268,0.538526067591047,2.78243420017211
170,"D",1,"Control-III",2.42371861527938,0.536038101736574,2.73457338032517
171,"D",1,"Control-III",2.47563973332447,0.533738671702217,2.67841296199599
172,"D",1,"Control-III",2.52774044991013,0.53162845885872,2.6143687372731
173,"D",1,"Control-III",2.5800053264696,0.52970808850769,2.54291486718922
174,"D",1,"Control-III",2.632418875792,0.527978129696309,2.46458037119895
175,"D",1,"Control-III",2.68496556661148,0.526439095048707,2.37994521050378
176,"D",1,"Control-III",2.7376298282095,0.525091440614065,2.28963599422226
177,"D",1,"Control-III",2.79039605502876,0.523935565731477,2.19432134019532
178,"D",1,"Control-III",2.84324861129747,0.522971812911617,2.09470692477371
179,"D",1,"Control-III",2.89617183566255,0.522200467735244,1.99153025823719
180,"D",1,"Control-III",2.94915004583044,0.521621758768582,1.88555522452647
181,"D",1,"Control-III",3.00216754321412,0.521235857495587,1.77756642571373
182,"D",1,"Control-III",3.05520861758489,0.521042878267135,1.66836337308343
183,"D",1,"Control-III",3.1082575517277,0.521042878267135,1.55875456783046
184,"D",1,"Control-III",3.16129862609847,0.521235857495587,1.44955151520016
185,"D",1,"Control-III",3.21431612348215,0.521621758768582,1.34156271638742
186,"D",1,"Control-III",3.26729433365005,0.522200467735244,1.2355876826767
187,"D",1,"Control-III",3.32021755801513,0.522971812911617,1.13241101614019
188,"D",1,"Control-III",3.37307011428384,0.523935565731477,1.03279660071857
189,"D",1,"Control-III",3.4258363411031,0.525091440614065,0.93748194669163
190,"D",1,"Control-III",3.47850060270112,0.526439095048707,0.847172730410106
