"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",4,"Control-III",3.13288689830387,2.09292819717874,2.26246839282645
2,"D",4,"Control-III",3.07803112830268,2.09259597324049,2.40519217939873
3,"D",4,"Control-III",3.02320787301669,2.09204237606129,2.54579473038936
4,"D",4,"Control-III",2.96843337775961,2.09126756968393,2.68323507370328
5,"D",4,"Control-III",2.91372387339653,2.09027178370026,2.81649564912476
6,"D",4,"Control-III",2.8590955715343,2.08905531318316,2.94458984197714
7,"D",4,"Control-III",2.80456465971775,2.0876185185991,3.06656928767276
8,"D",4,"Control-III",2.75014729663293,2.08596182570133,3.18153089307255
9,"D",4,"Control-III",2.69585960731893,2.08408572540369,3.28862352267164
10,"D",4,"Control-III",2.64171767838973,2.08199077363521,3.38705430010891
11,"D",4,"Control-III",2.58773755326734,2.07967759117529,3.4760944783461
12,"D",4,"Control-III",2.53393522742783,2.07714686346984,3.55508483505597
13,"D",4,"Control-III",2.4803266436615,2.07439934042807,3.62344055327373
14,"D",4,"Control-III",2.42692768734867,2.07143583620038,3.68065555117725
15,"D",4,"Control-III",2.37375418175255,2.06825722893701,3.72630622893983
16,"D",4,"Control-III",2.32082188333043,2.0648644605279,3.76005460491508
17,"D",4,"Control-III",2.2681464770647,2.06125853632355,3.78165081793479
18,"D",4,"Control-III",2.21574357181506,2.05744052483713,3.79093497719362
19,"D",4,"Control-III",2.1636286956933,2.05341155742784,3.78783834602465
20,"D",4,"Control-III",2.11181729146192,2.04917282796567,3.77238385080165
21,"D",4,"Control-III",2.0603247119582,2.04472559247764,3.7446859112002
22,"D",4,"Control-III",2.00916621554473,2.04007116877561,3.70494959307444
23,"D",4,"Control-III",1.9583569615881,2.03521093606577,3.65346909022127
24,"D",4,"Control-III",1.90791200596681,2.03014633453997,3.59062554627236
25,"D",4,"Control-III",1.85784629660989,2.02487886494894,3.5168842328401
26,"D",4,"Control-III",1.80817466906755,2.01941008815759,3.43279110480932
27,"D",4,"Control-III",1.75891184211501,2.01374162468253,3.33896875827836
28,"D",4,"Control-III",1.71007241339109,2.00787515421181,3.23611182107539
29,"D",4,"Control-III",1.66167085507255,2.00181241510724,3.12498180997699
30,"D",4,"Control-III",1.61372150958572,1.99555520388927,3.00640149270435
31,"D",4,"Control-III",1.5662385853565,1.98910537470462,2.88124879643896
32,"D",4,"Control-III",1.5192361526001,1.98246483877687,2.75045030795689
33,"D",4,"Control-III",1.47272813915174,1.97563556384014,2.61497441350451
34,"D",4,"Control-III",1.42672832633954,1.96861957355598,2.47582412920548
35,"D",4,"Control-III",1.38125034490078,1.96141894691372,2.33402967508037
36,"D",4,"Control-III",1.33630767094286,1.95403581761444,2.19064084765799
37,"D",4,"Control-III",1.29191362195003,1.9464723734387,2.04671924764925
38,"D",4,"Control-III",1.24808135283709,1.93873085559824,1.90333042022687
39,"D",4,"Control-III",1.20482385205136,1.93081355807186,1.76153596610175
40,"D",4,"Control-III",1.1621539377239,1.9227228269257,1.62238568180272
41,"D",4,"Control-III",1.12008425387121,1.914461059618,1.48690978735034
42,"D",4,"Control-III",1.07862726664857,1.90603070428873,1.35611129886827
43,"D",4,"Control-III",1.03779526065599,1.8974342590341,1.23095860260288
44,"D",4,"Control-III",0.99760033529809,1.88867427116638,1.11237828533024
45,"D",4,"Control-III",0.958054401198719,1.87975333645902,1.00124827423184
46,"D",4,"Control-III",0.919169176671626,1.87067409837751,0.898391337028868
47,"D",4,"Control-III",0.880956184248049,1.86143924729604,0.804568990497911
48,"D",4,"Control-III",0.843426747262347,1.85205151970028,0.72047586246713
49,"D",4,"Control-III",0.806591986496651,1.84251369737654,0.646734549034868
50,"D",4,"Control-III",0.770462816885536,1.8328286065874,0.583891005085963
51,"D",4,"Control-III",0.735049944281688,1.82299911723428,0.53241050223279
52,"D",4,"Control-III",0.700363862283532,1.81302814200703,0.492674184107032
