"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"C",3,"Control-II",1.51854153412172,0.777127359244399,1.37736640671187
2,"C",3,"Control-II",1.49195239514638,0.776839502625111,1.52081650375757
3,"C",3,"Control-II",1.46537901637786,0.776359836369601,1.66213457041538
4,"C",3,"Control-II",1.43882927208181,0.77568850261333,1.8002743371626
5,"C",3,"Control-II",1.41231102952044,0.774825700286981,1.93421306549711
6,"C",3,"Control-II",1.38583214662133,0.773771685057502,2.06295911993533
7,"C",3,"Control-II",1.35940046964896,0.772526769252354,2.18555930973449
8,"C",3,"Control-II",1.33302383087964,0.771091321766958,2.30110594598335
9,"C",3,"Control-II",1.3067100462807,0.769465767955382,2.40874356181335
10,"C",3,"Control-II",1.28046691319442,0.767650589504304,2.50767524597594
11,"C",3,"Control-II",1.2543022080275,0.765646324290273,2.59716854289476
12,"C",3,"Control-II",1.22822368394676,0.763453566220329,2.67656087551036
13,"C",3,"Control-II",1.20223906858172,0.761072965056009,2.74526445076899
14,"C",3,"Control-II",1.17635606173468,0.758505226220818,2.80277061143671
15,"C",3,"Control-II",1.15058233309919,0.755751110591188,2.84865360201955
16,"C",3,"Control-II",1.12492551998729,0.75281143427102,2.88257372090829
17,"C",3,"Control-II",1.09939322506641,0.749687068349849,2.90427983541029
18,"C",3,"Control-II",1.07399301410658,0.746378938644728,2.91361124104808
19,"C",3,"Control-II",1.04873241373848,0.742888025425885,2.91049885135908
20,"C",3,"Control-II",1.02361890922317,0.739215363126245,2.89496570938762
21,"C",3,"Control-II",0.99865994223403,0.73536204003491,2.86712681708229
22,"C",3,"Control-II",0.973862908651642,0.731329197974675,2.82718828386175
23,"C",3,"Control-II",0.949235156372218,0.727118031963677,2.77544580065269
24,"C",3,"Control-II",0.924783983130268,0.72272978986129,2.71228245069771
25,"C",3,"Control-II",0.900516634336125,0.718165771998355,2.63816587334094
26,"C",3,"Control-II",0.876440300928968,0.713427330791864,2.55364480179004
27,"C",3,"Control-II",0.852562117245994,0.708515870344211,2.45934500048744
28,"C",3,"Control-II",0.828889158908364,0.703432846027124,2.3559646321694
29,"C",3,"Control-II",0.805428440724537,0.698179764050408,2.24426908891332
30,"C",3,"Control-II",0.782186914611634,0.692758181015626,2.12508532544265
31,"C",3,"Control-II",0.759171467535436,0.687169703454837,1.99929573664339
32,"C",3,"Control-II",0.736388919469625,0.681415987354551,1.86783162462111
33,"C",3,"Control-II",0.713846021374882,0.675498737665024,1.73166630366598
34,"C",3,"Control-II",0.691549453198426,0.669419707795045,1.59180789417428
35,"C",3,"Control-II",0.669505821894609,0.66318069909236,1.44929185887776
36,"C",3,"Control-II",0.647721659467126,0.656783560309896,1.30517333663976
37,"C",3,"Control-II",0.626203421033444,0.650230187057936,1.16051933057631
38,"C",3,"Control-II",0.604957482912015,0.643522521242408,1.01640080833831
39,"C",3,"Control-II",0.583990140732827,0.636662550489456,0.873884773041783
40,"C",3,"Control-II",0.56330760757188,0.629652307556466,0.734026363550089
41,"C",3,"Control-II",0.542916012110117,0.622493869729711,0.597861042594953
42,"C",3,"Control-II",0.522821396817359,0.61518935820881,0.466396930572673
43,"C",3,"Control-II",0.503029716161795,0.607740937478173,0.340607341773414
44,"C",3,"Control-II",0.483546834845542,0.600150814665612,0.221423578302743
45,"C",3,"Control-II",0.464378526066809,0.592421238888324,0.109728035046666
46,"C",3,"Control-II",0.445530469809173,0.58455450058643,0.00634766672861982
47,"C",3,"Control-II",0.427008251158479,0.576552930844267,-0.0879521345739779
48,"C",3,"Control-II",0.408817358647854,0.568418900699637,-0.17247320612488
49,"C",3,"Control-II",0.39096318263134,0.560154820441219,-0.246589783481645
50,"C",3,"Control-II",0.373451013686617,0.551763138894348,-0.309753133436631
51,"C",3,"Control-II",0.356286041047286,0.543246342695373,-0.361495616645684
52,"C",3,"Control-II",0.339473351065191,0.534606955554815,-0.401434149866227
53,"C",3,"Control-II",0.32301792570322,0.525847537509536,-0.429273042171556
54,"C",3,"Control-II",0.306924641059046,0.516970684164149,-0.444806184143016
55,"C",3,"Control-II",0.291198265920231,0.507979025921876,-0.447918573832017
56,"C",3,"Control-II",0.27584346035113,0.498875227205112,-0.438587168194232
