"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"A",5,"Control-III",0.695848385876507,5.73538908841902,3.43451316812869
2,"A",5,"Control-III",0.683664320428118,5.73400363580071,3.73611616723771
3,"A",5,"Control-III",0.671487476852977,5.73169500426305,4.03323658479105
4,"A",5,"Control-III",0.659321463412634,5.72846387790337,4.32367464517042
5,"A",5,"Control-III",0.647169885159437,5.72431121417417,4.60528004659211
6,"A",5,"Control-III",0.635036342868272,5.71923824359932,4.87596788118906
7,"A",5,"Control-III",0.622924431969586,5.71324646940948,5.13373407093924
8,"A",5,"Control-III",0.610837741483973,5.70633766709667,5.3766702051582
9,"A",5,"Control-III",0.598779852958676,5.69851388388811,5.60297766970407
10,"A",5,"Control-III",0.586754339406297,5.68977743813962,5.81098096328735
11,"A",5,"Control-III",0.574764764246032,5.68013091864862,5.99914010229631
12,"A",5,"Control-III",0.562814680247757,5.66957718388703,6.16606202229681
13,"A",5,"Control-III",0.550907628479266,5.65811936115422,6.31051089179402
14,"A",5,"Control-III",0.539047137256973,5.64576084565034,6.43141726189638
15,"A",5,"Control-III",0.527236721100397,5.63250529947027,6.52788598414108
16,"A",5,"Control-III",0.515479879690735,5.61835665051842,6.59920283786005
17,"A",5,"Control-III",0.503780096833829,5.60331909134481,6.64483981801993
18,"A",5,"Control-III",0.492140839427844,5.58739707790278,6.66445904438659
19,"A",5,"Control-III",0.480565556435943,5.57059532822852,6.65791526307218
20,"A",5,"Control-III",0.469057677864292,5.55291882104308,6.62525692194407
21,"A",5,"Control-III",0.457620613745673,5.53437279427703,6.56672581193384
22,"A",5,"Control-III",0.446257753129015,5.51496274351835,6.48275527690176
23,"A",5,"Control-III",0.434972463075151,5.494694420384,6.37396700531051
24,"A",5,"Control-III",0.423768087659079,5.47357383081553,6.24116642746128
25,"A",5,"Control-III",0.412647946979046,5.45160723329945,6.08533675236963
26,"A",5,"Control-III",0.401615336172727,5.4288011370127,5.90763168842994
27,"A",5,"Control-III",0.390673524440808,5.40516229989379,5.70936690176208
28,"A",5,"Control-III",0.379825754078248,5.38069772664034,5.4920102754798
29,"A",5,"Control-III",0.36907523951352,5.35541466663338,5.25717104199771
30,"A",5,"Control-III",0.358425166356105,5.32932061178925,5.00658786883747
31,"A",5,"Control-III",0.347878690452526,5.30242329433955,4.74211598614183
32,"A",5,"Control-III",0.337438936951205,5.27473068453993,4.46571345119971
33,"A",5,"Control-III",0.327108999376413,5.24625098830835,4.17942665167507
