"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"A",5,"Control-I",0.579673511512162,6.56435126564017,3.25713743950673
2,"A",5,"Control-I",0.569523628080205,6.56276556717957,3.54316412572869
3,"A",5,"Control-I",0.559379760798764,6.56012325850224,3.8249397337058
4,"A",5,"Control-I",0.549244915514637,6.55642512258128,4.10037809542121
5,"A",5,"Control-I",0.539122095401211,6.55167225525418,4.36743996161218
6,"A",5,"Control-I",0.529014300068552,6.54586606489809,4.62414809965816
7,"A",5,"Control-I",0.518924524674563,6.53900827201253,4.86860193231932
8,"A",5,"Control-I",0.508855759037447,6.53110090870953,5.09899160894553
9,"A",5,"Control-I",0.498810986749765,6.52214631811151,5.3136114049773
10,"A",5,"Control-I",0.488793184294328,6.51214715365689,5.51087235053365
11,"A",5,"Control-I",0.478805320162208,6.50110637831392,5.68931399458923
12,"A",5,"Control-I",0.468850353973102,6.4890272637026,5.8476152176427
13,"A",5,"Control-I",0.458931235598337,6.47591338912529,5.98460401282327
14,"A",5,"Control-I",0.44905090428676,6.46176864050604,6.09926616301961
15,"A",5,"Control-I",0.439212287793773,6.44659720923914,6.1907527497884
16,"A",5,"Control-I",0.429418301513779,6.43040359094709,6.25838643844957
17,"A",5,"Control-I",0.419671847616284,6.41319258414849,6.3016664928352
18,"A",5,"Control-I",0.409975814185923,6.39496928883609,6.32027248256498
19,"A",5,"Control-I",0.400333074366658,6.37573910496559,6.31406665540062
20,"A",5,"Control-I",0.390746485510407,6.35550773085548,6.28309495711521
21,"A",5,"Control-I",0.381218888330342,6.33428116149855,6.22758669132682
22,"A",5,"Control-I",0.37175310605913,6.3120656867854,6.14795282181471
23,"A",5,"Control-I",0.362351943612347,6.28886788964064,6.0447829298873
24,"A",5,"Control-I",0.353018186757319,6.26469464407221,5.91884084932846
25,"A",5,"Control-I",0.343754601287642,6.23955311313447,5.77105901123939
26,"A",5,"Control-I",0.334563932203614,6.21345074680565,5.60253154064499
27,"A",5,"Control-I",0.325448902898836,6.18639527978021,5.41450615597496
28,"A",5,"Control-I",0.31641221435321,6.15839472917695,5.2083749313931
29,"A",5,"Control-I",0.30745654433258,6.12945739216331,4.98566399036725
30,"A",5,"Control-I",0.298584546595251,6.09959184349676,4.74802220678506
31,"A",5,"Control-I",0.289798850105626,6.06880693298393,4.49720899726864
32,"A",5,"Control-I",0.281102058255187,6.03711178285819,4.23508129506941
33,"A",5,"Control-I",0.272496748091051,6.00451578507657,3.96357980198405
34,"A",5,"Control-I",0.263985469552337,5.97102859853668,3.68471462007735
35,"A",5,"Control-I",0.255570744714564,5.93666014621461,3.4005503695898
36,"A",5,"Control-I",0.247255067042307,5.90142061222451,3.11319090321169
37,"A",5,"Control-I",0.239040900650328,5.86532043880084,2.82476372989386
38,"A",5,"Control-I",0.230930679573403,5.8283703232041,2.53740426351575
39,"A",5,"Control-I",0.222926807045072,5.79058121455096,2.2532400130282
40,"A",5,"Control-I",0.215031654785501,5.7519643105699,1.9743748311215
41,"A",5,"Control-I",0.207247562298698,5.71253105428298,1.70287333803614
42,"A",5,"Control-I",0.19957683617926,5.67229313061507,1.44074563583691
43,"A",5,"Control-I",0.192021749428884,5.63126246293137,1.18993242632049
44,"A",5,"Control-I",0.184584540782827,5.58945120950422,0.9522906427383
45,"A",5,"Control-I",0.177267414046518,5.54687175991037,0.729579701712451
46,"A",5,"Control-I",0.170072537442526,5.50353673135969,0.523448477130593
47,"A",5,"Control-I",0.163002042968067,5.45945896495637,0.335423092460559
48,"A",5,"Control-I",0.156058025763247,5.41465152189387,0.166895621866155
49,"A",5,"Control-I",0.149242543490229,5.36912767958461,0.0191137837770852
50,"A",5,"Control-I",0.1425576157235,5.32290092772553,-0.106828296781754
51,"A",5,"Control-I",0.136005223351429,5.27598496430088,-0.209998188709161
52,"A",5,"Control-I",0.12958730798929,5.22839369152314,-0.289632058221275
53,"A",5,"Control-I",0.123305771403913,5.18014121171355,-0.345140324009667
54,"A",5,"Control-I",0.117162474950156,5.13124182312323,-0.376112022295075
55,"A",5,"Control-I",0.111159239019341,5.08171001569638,-0.382317849459436
56,"A",5,"Control-I",0.105297842499834,5.03156046677651,-0.363711859729653
57,"A",5,"Control-I",0.0995800222499248,4.98080803675728,-0.320431805344024
58,"A",5,"Control-I",0.0940074725831527,4.92946776467903,-0.252798116682858
59,"A",5,"Control-I",0.0885818447662498,4.8775548637724,-0.161311529914061
60,"A",5,"Control-I",0.0833047465298331,4.8250847169503,-0.0466493797177256
61,"A",5,"Control-I",0.0781777415919988,4.77207287224963,0.0903394154628489
62,"A",5,"Control-I",0.0732023491949601,4.71853503822405,0.248640638516309
63,"A",5,"Control-I",0.0683800436548619,4.66448707928925,0.427082282571893
64,"A",5,"Control-I",0.0637122539249096,4.60994501102189,0.624343228128249
65,"A",5,"Control-I",0.0592003631719394,4.55492499541392,0.83896302416001
66,"A",5,"Control-I",0.0548457083665558,4.4994433360834,1.06935270078622
67,"A",5,"Control-I",0.0506495798869591,4.44351647344337,1.31380653344739
68,"A",5,"Control-I",0.0466132211365773,4.38716097983023,1.57051467149337
69,"A",5,"Control-I",0.0427378281756202,4.33039355459301,1.83757653768434
70,"A",5,"Control-I",0.0390245493666599,4.27323101914493,2.11301489939974
71,"A",5,"Control-I",0.0354744850343465,4.21569031197891,2.39479050737685
72,"A",5,"Control-I",0.0320886871393584,4.15778848364832,2.68081719359881
73,"A",5,"Control-I",0.0288681589666834,4.09954269171452,2.96897731655277
74,"A",5,"Control-I",0.0258138548283237,4.04097019566271,3.25713743950672
75,"A",5,"Control-I",0.0229266797805128,3.98208835178756,3.54316412572868
76,"A",5,"Control-I",0.0202074893555278,3.92291460805019,3.82493973370579
77,"A",5,"Control-I",0.0176570893081764,3.86346649890793,4.1003780954212
78,"A",5,"Control-I",0.0152762353770349,3.80376164011854,4.36743996161217
79,"A",5,"Control-I",0.0130656330605061,3.74381772352019,4.62414809965815
80,"A",5,"Control-I",0.011025937407765,3.68365251178908,4.86860193231932
81,"A",5,"Control-I",0.00915775282465387,3.62328383317591,5.09899160894553
82,"A",5,"Control-I",0.00746163289458337,3.56272957622302,5.31361140497729
83,"A",5,"Control-I",0.00593808021449401,3.50200768446361,5.51087235053365
84,"A",5,"Control-I",0.00458754624592591,3.44113615110469,5.68931399458923
85,"A",5,"Control-I",0.0034104311812408,3.38013301369532,5.84761521764269
86,"A",5,"Control-I",0.00240708382503669,3.31901634878167,5.98460401282327
87,"A",5,"Control-I",0.00157780149078913,3.25780426655054,6.0992661630196
88,"A",5,"Control-I",0.000922829912751141,3.19651490546299,6.1907527497884
89,"A",5,"Control-I",0.000442363173136753,3.13516642687942,6.25838643844957
90,"A",5,"Control-I",0.000136543644610267,3.07377700967805,6.3016664928352
91,"A",5,"Control-I",5.46194809811607e-06,3.01236484486808,6.32027248256498
92,"A",5,"Control-I",4.9156925935896e-05,2.95094813019935,6.31406665540062
93,"A",5,"Control-I",0.000267615630358716,2.88954506476987,6.28309495711521
94,"A",5,"Control-I",0.00066077332733764,2.82817384363314,6.22758669132682
95,"A",5,"Control-I",0.00122851351576214,2.76685265240646,6.14795282181471
96,"A",5,"Control-I",0.00197066796196144,2.70559966188222,6.0447829298873
97,"A",5,"Control-I",0.00288701674955622,2.64443302264346,5.91884084932846
98,"A",5,"Control-I",0.00397728834462422,2.58337085968546,5.7710590112394
99,"A",5,"Control-I",0.00524115967616184,2.52243126704496,5.60253154064499
100,"A",5,"Control-I",0.00667825623181705,2.46163230243841,5.41450615597496
101,"A",5,"Control-I",0.00828815216886516,2.4009919819112,5.2083749313931
102,"A",5,"Control-I",0.0100703704403958,2.34052827449901,4.98566399036725
103,"A",5,"Control-I",0.0120243829366716,2.28025909690327,4.74802220678506
104,"A",5,"Control-I",0.0141496106416188,2.22020230818202,4.49720899726864
105,"A",5,"Control-I",0.0164454238044025,2.16037570445787,4.23508129506941
106,"A",5,"Control-I",0.0189111421260345,2.10079701364469,3.96357980198405
107,"A",5,"Control-I",0.0215460349609619,2.04148389019437,3.68471462007735
108,"A",5,"Control-I",0.0243493215335719,1.98245390986547,3.4005503695898
109,"A",5,"Control-I",0.0273201711695531,1.92372456451513,3.11319090321169
110,"A",5,"Control-I",0.0304577035420423,1.86531325691587,2.82476372989386
111,"A",5,"Control-I",0.0337609889324839,1.80723729559875,2.53740426351575
112,"A",5,"Control-I",0.0372290485061261,1.74951388972448,2.2532400130282
113,"A",5,"Control-I",0.0408608546020703,1.692160143984,1.9743748311215
114,"A",5,"Control-I",0.0446553310377895,1.63519305352997,1.70287333803614
115,"A",5,"Control-I",0.0486113534280243,1.57862949894074,1.44074563583691
116,"A",5,"Control-I",0.0527277495179626,1.52248624121828,1.18993242632049
117,"A",5,"Control-I",0.0570032995306036,1.46677991682152,0.952290642738301
118,"A",5,"Control-I",0.0614367365282049,1.41152703273662,0.729579701712453
119,"A",5,"Control-I",0.0660267467877025,1.35674396158559,0.523448477130593
120,"A",5,"Control-I",0.0707719701899961,1.30244693677472,0.335423092460562
121,"A",5,"Control-I",0.0756710006229813,1.2486520476843,0.166895621866155
122,"A",5,"Control-I",0.0807223863982109,1.19537523490095,0.0191137837770865
123,"A",5,"Control-I",0.085924630681062,1.1426322854941,-0.106828296781753
124,"A",5,"Control-I",0.09127619193428,1.09043882833796,-0.20999818870916
125,"A",5,"Control-I",0.0967754843747694,1.0388103294803,-0.289632058221274
126,"A",5,"Control-I",0.102420878443496,0.987762087559566,-0.345140324009667
127,"A",5,"Control-I",0.108210701288358,0.937309229271557,-0.376112022295074
128,"A",5,"Control-I",0.114143237259894,0.887466704887043,-0.382317849459436
129,"A",5,"Control-I",0.120216728419661,0.838249283821688,-0.363711859729653
130,"A",5,"Control-I",0.126429375061149,0.789671550259553,-0.320431805344024
131,"A",5,"Control-I",0.132779336243082,0.741747898831484,-0.252798116682859
132,"A",5,"Control-I",0.139264730334915,0.69449253034968,-0.161311529914063
133,"A",5,"Control-I",0.145883635574414,0.647919447599674,-0.0466493797177265
134,"A",5,"Control-I",0.152634090637109,0.602042451191015,0.0903394154628473
135,"A",5,"Control-I",0.159514095217478,0.556875135467845,0.248640638516309
136,"A",5,"Control-I",0.16652161062168,0.512430884480603,0.42708228257189
137,"A",5,"Control-I",0.173654560371668,0.468722868020044,0.624343228128248
138,"A",5,"Control-I",0.180910830820489,0.425764037714739,0.838963024160007
139,"A",5,"Control-I",0.188288271778605,0.383567123193237,1.06935270078622
140,"A",5,"Control-I",0.195784697151042,0.342144628311994,1.31380653344738
141,"A",5,"Control-I",0.203397885585176,0.301508827450213,1.57051467149337
142,"A",5,"Control-I",0.211125581128969,0.261671761872683,1.83757653768433
143,"A",5,"Control-I",0.218965493899453,0.222645236161689,2.11301489939974
144,"A",5,"Control-I",0.226915300761276,0.18444081471906,2.39479050737685
145,"A",5,"Control-I",0.234972646015093,0.147069818339387,2.68081719359881
146,"A",5,"Control-I",0.243135142095613,0.110543320855433,2.96897731655277
147,"A",5,"Control-I",0.251400370279088,0.074872145856706,3.25713743950672
148,"A",5,"Control-I",0.259765881400027,0.040066863482206,3.54316412572868
149,"A",5,"Control-I",0.268229196576944,0.00613778728825963,3.82493973370579
150,"A",5,"Control-I",0.276787807946898,-0.0269050288076076,4.1003780954212
151,"A",5,"Control-I",0.28543917940863,-0.0590517935058626,4.36743996161217
152,"A",5,"Control-I",0.294180747374064,-0.0902929810263419,4.62414809965815
153,"A",5,"Control-I",0.303009921527954,-0.120619333930944,4.86860193231932
154,"A",5,"Control-I",0.311924085595449,-0.150021865866806,5.09899160894553
155,"A",5,"Control-I",0.320920598117352,-0.178491864229158,5.31361140497729
156,"A",5,"Control-I",0.329996793232842,-0.20602089274305,5.51087235053365
157,"A",5,"Control-I",0.339149981469426,-0.232600793963211,5.68931399458923
158,"A",5,"Control-I",0.348377450539887,-0.258223691691266,5.84761521764269
159,"A",5,"Control-I",0.357676466145996,-0.282881993309632,5.98460401282327
160,"A",5,"Control-I",0.367044272788738,-0.30656839203137,6.0992661630196
161,"A",5,"Control-I",0.376478094584832,-0.329275869065343,6.1907527497884
162,"A",5,"Control-I",0.38597513608928,-0.35099769569604,6.25838643844957
163,"A",5,"Control-I",0.395532583123723,-0.371727435277433,6.3016664928352
164,"A",5,"Control-I",0.405147603610336,-0.391458945140301,6.32027248256498
165,"A",5,"Control-I",0.414817348411042,-0.410186378412431,6.31406665540062
166,"A",5,"Control-I",0.424538952171765,-0.427904185751172,6.28309495711522
167,"A",5,"Control-I",0.434309534171502,-0.44460711698783,6.22758669132682
168,"A",5,"Control-I",0.444126199175939,-0.460290222683398,6.14795282181471
169,"A",5,"Control-I",0.453986038295375,-0.474948855595191,6.0447829298873
170,"A",5,"Control-I",0.463886129846687,-0.488578672053919,5.91884084932847
171,"A",5,"Control-I",0.473823540219084,-0.501175633250807,5.7710590112394
172,"A",5,"Control-I",0.483795324743409,-0.51273600643439,5.60253154064499
173,"A",5,"Control-I",0.493798528564697,-0.5232563660166,5.41450615597496
174,"A",5,"Control-I",0.503830187517769,-0.532733594587844,5.2083749313931
175,"A",5,"Control-I",0.513887329005577,-0.541164883840762,4.98566399036725
176,"A",5,"Control-I",0.523966972880046,-0.548547735402385,4.74802220678507
177,"A",5,"Control-I",0.534066132325161,-0.554879961574462,4.49720899726864
178,"A",5,"Control-I",0.54418181474202,-0.560159685981716,4.23508129506942
179,"A",5,"Control-I",0.554311022635608,-0.564385344127859,3.96357980198405
180,"A",5,"Control-I",0.564450754503021,-0.567555683859188,3.68471462007736
181,"A",5,"Control-I",0.574598005722873,-0.569669765735616,3.40055036958981
182,"A",5,"Control-I",0.584749769445631,-0.570726963309058,3.1131909032117
183,"A",5,"Control-I",0.594903037484612,-0.570726963309058,2.82476372989386
184,"A",5,"Control-I",0.605054801207371,-0.569669765735616,2.53740426351576
