"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"A",2,"Control-I",0.605932709289478,5.96423086823936,2.93963418695052
2,"A",2,"Control-I",0.59532303635332,5.96279013612072,3.19777921178115
3,"A",2,"Control-I",0.584719652099169,5.96038939028324,3.45208755020475
4,"A",2,"Control-I",0.57412569853862,5.95702934211973,3.70067639225831
5,"A",2,"Control-I",0.563544314888748,5.95271098728498,3.94170527312883
6,"A",2,"Control-I",0.552978636641895,5.94743560540073,4.17338969931094
7,"A",2,"Control-I",0.542431794636549,5.94120475967647,4.39401436037242
8,"A",2,"Control-I",0.531906914129619,5.93402029644627,4.60194582851257
9,"A",2,"Control-I",0.521407113870342,5.92588434462164,4.79564465189009
10,"A",2,"Control-I",0.51093550517614,5.91679931506069,4.97367675218595
11,"A",2,"Control-I",0.500495191010666,5.90676789985374,5.1347240420175
12,"A",2,"Control-I",0.490089265064326,5.89579307152563,5.27759418359633
13,"A",2,"Control-I",0.479720810837556,5.88387808215485,5.40122941638005
14,"A",2,"Control-I",0.469392900727115,5.87102646240988,5.50471438836129
15,"A",2,"Control-I",0.459108595115662,5.85724202050302,5.58728293301371
16,"A",2,"Control-I",0.448870941464903,5.8425288410619,5.64832374172089
17,"A",2,"Control-I",0.438682973412562,5.82689128391912,5.68738488969146
18,"A",2,"Control-I",0.428547709873446,5.81033398282036,5.70417718185216
19,"A",2,"Control-I",0.41846815414488,5.79286184405126,5.69857629394691
20,"A",2,"Control-I",0.408447293016761,5.77448004498362,5.67062369299019
21,"A",2,"Control-I",0.398488095886508,5.75519403254122,5.62052633025975
22,"A",2,"Control-I",0.388593513879168,5.73500952158577,5.54865510910169
23,"A",2,"Control-I",0.378766478972933,5.71393249322347,5.45554213889196
24,"A",2,"Control-I",0.36900990313033,5.69196919303273,5.34187679548462
25,"A",2,"Control-I",0.359326677435346,5.66912612921338,5.20850061731425
26,"A",2,"Control-I",0.349719671236735,5.64541007065823,5.05640107493982
27,"A",2,"Control-I",0.34019173129777,5.62082804494727,4.88670426015811
28,"A",2,"Control-I",0.330745680952685,5.59538733626524,4.70066654881407
29,"A",2,"Control-I",0.321384319270059,5.56909548324318,4.49966529903364
30,"A",2,"Control-I",0.312110420223393,5.54196027672456,4.28518865374602
31,"A",2,"Control-I",0.302926731869123,5.51398975745669,4.05882452299417
32,"A",2,"Control-I",0.293835975532307,5.4851922137081,3.82224882760431
33,"A",2,"Control-I",0.284840845000244,5.45557617881249,3.57721309125457
34,"A",2,"Control-I",0.27594400572424,5.42515042864017,3.32553147280643
35,"A",2,"Control-I",0.267148094029783,5.39392397899757,3.06906733490721
36,"A",2,"Control-I",0.258455716335338,5.36190608295562,2.80971944830501
37,"A",2,"Control-I",0.249869448380015,5.32910622810793,2.54940793401441
38,"A",2,"Control-I",0.241391834460313,5.29553413375938,2.29006004741222
39,"A",2,"Control-I",0.233025386676201,5.26119974804605,2.033595909513
40,"A",2,"Control-I",0.224772584186719,5.22611324498744,1.78191429106485
41,"A",2,"Control-I",0.216635872475355,5.19028502147162,1.53687855471511
42,"A",2,"Control-I",0.208617662625393,5.15372569417447,1.30030285932526
43,"A",2,"Control-I",0.20072033060546,5.11644609641368,1.0739387285734
44,"A",2,"Control-I",0.192946216565471,5.07845727493862,0.859462083285787
45,"A",2,"Control-I",0.185297624143195,5.03977048665697,0.65846083350535
46,"A",2,"Control-I",0.177776819781637,5.00039719529901,0.472423122161314
47,"A",2,"Control-I",0.170386032057441,4.96034906802072,0.302726307379602
48,"A",2,"Control-I",0.163127451020518,4.91963797194653,0.150626765005168
49,"A",2,"Control-I",0.15600322754508,4.87827597065282,0.0172505868348033
50,"A",2,"Control-I",0.149015472692297,4.83627532059324,-0.0964147565725378
51,"A",2,"Control-I",0.14216625708474,4.79364846746684,-0.189527726782271
52,"A",2,"Control-I",0.135457610292812,4.75040804253018,-0.261398947940325
53,"A",2,"Control-I",0.128891520233342,4.70656685885437,-0.311496310670773
