"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"C",4,"Control-III",1.87450822677937,0.784703296417353,1.45710285887215
2,"C",4,"Control-III",1.84168623368118,0.784412633586656,1.60885735607219
3,"C",4,"Control-III",1.80888369519565,0.783928291236072,1.75835639854481
4,"C",4,"Control-III",1.77611033142287,0.783250412886693,1.90449314768467
5,"C",4,"Control-III",1.74337585381784,0.782379199408504,2.04618565812988
6,"C",4,"Control-III",1.71068996231273,0.781314908960861,2.18238488810695
7,"C",4,"Control-III",1.67806234244262,0.780057856915992,2.31208246616905
8,"C",4,"Control-III",1.64550266247544,0.778608415765549,2.4343181568254
9,"C",4,"Control-III",1.61302057054706,0.776967015010224,2.54818696978889
10,"C",4,"Control-III",1.58062569180234,0.775134141032487,2.65284586020752
11,"C",4,"Control-III",1.54832762554298,0.773110336952453,2.74751997027356
12,"C",4,"Control-III",1.51613594238307,0.77089620246695,2.83150836599963
13,"C",4,"Control-III",1.48406018141309,0.768492393671809,2.90418922668875
14,"C",4,"Control-III",1.45210984737326,0.765899622867455,2.96502444867715
15,"C",4,"Control-III",1.42029440783709,0.763118658347834,3.01356362926561
16,"C",4,"Control-III",1.38862329040597,0.760150324172752,3.04944740134341
17,"C",4,"Control-III",1.3571058799155,0.756995499923687,3.07241009401673
18,"C",4,"Control-III",1.32575151565461,0.753655120443149,3.08228169954294
19,"C",4,"Control-III",1.29456948859812,0.750130175557671,3.0789891320085
20,"C",4,"Control-III",1.2635690386536,0.746421709784497,3.06255676843146
21,"C",4,"Control-III",1.23275935192343,0.74253082202207,3.03310626828258
22,"C",4,"Control-III",1.20214955798269,0.738458665224407,2.99085567276114
23,"C",4,"Control-III",1.17174872717396,0.734206446059451,2.93611779049418
24,"C",4,"Control-III",1.14156586791951,0.729775424551511,2.86929788161092
25,"C",4,"Control-III",1.11160992405192,0.725166913707889,2.79089065733849
26,"C",4,"Control-III",1.08188977216388,0.720382279129808,2.70147661733315
27,"C",4,"Control-III",1.0524142189778,0.715422938607755,2.60171775186385
28,"C",4,"Control-III",1.02319199873621,0.710290361701357,2.492352640668
29,"C",4,"Control-III",0.994231770613662,0.704986069303922,2.37419098476538
30,"C",4,"Control-III",0.965542116150742,0.699511633191763,2.24810761171519
31,"C",4,"Control-III",0.937131536711246,0.693868675558448,2.11503599869879
32,"C",4,"Control-III",0.909008450963013,0.688058868534109,1.97596136138129
33,"C",4,"Control-III",0.881181192383296,0.682083933689954,1.83191335971947
34,"C",4,"Control-III",0.853658006789373,0.675945641528126,1.68395847471966
35,"C",4,"Control-III",0.826447049895134,0.669645810957067,1.53319211258554
36,"C",4,"Control-III",0.799556384894369,0.663186308752538,1.38073049471384
37,"C",4,"Control-III",0.772993980071464,0.65656904900445,1.22770239358166
38,"C",4,"Control-III",0.746767706440234,0.649795992549677,1.07524077570997
39,"C",4,"Control-III",0.720885335411562,0.642869146391022,0.924474413575847
40,"C",4,"Control-III",0.695354536490574,0.635790563102496,0.776519528576035
41,"C",4,"Control-III",0.670182875003989,0.628562340221094,0.63247152691421
42,"C",4,"Control-III",0.645377809858354,0.621186619625255,0.493396889596715
43,"C",4,"Control-III",0.62094669132981,0.613665586900173,0.360325276580314
44,"C",4,"Control-III",0.596896758886042,0.60600147069016,0.23424190353012
45,"C",4,"Control-III",0.573235139041074,0.598196542038255,0.116080247627506
46,"C",4,"Control-III",0.549968843243527,0.590253113713262,0.00671513643164847
47,"C",4,"Control-III",0.527104765798971,0.582173539524427,-0.0930437290376436
48,"C",4,"Control-III",0.504649681827002,0.573960213623953,-0.182457769042992
49,"C",4,"Control-III",0.48261024525362,0.565615569797562,-0.260864993315416
50,"C",4,"Control-III",0.460992986839533,0.557142080743314,-0.327684902198679
51,"C",4,"Control-III",0.439804312244947,0.548542257338886,-0.382422784465635
52,"C",4,"Control-III",0.419050500131433,0.539818647897555,-0.424673379987083
53,"C",4,"Control-III",0.398737700301425,0.530973837413066,-0.454123880135962
54,"C",4,"Control-III",0.378871931875899,0.522010446793655,-0.470556243712996
55,"C",4,"Control-III",0.359459081510776,0.512931132085408,-0.473848811247436
56,"C",4,"Control-III",0.340504901652585,0.503738583685219,-0.463977205721226
57,"C",4,"Control-III",0.322015008833882,0.494435525543572,-0.441014513047911
58,"C",4,"Control-III",0.303994882008954,0.48502471435737,-0.405130740970106
59,"C",4,"Control-III",0.286449860930284,0.475508938753069,-0.356591560381647
60,"C",4,"Control-III",0.269385144566271,0.46589101846035,-0.295756338393246
61,"C",4,"Control-III",0.252805789560661,0.456173803476565,-0.223075477704135
62,"C",4,"Control-III",0.236716708734154,0.446360173222229,-0.139087081978058
63,"C",4,"Control-III",0.221122669628628,0.436453035687783,-0.0444129719120178
64,"C",4,"Control-III",0.206028293094419,0.426455326571891,0.0602459185066129
65,"C",4,"Control-III",0.191438051921057,0.416370008411532,0.174114731470098
66,"C",4,"Control-III",0.177356269511883,0.406200069704137,0.296350422126449
67,"C",4,"Control-III",0.163787118602937,0.395948524022029,0.426048000188552
68,"C",4,"Control-III",0.150734620026478,0.385618409119441,0.562247230165623
69,"C",4,"Control-III",0.138202641519531,0.375212786032361,0.703939740610832
70,"C",4,"Control-III",0.12619489657779,0.36473473817148,0.850076489750688
71,"C",4,"Control-III",0.114714943355229,0.354187370408515,0.999575532223311
72,"C",4,"Control-III",0.103766183609745,0.343573808156166,1.15133002942335
73,"C",4,"Control-III",0.0933518616951453,0.332897196441985,1.30421644414775
74,"C",4,"Control-III",0.0834750635997721,0.322160698976446,1.45710285887215
75,"C",4,"Control-III",0.0741387160320605,0.311367497215459,1.60885735607219
76,"C",4,"Control-III",0.0653455855532887,0.300520789417642,1.75835639854481
77,"C",4,"Control-III",0.0570982777577895,0.289623789696608,1.90449314768467
78,"C",4,"Control-III",0.0493992365008543,0.27867972706855,2.04618565812987
79,"C",4,"Control-III",0.0422507431745659,0.267691844495416,2.18238488810695
80,"C",4,"Control-III",0.0356549160317742,0.256663397923952,2.31208246616905
81,"C",4,"Control-III",0.0296137095584114,0.24559765532089,2.4343181568254
82,"C",4,"Control-III",0.0241289138943355,0.234497895704581,2.54818696978889
83,"C",4,"Control-III",0.019202154302873,0.223367408173352,2.65284586020752
84,"C",4,"Control-III",0.0148348906892194,0.212209490930874,2.74751997027356
85,"C",4,"Control-III",0.0110284171678363,0.201027450308834,2.83150836599963
86,"C",4,"Control-III",0.00778386167897918,0.189824599787197,2.90418922668875
87,"C",4,"Control-III",0.00510218565446216,0.178604259012348,2.96502444867715
88,"C",4,"Control-III",0.00298418373276635,0.167369752813415,3.01356362926561
89,"C",4,"Control-III",0.00143048352357158,0.156124410217044,3.04944740134341
90,"C",4,"Control-III",0.000441545421781884,0.144871563460942,3.07241009401673
91,"C",4,"Control-III",1.76624710993108e-05,0.133614547006458,3.08228169954294
92,"C",4,"Control-III",0.000158960277190458,0.122356696550515,3.0789891320085
93,"C",4,"Control-III",0.000865396970466323,0.111101348037166,3.06255676843146
94,"C",4,"Control-III",0.00213676321848761,0.0998518366690876,3.03310626828259
95,"C",4,"Control-III",0.00397268228799774,0.0886114959192807,2.99085567276114
96,"C",4,"Control-III",0.00637261015655312,0.0773836565432969,2.93611779049418
97,"C",4,"Control-III",0.00933583567373251,0.0661716455922596,2.86929788161092
98,"C",4,"Control-III",0.0128614807718627,0.0549787854269886,2.7908906573385
99,"C",4,"Control-III",0.0169485007262118,0.0438083927335128,2.70147661733315
100,"C",4,"Control-III",0.0215956844645626,0.0326637775402637,2.60171775186386
101,"C",4,"Control-III",0.0268016549260781,0.021548242237244,2.492352640668
102,"C",4,"Control-III",0.0325648694693574,0.0104650805974565,2.37419098476538
103,"C",4,"Control-III",0.0388836203295505,-0.000582423199110321,2.24810761171519
104,"C",4,"Control-III",0.0457560351244079,-0.0115909955386571,2.11503599869879
105,"C",4,"Control-III",0.0531800774091072,-0.0225573743436154,1.97596136138129
106,"C",4,"Control-III",0.0611535472796945,-0.033478310039271,1.83191335971947
107,"C",4,"Control-III",0.0696740820249669,-0.0443505665166846,1.68395847471966
108,"C",4,"Control-III",0.0787391568265905,-0.0551709220916191,1.53319211258554
109,"C",4,"Control-III",0.0883460855072609,-0.0659361704591954,1.38073049471384
110,"C",4,"Control-III",0.0984920213266766,-0.0766431216439893,1.22770239358167
111,"C",4,"Control-III",0.109173957825086,-0.0872886029452895,1.07524077570997
112,"C",4,"Control-III",0.12038872971417,-0.0978694598772382,0.924474413575849
113,"C",4,"Control-III",0.132133013814983,-0.108382557103573,0.776519528576035
