"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",2,"Control-III",3.04799669356187,1.71466985479858,2.40816446517439
2,"D",2,"Control-III",2.99462732179268,1.71439767423704,2.56007922882292
3,"D",2,"Control-III",2.94128958370438,1.71394412958312,2.70973615578025
4,"D",2,"Control-III",2.88799928441988,1.71330935523187,2.85602723851952
5,"D",2,"Control-III",2.83477221500497,1.71249353928065,2.99786938904689
6,"D",2,"Control-III",2.78162414778904,1.71149692347332,3.13421245770604
7,"D",2,"Control-III",2.72857083169143,1.71031980312865,3.26404700811887
8,"D",2,"Control-III",2.6756279875547,1.70896252705281,3.38641179069924
9,"D",2,"Control-III",2.62281130348617,1.707425497436,3.50040085940859
10,"D",2,"Control-III",2.57013643020919,1.70570916973325,3.60517027906346
11,"D",2,"Control-III",2.51761897642553,1.70381405252951,3.69994437353633
12,"D",2,"Control-III",2.46527450419018,1.70174070738891,3.78402146859024
13,"D",2,"Control-III",2.41311852429994,1.69948974868836,3.85677908682942
14,"D",2,"Control-III",2.36116649169728,1.69706184343549,3.91767855630407
15,"D",2,"Control-III",2.30943380089066,1.69445771107104,3.96626899864905
16,"D",2,"Control-III",2.25793578139286,1.69167812325563,4.00219066722954
17,"D",2,"Control-III",2.20668769317847,1.68872390364111,4.02517761057924
18,"D",2,"Control-III",2.15570472216206,1.68559592762652,4.03505964141204
19,"D",2,"Control-III",2.10500197569823,1.68229512209865,4.03176359662905
20,"D",2,"Control-III",2.05459447810503,1.67882246515742,4.01531387899267
21,"D",2,"Control-III",2.00449716621187,1.67517898582603,3.98583227645702
22,"D",2,"Control-III",1.95472488493346,1.67136576374603,3.94353706049258
23,"D",2,"Control-III",1.9052923828709,1.66738392885743,3.88874137008055
24,"D",2,"Control-III",1.85621430794141,1.66323466106383,3.82185089334142
25,"D",2,"Control-III",1.80750520303778,1.65891918988284,3.74336086396204
26,"D",2,"Control-III",1.75917950171901,1.65443879408169,3.6538523946587
27,"D",2,"Control-III",1.71125152393336,1.64979480129836,3.55398817482186
28,"D",2,"Control-III",1.66373547177503,1.64498858764815,3.44450756419577
