"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"C",2,"Control-II",1.9818812761355,0.887484283267699,1.40845391411675
2,"C",2,"Control-II",1.94717921794368,0.887155549216049,1.55514171605521
3,"C",2,"Control-II",1.91249772873737,0.886607767365474,1.69964936714187
4,"C",2,"Control-II",1.87784708539032,0.885841100035558,1.84090698328686
5,"C",2,"Control-II",1.84323755563597,0.884855774406375,1.97786874252193
6,"C",2,"Control-II",1.80867939502492,0.883652082451177,2.10952062790041
7,"C",2,"Control-II",1.774182843886,0.882230380849866,2.2348879349239
8,"C",2,"Control-II",1.73975812429179,0.88059109088331,2.35304248791336
9,"C",2,"Control-II",1.70541543702966,0.878734698308505,2.4631095118971
10,"C",2,"Control-II",1.67116495857902,0.876661753214635,2.56427410913859
11,"C",2,"Control-II",1.63701683809583,0.874372869860069,2.65578729235426
12,"C",2,"Control-II",1.60298119440515,0.871868726490343,2.7369715299532
13,"C",2,"Control-II",1.56906811300276,0.869150065137181,2.80722576224411
14,"C",2,"Control-II",1.53528764306659,0.866217691398617,2.8660298514709
15,"C",2,"Control-II",1.50164979447893,0.863072474200274,2.91294843273067
16,"C",2,"Control-II",1.46816453486026,0.859715345537888,2.94763413726314
17,"C",2,"Control-II",1.43484178661569,0.856147300201133,2.96983016424742
18,"C",2,"Control-II",1.40169142399469,0.852369395478849,2.97937218206541
19,"C",2,"Control-II",1.36872327016515,0.848382750845739,2.97618954495565
20,"C",2,"Control-II",1.33594709430255,0.844188547630645,2.96030581604981
21,"C",2,"Control-II",1.30337260869517,0.839788028666499,2.93183859291946
22,"C",2,"Control-II",1.27100946586611,0.83518249792204,2.89099863692486
23,"C",2,"Control-II",1.23886725571305,0.830373320115425,2.83808831281154
24,"C",2,"Control-II",1.20695550266653,0.825361920309827,2.77349935010757
25,"C",2,"Control-II",1.17528366286771,0.820149783491164,2.69770994289509
26,"C",2,"Control-II",1.14386112136624,0.814738454128063,2.61128120942873
27,"C",2,"Control-II",1.11269718933933,0.809129535714199,2.51485303781234
28,"C",2,"Control-II",1.08180110133261,0.803324690293149,2.40913934849129
29,"C",2,"Control-II",1.05118201252375,0.79732563796589,2.29492280863536
30,"C",2,"Control-II",1.02084899600957,0.791134156381098,2.1730490375448
31,"C",2,"Control-II",0.990811040117517,0.784752080208388,2.04442034598088
32,"C",2,"Control-II",0.961077045742182,0.778181300594666,1.90998905577271
33,"C",2,"Control-II",0.931655823707816,0.771423764603743,1.77075044915963
34,"C",2,"Control-II",0.902556092157468,0.764481474639371,1.6277354000697
35,"C",2,"Control-II",0.87378647396962,0.757356487851893,1.48200274188982
36,"C",2,"Control-II",0.845355494203042,0.750050915528665,1.33463142823378
37,"C",2,"Control-II",0.817271577570628,0.742566922468433,1.1867125447472
