"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"A",3,"Control-II",0.642238953057132,6.14716924277237,3.35732792637762
2,"A",3,"Control-II",0.630993570303679,6.14568431967625,3.65215287594673
3,"A",3,"Control-II",0.619754853037147,6.14320993675951,3.94259598287833
4,"A",3,"Control-II",0.608526131532013,6.13974682723521,4.22650690802581
5,"A",3,"Control-II",0.597310733100794,6.13529601729744,4.50178367423106
6,"A",3,"Control-II",0.586111981108094,6.12985882581723,4.76638822862797
7,"A",3,"Control-II",0.574933193985816,6.12343686395177,5.01836153167277
8,"A",3,"Control-II",0.563777684249844,6.11603203466696,5.25583806118741
9,"A",3,"Control-II",0.552648757518468,6.10764653217352,5.47705962403311
10,"A",3,"Control-II",0.54154971153286,6.09828284127682,5.68038837315716
11,"A",3,"Control-II",0.530483835179883,6.08794373664055,5.86431893363951
12,"A",3,"Control-II",0.51945440751752,6.07663228196456,6.02748954796201
13,"A",3,"Control-II",0.508464696803224,6.06435182907698,6.16869215798458
14,"A",3,"Control-II",0.497517959525456,6.05110601694104,6.28688134898505
15,"A",3,"Control-II",0.486617439438722,6.03689877057674,6.38118208954403
16,"A",3,"Control-II",0.475766366602376,6.0217342998978,6.45089620997134
17,"A",3,"Control-II",0.464967956423483,6.00561709846416,6.49550757131015
18,"A",3,"Control-II",0.45422540870403,5.98855194215043,6.51468588664927
19,"A",3,"Control-II",0.443541906692749,5.97054388773074,6.50828916645181
20,"A",3,"Control-II",0.432920616141854,5.95159827138025,6.47636476979611
21,"A",3,"Control-II",0.422364684368962,5.93172070709397,6.41914905374565
22,"A",3,"Control-II",0.411877239324473,5.91091708502318,6.33706562344403
23,"A",3,"Control-II",0.401461388664692,5.88919356973009,6.23072219589075
24,"A",3,"Control-II",0.39112021883096,5.86655659836111,6.10090610061713
25,"A",3,"Control-II",0.380856794135081,5.8430128787394,5.94857845057391
26,"A",3,"Control-II",0.370674155851295,5.8185693873772,5.77486702638726
27,"A",3,"Control-II",0.360575321315084,5.79323336740853,5.58105792666558
28,"A",3,"Control-II",0.350563283029073,5.76701232644291,5.36858604617536
29,"A",3,"Control-II",0.340641007776283,5.73991403434068,5.13902445238239
30,"A",3,"Control-II",0.330811435741012,5.7119465209106,4.89407273901057
31,"A",3,"Control-II",0.321077479637593,5.6831180735305,4.63554444284465
32,"A",3,"Control-II",0.311442023847296,5.65343723469151,4.36535361693835
33,"A",3,"Control-II",0.301907923563621,5.62291279946674,4.08550065963522
34,"A",3,"Control-II",0.292478003946245,5.59155381290512,3.79805750431921
35,"A",3,"Control-II",0.283155059283866,5.55936956735114,3.50515227954475
36,"A",3,"Control-II",0.273941852166193,5.52636959969137,3.20895355311757
37,"A",3,"Control-II",0.264841112665331,5.4925636885284,2.91165427677731
38,"A",3,"Control-II",0.255855537526804,5.45796185128332,2.61545555035012
39,"A",3,"Control-II",0.246987789370452,5.42257434122727,2.32255032557567
40,"A",3,"Control-II",0.238240495901434,5.3864116444432,2.03510717025965
41,"A",3,"Control-II",0.229616249131587,5.34948447671862,1.75525421295652
42,"A",3,"Control-II",0.221117604611356,5.31180378037029,1.48506338705022
43,"A",3,"Control-II",0.212747080672528,5.27338072100174,1.2265350908843
44,"A",3,"Control-II",0.204507157681996,5.23422668419471,0.981583377512486
45,"A",3,"Control-II",0.196400277306775,5.19435327213532,0.752021783719515
46,"A",3,"Control-II",0.188428841790481,5.1537723001761,0.539549903229297
47,"A",3,"Control-II",0.180595213241495,5.11249579333484,0.345740803507611
48,"A",3,"Control-II",0.172901712933019,5.07053598273135,0.172029379320959
49,"A",3,"Control-II",0.165350620615234,5.02790530196308,0.0197017292777396
50,"A",3,"Control-II",0.157944173839761,4.98461638342077,-0.110114365995884
51,"A",3,"Control-II",0.150684567296622,4.94068205454526,-0.216457793549159
52,"A",3,"Control-II",0.143573952163912,4.89611533402635,-0.298541223850774
53,"A",3,"Control-II",0.136614435470353,4.85092942794518,-0.35575693990124
54,"A",3,"Control-II",0.129808079470942,4.8051377258609,-0.387681336556939
55,"A",3,"Control-II",0.123156901035853,4.75875379684311,-0.394078056754395
56,"A",3,"Control-II",0.116662871052802,4.71179138545103,-0.374899741415281
57,"A",3,"Control-II",0.110327913843025,4.66426440766067,-0.330288380076466
58,"A",3,"Control-II",0.104153906591063,4.61618694674128,-0.260574259649161
59,"A",3,"Control-II",0.0981426787885099,4.56757324908213,-0.166273519090184
60,"A",3,"Control-II",0.0922960116918975,4.518437719971,-0.0480843280897083
61,"A",3,"Control-II",0.0866156377948674,4.46879491932559,0.0931182819328574
62,"A",3,"Control-II",0.0811032403147982,4.41865955737912,0.256288896255354
63,"A",3,"Control-II",0.0757604526940301,4.36804649032133,0.440219456737711
64,"A",3,"Control-II",0.0705888581158423,4.31697071589634,0.64354820586176
65,"A",3,"Control-II",0.0655899890353203,4.26544736895838,0.864769768707454
66,"A",3,"Control-II",0.0607653267252571,4.21349171698714,1.1022462982221
67,"A",3,"Control-II",0.05611630083722,4.16111915556359,1.3542196012669
68,"A",3,"Control-II",0.0516442889779136,4.10834520380796,1.61882415566381
69,"A",3,"Control-II",0.0473506163009659,4.05518549978111,1.89410092186906
70,"A",3,"Control-II",0.0432365551142562,4.00165579585064,2.17801184701653
71,"A",3,"Control-II",0.0393033245029027,3.94777195402308,2.46845495394814
72,"A",3,"Control-II",0.0355520899680217,3.89354994124367,2.76327990351725
73,"A",3,"Control-II",0.031983963081364,3.83900582466501,3.06030391494743
74,"A",3,"Control-II",0.0286000011559327,3.784155766886,3.35732792637761
75,"A",3,"Control-II",0.0254012069326783,3.72901602116251,3.65215287594672
76,"A",3,"Control-II",0.0223885282833646,3.67360292659122,3.94259598287833
77,"A",3,"Control-II",0.0195628579296944,3.61793290326797,4.22650690802581
78,"A",3,"Control-II",0.0169250331787765,3.56202244742211,4.50178367423106
79,"A",3,"Control-II",0.0144758356750134,3.50588812652837,4.76638822862797
80,"A",3,"Control-II",0.0122159911684836,3.44954657439751,5.01836153167276
81,"A",3,"Control-II",0.0101461692998858,3.39301448624736,5.25583806118741
82,"A",3,"Control-II",0.00826698340211003,3.33630861375572,5.47705962403311
83,"A",3,"Control-II",0.00657899031849394,3.27944576009641,5.68038837315715
84,"A",3,"Control-II",0.00508269023781815,3.22244277496018,5.86431893363951
85,"A",3,"Control-II",0.00377852654608927,3.16531654956173,6.02748954796201
86,"A",3,"Control-II",0.00266688569515546,3.10808401163456,6.16869215798458
87,"A",3,"Control-II",0.00174809708819192,3.05076212041482,6.28688134898505
