"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",3,"Control-II",2.42145283935879,1.6818933867335,2.11119552838999
2,"D",3,"Control-II",2.37905403457063,1.68162640899131,2.24437653589563
3,"D",3,"Control-II",2.33668036086825,1.68118153398992,2.37557813759438
4,"D",3,"Control-II",2.29434437448569,1.68055889355542,2.50382896273066
5,"D",3,"Control-II",2.25205862048939,1.67975867218959,2.62817948706618
6,"D",3,"Control-II",2.20983562906086,1.67878110701529,2.74770906282517
7,"D",3,"Control-II",2.16768791178371,1.67762648770619,2.86153273484844
8,"D",3,"Control-II",2.12562795793619,1.67629515640091,2.96880779249172
9,"D",3,"Control-II",2.08366823079035,1.67478750760163,3.06874000876047
10,"D",3,"Control-II",2.04182116391891,1.67310398805725,3.16058952048863
11,"D",3,"Control-II",2.00009915751092,1.67124509663093,3.24367630602669
12,"D",3,"Control-II",1.95851457469731,1.66921138415232,3.31738521988403
13,"D",3,"Control-II",1.91707973788744,1.66700345325433,3.38117054705094
14,"D",3,"Control-II",1.8758069251177,1.66462195819452,3.43456004328158
15,"D",3,"Control-II",1.83470836641324,1.66206760466128,3.47715843142522
16,"D",3,"Control-II",1.79379624016398,1.65934114956469,3.5086503279199
17,"D",3,"Control-II",1.75308266951591,1.65644340081223,3.52880257778201
18,"D",3,"Control-II",1.71257971877865,1.6533752170694,3.53746598080423
19,"D",3,"Control-II",1.67229938985066,1.65013750750527,3.53457639618165
20,"D",3,"Control-II",1.6322536186627,1.64673123152304,3.52015521738783
21,"D",3,"Control-II",1.59245427164105,1.64315739847581,3.49430921378503
22,"D",3,"Control-II",1.55291314219115,1.63941706736744,3.45722974014121
23,"D",3,"Control-II",1.51364194720304,1.63551134653875,3.40919131990626
24,"D",3,"Control-II",1.47465232357933,1.63144139333913,3.35054961273644
25,"D",3,"Control-II",1.43595582478698,1.62720841378354,3.2817387813147
26,"D",3,"Control-II",1.39756391743369,1.62281366219517,3.2032682769621
27,"D",3,"Control-II",1.35948797787021,1.61825844083378,3.11571906783845
28,"D",3,"Control-II",1.32173928881915,1.61354409950976,3.01973933765732
29,"D",3,"Control-II",1.28432903603177,1.60867203518419,2.91603968676064
30,"D",3,"Control-II",1.24726830497335,1.60364369155487,2.80538787108232
31,"D",3,"Control-II",1.21056807753835,1.59846055862854,2.68860311795198
32,"D",3,"Control-II",1.17423922879619,1.59312417227936,2.5665500608224
33,"D",3,"Control-II",1.13829252376882,1.58763611379376,2.44013233782597
34,"D",3,"Control-II",1.10273861424071,1.58199800940192,2.31028590155408
35,"D",3,"Control-II",1.06758803560258,1.57621152979585,2.17797208959162
36,"D",3,"Control-II",1.0328512037295,1.57027838963433,2.04417050710983
37,"D",3,"Control-II",0.998538411894423,1.56420034703485,1.90987177421235
38,"D",3,"Control-II",0.964659827718105,1.5579792030526,1.77607019173056
39,"D",3,"Control-II",0.931225490156198,1.55161680114681,1.6437563797681
40,"D",3,"Control-II",0.898245306524493,1.54511502663448,1.51390994349621
41,"D",3,"Control-II",0.865729049563171,1.5384758061317,1.38749222049978
42,"D",3,"Control-II",0.833686354540928,1.53170110698281,1.26543916337021
43,"D",3,"Control-II",0.802126716399837,1.52479293667736,1.14865441023986
44,"D",3,"Control-II",0.771059486941791,1.51775334225532,1.03800259456154
45,"D",3,"Control-II",0.740493872057366,1.51058440970044,0.934302943664858
46,"D",3,"Control-II",0.710438928997911,1.50328826332215,0.838323213483737
47,"D",3,"Control-II",0.680903563691694,1.49586706512609,0.750774004360086
48,"D",3,"Control-II",0.65189652810488,1.48832301417344,0.672303500007484
49,"D",3,"Control-II",0.623426417648136,1.48065834592931,0.603492668585744
50,"D",3,"Control-II",0.595501668629627,1.47287533160033,0.544850961415921
51,"D",3,"Control-II",0.568130555755152,1.46497627746161,0.496812541180972
52,"D",3,"Control-II",0.541321189676173,1.45696352417337,0.459733067537152
53,"D",3,"Control-II",0.515081514586452,1.44883944608733,0.433887063934354
54,"D",3,"Control-II",0.489419305868017,1.44060645054317,0.419465885140532
55,"D",3,"Control-II",0.464342167787147,1.43226697715515,0.416576300517948
56,"D",3,"Control-II",0.439857531241065,1.42382349708921,0.425239703540172
57,"D",3,"Control-II",0.415972651556001,1.41527851233072,0.445391953402286
58,"D",3,"Control-II",0.392694606337283,1.40663455494308,0.476883849896961
59,"D",3,"Control-II",0.370030293372091,1.39789418631742,0.519482238040597
60,"D",3,"Control-II",0.347986428585492,1.38905999641359,0.572871734271242
61,"D",3,"Control-II",0.326569544050369,1.38013460299273,0.636657061438146
62,"D",3,"Control-II",0.305785986051824,1.37112065084151,0.710365975295489
63,"D",3,"Control-II",0.285641913206637,1.36202081098852,0.793452760833549
64,"D",3,"Control-II",0.266143294638336,1.35283777991268,0.885302272561712
65,"D",3,"Control-II",0.24729590820842,1.34357427874428,0.985234488830458
66,"D",3,"Control-II",0.229105338804246,1.33423305245866,1.09250954647374
67,"D",3,"Control-II",0.211576976684114,1.32481686906275,1.20633321849701
68,"D",3,"Control-II",0.194716015880012,1.31532851877491,1.325862794256
69,"D",3,"Control-II",0.178527452658517,1.30577081319811,1.45021331859152
70,"D",3,"Control-II",0.163016084040289,1.29614658448679,1.5784641437278
71,"D",3,"Control-II",0.148186506378612,1.28645868450762,1.70966574542654
72,"D",3,"Control-II",0.134043113997396,1.27670998399444,1.84284675293219
73,"D",3,"Control-II",0.120590097889042,1.26690337169761,1.97702114066109
74,"D",3,"Control-II",0.107831444472564,1.257041753528,2.11119552838999
75,"D",3,"Control-II",0.0957709344123235,1.24712805169591,2.24437653589563
76,"D",3,"Control-II",0.084412141497738,1.23716520384514,2.37557813759438
77,"D",3,"Control-II",0.0737584315842911,1.22715616218252,2.50382896273066
78,"D",3,"Control-II",0.0638129615961558,1.21710389260312,2.62817948706618
79,"D",3,"Control-II",0.0545786785907306,1.20701137381135,2.74770906282517
80,"D",3,"Control-II",0.0460583188853622,1.19688159643835,2.86153273484844
81,"D",3,"Control-II",0.0382544072465158,1.18671756215577,2.96880779249172
82,"D",3,"Control-II",0.031169256141632,1.17652228278632,3.06874000876047
83,"D",3,"Control-II",0.0248049650538932,1.16629877941133,3.16058952048863
84,"D",3,"Control-II",0.0191634198601017,1.15605008147547,3.24367630602669
85,"D",3,"Control-II",0.0142462922718524,1.14577922588914,3.31738521988403
86,"D",3,"Control-II",0.0100550393401707,1.1354892561285,3.38117054705094
87,"D",3,"Control-II",0.00659090302375446,1.12518322133367,3.43456004328158
88,"D",3,"Control-II",0.00385490982095633,1.11486417540518,3.47715843142522
89,"D",3,"Control-II",0.00184787046560999,1.10453517609905,3.5086503279199
90,"D",3,"Control-II",0.000570379686792003,1.09419928412069,3.52880257778201
91,"D",3,"Control-II",2.28160325906767e-05,1.08385956221795,3.53746598080423
