"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"C",4,"Control-I",2.05187865105655,0.804597266841899,1.11452405221953
2,"C",4,"Control-I",2.01595096295085,0.804299235063239,1.23059961691427
3,"C",4,"Control-I",1.9800445702995,0.80380261355894,1.34495000584186
4,"C",4,"Control-I",1.94417011294158,0.803107549488671,1.45672860873034
5,"C",4,"Control-I",1.90833822125303,0.802214248814917,1.56510785591182
6,"C",4,"Control-I",1.87255951299668,0.801122976241947,1.66928534535874
7,"C",4,"Control-I",1.83684459017594,0.799834055137375,1.76848978338772
8,"C",4,"Control-I",1.80120403589324,0.798347867436342,1.86198669504818
9,"C",4,"Control-I",1.76564841121401,0.796664853528339,1.94908386191787
10,"C",4,"Control-I",1.73018825203718,0.794785512126708,2.02913644704591
11,"C",4,"Control-I",1.69483406597322,0.792710400120868,2.10155176909994
12,"C",4,"Control-I",1.65959632923046,0.790440132411289,2.16579369037137
13,"C",4,"Control-I",1.62448548351079,0.78797538172729,2.22138658615138
14,"C",4,"Control-I",1.58951193291555,0.785316878427692,2.26791886608985
15,"C",4,"Control-I",1.55468604086258,0.782465410284399,2.30504602146634
16,"C",4,"Control-I",1.52001812701528,0.779421822248962,2.33249317581207
17,"C",4,"Control-I",1.48551846422474,0.7761870162022,2.3500571199992
18,"C",4,"Control-I",1.4511972754856,0.772761950686959,2.35760781673004
19,"C",4,"Control-I",1.4170647309068,0.769147640624069,2.35508936328775
20,"C",4,"Control-I",1.38313094469793,0.765345157011606,2.3425204054205
21,"C",4,"Control-I",1.3494059721722,0.761355626607528,2.31999399929484
22,"C",4,"Control-I",1.31589980676681,0.757180231595795,2.28767692254042
23,"C",4,"Control-I",1.28262237708169,0.752820209236061,2.24580843948679
24,"C",4,"Control-I",1.24958354393746,0.748276851497049,2.19469852973398
25,"C",4,"Control-I",1.21679309745339,0.74355150467371,2.13472559317203
26,"C",4,"Control-I",1.18426075414647,0.738645568988289,2.06633364844054
27,"C",4,"Control-I",1.15199615405212,0.733560498175409,1.99002904557007
28,"C",4,"Control-I",1.12000885786768,0.728297799051297,1.90637671714365
29,"C",4,"Control-I",1.08830834411934,0.722859031067281,1.81599599573358
30,"C",4,"Control-I",1.05690400635348,0.717245805847693,1.71955602857973
31,"C",4,"Control-I",1.02580515035315,0.711459786712309,1.61777082345754
32,"C",4,"Control-I",0.995020991380545,0.705502688183472,1.51139396241423
33,"C",4,"Control-I",0.964560651446346,0.699376275478039,1.40121302251097
34,"C",4,"Control-I",0.934433156606663,0.693082363984316,1.28804374487788
35,"C",4,"Control-I",0.904647434288423,0.68662281872411,1.17272399525213
36,"C",4,"Control-I",0.875212310643976,0.679999553800091,1.05610756071309
37,"C",4,"Control-I",0.84613650793572,0.673214531828597,0.939057828541602
38,"C",4,"Control-I",0.817428641951505,0.666269763358073,0.822441394002566
39,"C",4,"Control-I",0.789097219451589,0.659167306273295,0.707121644376806
40,"C",4,"Control-I",0.7611506356479,0.651909265185582,0.593952366743721
41,"C",4,"Control-I",0.733597171716357,0.644497790809149,0.48377142684046
42,"C",4,"Control-I",0.706444992342974,0.636935079323806,0.377394565797148
43,"C",4,"Control-I",0.679702143304492,0.629223371724184,0.275609360674961
