"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"C",5,"Control-III",2.25218858222964,0.856015708744709,1.05109271921629
2,"C",5,"Control-III",2.2127535362556,0.855698631003146,1.16056203097013
3,"C",5,"Control-III",2.17334186465564,0.855170272498215,1.26840435254406
4,"C",5,"Control-III",2.13396524595863,0.854430789793942,1.37382125711985
5,"C",5,"Control-III",2.0946353483065,0.853480402015014,1.47603227481816
6,"C",5,"Control-III",2.05536382599674,0.852319390781839,1.57428067102443
7,"C",5,"Control-III",2.01616231602895,0.850948100127104,1.66783904898725
8,"C",5,"Control-III",1.97704243465659,0.849366936393823,1.75601473520937
9,"C",5,"Control-III",1.93801577394476,0.847576368114936,1.83815490775997
10,"C",5,"Control-III",1.89909389833532,0.845576925874466,1.91365142953978
11,"C",5,"Control-III",1.86028834122,0.843369202150302,1.98194535071548
12,"C",5,"Control-III",1.82161060152288,0.84095385113863,2.04253104698861
13,"C",5,"Control-III",1.78307214029294,0.838331588560081,2.09495996306104
14,"C",5,"Control-III",1.744684377308,0.83550319144765,2.13884393358142
15,"C",5,"Control-III",1.70645868769069,0.832469497916445,2.17385805698568
16,"C",5,"Control-III",1.66840639853783,0.82923140691533,2.1997431009545
17,"C",5,"Control-III",1.63053878556392,0.825789877960554,2.21630742167871
18,"C",5,"Control-III",1.59286706975995,0.822145930851419,2.22342838272302
19,"C",5,"Control-III",1.55540241406832,0.818300645368097,2.22105326298325
20,"C",5,"Control-III",1.51815592007508,0.814255160951665,2.20919964701499
21,"C",5,"Control-III",1.48113862472024,0.810010676366464,2.18795529484363
22,"C",5,"Control-III",1.4443614970273,0.805568449344879,2.15747749221993
23,"C",5,"Control-III",1.40783543485293,0.80092979621465,2.11799188613124
24,"C",5,"Control-III",1.37157126165763,0.796096091508808,2.06979081419027
25,"C",5,"Control-III",1.33557972329858,0.791068767558378,2.01323114026959
26,"C",5,"Control-III",1.29987148484535,0.785849314067944,1.94873161240641
27,"C",5,"Control-III",1.26445712741964,0.780439277674222,1.87676976253865
28,"C",5,"Control-III",1.22934714505986,0.774840261487752,1.79787837102548
29,"C",5,"Control-III",1.19455194161152,0.769053924617868,1.71264152212799
30,"C",5,"Control-III",1.16008182764434,0.763081981681062,1.62169027965368
31,"C",5,"Control-III",1.12594701739701,0.756926202292914,1.52569801478079
32,"C",5,"Control-III",1.09215762575051,0.750588410543707,1.42537542065369
33,"C",5,"Control-III",1.05872366523081,0.744070484457918,1.32146525065952
34,"C",5,"Control-III",1.02565504304198,0.737374355437715,1.21473681934194
35,"C",5,"Control-III",0.992961558130455,0.730502007690639,1.10598030666543
36,"C",5,"Control-III",0.960652898281391,0.723455477641648,0.996000907799305
37,"C",5,"Control-III",0.928738637247983,0.716236853329669,0.885612871734352
38,"C",5,"Control-III",0.897228231914542,0.708848273788879,0.775633472868223
39,"C",5,"Control-III",0.866131019494217,0.701291928414853,0.666876960191719
40,"C",5,"Control-III",0.835456214762182,0.693570056315804,0.560148528874138
41,"C",5,"Control-III",0.805212907325095,0.685684945649088,0.456238358879966
42,"C",5,"Control-III",0.775410058927654,0.67763893294317,0.355915764752867
43,"C",5,"Control-III",0.746056500797037,0.669434402405261,0.259923499879973
44,"C",5,"Control-III",0.717160931026021,0.661073785214829,0.168972257405664
45,"C",5,"Control-III",0.688731911995545,0.652559558803183,0.0837354085081792
46,"C",5,"Control-III",0.660777867837497,0.643894246119362,0.00484401699500685
47,"C",5,"Control-III",0.633307081938458,0.635080414882526,-0.0671178328727591
48,"C",5,"Control-III",0.606327694485159,0.626120676821089,-0.131617360735934
49,"C",5,"Control-III",0.579847700052365,0.617017686898805,-0.188177034656617
50,"C",5,"Control-III",0.553874945233911,0.607774142528048,-0.236378106597589
51,"C",5,"Control-III",0.528417126317588,0.598392782770506,-0.27586371268627
52,"C",5,"Control-III",0.503481787004567,0.588876387525542,-0.306341515309978
53,"C",5,"Control-III",0.479076316174032,0.579227776706448,-0.327585867481331
54,"C",5,"Control-III",0.455207945693706,0.569449809404842,-0.339439483449598
55,"C",5,"Control-III",0.431883748276883,0.559545383043463,-0.341814603189365
56,"C",5,"Control-III",0.409110635386635,0.549517432517597,-0.33469364214506
57,"C",5,"Control-III",0.386895355187796,0.539368929325404,-0.31812932142085
58,"C",5,"Control-III",0.365244490547333,0.529102880687405,-0.29224427745203
59,"C",5,"Control-III",0.344164457083703,0.518722328655368,-0.257230154047768
60,"C",5,"Control-III",0.323661501265766,0.508230349210893,-0.213346183527382
61,"C",5,"Control-III",0.303741698561821,0.497630051353925,-0.160917267454957
62,"C",5,"Control-III",0.284410951639314,0.48692457618149,-0.100331571181828
63,"C",5,"Control-III",0.265674988615748,0.476117095956927,-0.0320376500061315
64,"C",5,"Control-III",0.247539361361325,0.465210813169869,0.0434588717736878
65,"C",5,"Control-III",0.230009443853797,0.454208959587285,0.125599044324281
