"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"D",1,"Control-I",3.00368952921118,1.95486049431862,2.09990728307219
2,"D",1,"Control-I",2.95109596062159,1.95455018675382,2.23237619173896
3,"D",1,"Control-I",2.89853356587029,1.95403310964776,2.36287627818431
4,"D",1,"Control-I",2.84601792032925,1.95330941622154,2.49044136542617
5,"D",1,"Control-I",2.79356458551761,1.95237932092115,2.61412700618969
6,"D",1,"Control-I",2.74118910449051,1.95124309935388,2.73301747526446
7,"D",1,"Control-I",2.68890699723334,1.94990108820671,2.84623254921356
8,"D",1,"Control-I",2.63673375606282,1.94835368514652,2.95293402323994
9,"D",1,"Control-I",2.5846848410363,1.94660134870222,3.05233191696147
10,"D",1,"Control-I",2.5327756753706,1.94464459812891,3.14369032314931
11,"D",1,"Control-I",2.48102164087182,1.94248401325403,3.22633285612752
12,"D",1,"Control-I",2.4294380733773,1.9401202343055,3.29964765949603
13,"D",1,"Control-I",2.37804025821137,1.93755396172204,3.36309193610127
14,"D",1,"Control-I",2.32684342565591,1.9347859559456,3.41619596671647
15,"D",1,"Control-I",2.27586274643734,1.93181703719603,3.45856658767841
16,"D",1,"Control-I",2.22511332723115,1.92864808522802,3.48989010173366
17,"D",1,"Control-I",2.17461020618551,1.92528003907045,3.50993460054331
18,"D",1,"Control-I",2.12436834846515,1.92171389674807,3.51855168165111
19,"D",1,"Control-I",2.0744026418168,1.91795071498582,3.51567754720339
20,"D",1,"Control-I",2.02472789215771,1.91399160889567,3.50133347628603
21,"D",1,"Control-I",1.97535881918825,1.9098377516462,3.47562566738156
22,"D",1,"Control-I",1.92631005203024,1.90549037411495,3.43874445211273
23,"D",1,"Control-I",1.87759612489192,1.90095076452373,3.3909628860938
24,"D",1,"Control-I",1.82923147276125,1.89622026805681,3.33263472732226
25,"D",1,"Control-I",1.78123042712844,1.8913002864624,3.26419181707843
26,"D",1,"Control-I",1.73360721173928,1.88619227763723,3.18614088272369
27,"D",1,"Control-I",1.68637593838026,1.88089775519455,3.0990597860684
28,"D",1,"Control-I",1.63955060269702,1.87541828801562,3.00359324508517
29,"D",1,"Control-I",1.59314508004709,1.86975549978483,2.90044806064266
30,"D",1,"Control-I",1.54717312138836,1.86391106850854,2.79038788359915
31,"D",1,"Control-I",1.50164834920432,1.85788672601787,2.6742275609988
32,"D",1,"Control-I",1.45658425346748,1.85168425745552,2.55282710322923
33,"D",1,"Control-I",1.41199418764197,1.84530550074678,2.42708531680547
34,"D",1,"Control-I",1.36789136472663,1.83875234605494,2.29793314992103
35,"D",1,"Control-I",1.3242888533397,1.83202673522115,2.16632680003316
36,"D",1,"Control-I",1.28119957384633,1.82513066118906,2.0332406345114
37,"D",1,"Control-I",1.23863629452997,1.81806616741422,1.89965997676254
38,"D",1,"Control-I",1.19661162780887,1.81083534725862,1.76657381124079
39,"D",1,"Control-I",1.15513802649876,1.80344034337032,1.63496746135292
40,"D",1,"Control-I",1.11422778012276,1.79588334704856,1.50581529446848
41,"D",1,"Control-I",1.07389301126981,1.78816659759445,1.38007350804472
42,"D",1,"Control-I",1.0341456720024,1.78029238164739,1.25867305027514
43,"D",1,"Control-I",0.994997540314987,1.77226303250751,1.1425127276748
44,"D",1,"Control-I",0.956460216643862,1.76408092944425,1.03245255063128
45,"D",1,"Control-I",0.91854512042974,1.75574849699133,0.929307366188773
46,"D",1,"Control-I",0.881263486733901,1.74726820422831,0.83384082520555
47,"D",1,"Control-I",0.844626362909014,1.73864256404896,0.746759728550251
48,"D",1,"Control-I",0.808644605325562,1.72987413241661,0.668708794195517
49,"D",1,"Control-I",0.773328876154867,1.72096550760681,0.60026588395169
50,"D",1,"Control-I",0.738689640209658,1.71191932943734,0.541937725180149
51,"D",1,"Control-I",0.704737161843121,1.70273827848604,0.494156159161212
52,"D",1,"Control-I",0.671481501907352,1.69342507529643,0.457274943892383
53,"D",1,"Control-I",0.638932514772103,1.68398247957162,0.431567134987911
54,"D",1,"Control-I",0.607099845404731,1.67441328935652,0.417223064070554
55,"D",1,"Control-I",0.575992926512171,1.66472034020869,0.414348929622835
56,"D",1,"Control-I",0.545620975745836,1.65490650435817,0.422966010730633
57,"D",1,"Control-I",0.515992992970216,1.64497468985632,0.443010509540279
58,"D",1,"Control-I",0.487117757596034,1.63492783971412,0.474334023595538
59,"D",1,"Control-I",0.459003825978708,1.6247689310301,0.516704644557479
60,"D",1,"Control-I",0.431659528882926,1.61450097410815,0.569808675172675
61,"D",1,"Control-I",0.405092969014054,1.6041270115655,0.633252951777917
62,"D",1,"Control-I",0.379312018617137,1.59365011743114,0.706567755146419
63,"D",1,"Control-I",0.354324317144174,1.58307339623492,0.789210288124634
64,"D",1,"Control-I",0.33013726899039,1.57239998208759,0.880568694312468
65,"D",1,"Control-I",0.306758041300155,1.56163303775211,0.979966588034002
66,"D",1,"Control-I",0.284193561843195,1.55077575370647,1.08666806206038
67,"D",1,"Control-I",0.262450516961758,1.53983134719823,1.19988313600948
68,"D",1,"Control-I",0.241535349589292,1.52880306129126,1.31877360508425
69,"D",1,"Control-I",0.221454257341279,1.51769416390467,1.44245924584777
70,"D",1,"Control-I",0.202213190678736,1.5065079468445,1.57002433308963
71,"D",1,"Control-I",0.183817851144971,1.49524772482831,1.70052441953498
72,"D",1,"Control-I",0.166273689676093,1.48391683450287,1.83299332820176
73,"D",1,"Control-I",0.149585904985778,1.47251863345554,1.96645030563697
74,"D",1,"Control-I",0.133759442024783,1.46105649921927,2.09990728307219
75,"D",1,"Control-I",0.118798990515645,1.44953382827183,2.23237619173896
76,"D",1,"Control-I",0.10470898356302,1.43795403502928,2.36287627818431
77,"D",1,"Control-I",0.0914935963400555,1.42632055083428,2.49044136542617
78,"D",1,"Control-I",0.0791567448511963,1.41463682293926,2.61412700618969
79,"D",1,"Control-I",0.0677020847717899,1.40290631348497,2.73301747526446
80,"D",1,"Control-I",0.0571330103648298,1.3911324984745,2.84623254921356
81,"D",1,"Control-I",0.047452653475162,1.37931886674336,2.95293402323994
82,"D",1,"Control-I",0.0386638826014522,1.36746891892558,3.05233191696147
83,"D",1,"Control-I",0.0307693020461873,1.35558616641644,3.14369032314931
84,"D",1,"Control-I",0.023771251143965,1.34367413033196,3.22633285612752
85,"D",1,"Control-I",0.0176718035682977,1.33173634046552,3.29964765949603
86,"D",1,"Control-I",0.0124727667171395,1.3197763342419,3.36309193610127
87,"D",1,"Control-I",0.00817568117731333,1.30779765566905,3.41619596671646
88,"D",1,"Control-I",0.00478182026800325,1.29580385428795,3.45856658767841
89,"D",1,"Control-I",0.00229218966344233,1.28379848412081,3.48989010173366
90,"D",1,"Control-I",0.000707527094909503,1.2717851026179,3.50993460054331
91,"D",1,"Control-I",2.83021321236652e-05,1.25976726960344,3.51855168165111
92,"D",1,"Control-I",0.000254716044099874,1.2477485462207,3.51567754720339
93,"D",1,"Control-I",0.0013867017395099,1.23573249387681,3.50133347628603
94,"D",1,"Control-I",0.00342392378656146,1.22372267318741,3.47562566738156
95,"D",1,"Control-I",0.00636577851239583,1.21172264292157,3.43874445211273
96,"D",1,"Control-I",0.0102113941819667,1.19973595894723,3.3909628860938
97,"D",1,"Control-I",0.0149596312563566,1.18776617317755,3.33263472732226
98,"D",1,"Control-I",0.0206090827304445,1.17581683251838,3.26419181707843
99,"D",1,"Control-I",0.0271580745498337,1.16389147781724,3.18614088272369
100,"D",1,"Control-I",0.0346046661069096,1.15199364281411,3.0990597860684
101,"D",1,"Control-I",0.0429466508158824,1.14012685309428,3.00359324508517
102,"D",1,"Control-I",0.0521815567666489,1.12829462504363,2.90044806064266
103,"D",1,"Control-I",0.0623066474572699,1.11650046480671,2.79038788359915
104,"D",1,"Control-I",0.0733189226048565,1.10474786724773,2.6742275609988
105,"D",1,"Control-I",0.0852151190346183,1.09304031491499,2.55282710322923
106,"D",1,"Control-I",0.0979917116468114,1.08138127700891,2.42708531680547
107,"D",1,"Control-I",0.111644914461305,1.06977420835406,2.29793314992103
108,"D",1,"Control-I",0.126170681739443,1.05822254837537,2.16632680003316
109,"D",1,"Control-I",0.14156470918289,1.046729720079,2.0332406345114
110,"D",1,"Control-I",0.157822435209084,1.035299129038,1.89965997676255
111,"D",1,"Control-I",0.174939042302934,1.02393416238321,1.76657381124079
112,"D",1,"Control-I",0.192909458444351,1.01263818779951,1.63496746135292
113,"D",1,"Control-I",0.211728358611197,1.00141455252796,1.50581529446848
114,"D",1,"Control-I",0.23139016635721,0.990266582373919,1.38007350804472
115,"D",1,"Control-I",0.251889055464418,0.979197580721533,1.25867305027514
116,"D",1,"Control-I",0.273218951669575,0.968210827554881,1.1425127276748
117,"D",1,"Control-I",0.295373534464099,0.957309578486041,1.03245255063128
118,"D",1,"Control-I",0.318346238966973,0.946497063790379,0.929307366188774
119,"D",1,"Control-I",0.342130257870061,0.935776487449354,0.833840825205551
120,"D",1,"Control-I",0.366718543455262,0.925151026201104,0.746759728550252
121,"D",1,"Control-I",0.392103809682897,0.914623828599112,0.668708794195517
122,"D",1,"Control-I",0.418278534350725,0.904198014079226,0.600265883951691
123,"D",1,"Control-I",0.445234961322929,0.893876672035293,0.54193772518015
124,"D",1,"Control-I",0.47296510282843,0.883662860903714,0.494156159161213
125,"D",1,"Control-I",0.501460741827835,0.873559607257161,0.457274943892383
126,"D",1,"Control-I",0.530713434448323,0.863569904907733,0.431567134987911
127,"D",1,"Control-I",0.560714512485744,0.853696714019833,0.417223064070554
128,"D",1,"Control-I",0.5914550859732,0.843942960233002,0.414348929622835
129,"D",1,"Control-I",0.622926045815331,0.834311533794991,0.422966010730633
130,"D",1,"Control-I",0.655118066487535,0.824805288705315,0.443010509540278
131,"D",1,"Control-I",0.68802160879933,0.815427041869557,0.474334023595538
132,"D",1,"Control-I",0.721626922721009,0.806179572264653,0.516704644557478
133,"D",1,"Control-I",0.755924050272795,0.797065620115423,0.569808675172675
134,"D",1,"Control-I",0.790902828475604,0.788087886082586,0.633252951777916
135,"D",1,"Control-I",0.826552892362549,0.77924903046249,0.706567755146419
136,"D",1,"Control-I",0.86286367805031,0.770551672398813,0.789210288124633
137,"D",1,"Control-I",0.899824425869436,0.761998389106455,0.880568694312468
138,"D",1,"Control-I",0.937424183552669,0.753591715107849,0.979966588034001
139,"D",1,"Control-I",0.97565180948034,0.745334141481932,1.08666806206038
140,"D",1,"Control-I",1.01449597598187,0.737228115125983,1.19988313600948
141,"D",1,"Control-I",1.05394517269239,0.729276038030553,1.31877360508425
142,"D",1,"Control-I",1.09398770996353,0.721480266567706,1.44245924584777
143,"D",1,"Control-I",1.13461172232733,0.713843110792773,1.57002433308963
144,"D",1,"Control-I",1.17580517201216,0.706366833759832,1.70052441953498
145,"D",1,"Control-I",1.21755585250987,0.69905365085112,1.83299332820175
146,"D",1,"Control-I",1.25985139219276,0.691905729120565,1.96645030563697
147,"D",1,"Control-I",1.30267925797963,0.68492518665164,2.09990728307219
148,"D",1,"Control-I",1.34602675904953,0.678114091929731,2.23237619173896
149,"D",1,"Control-I",1.38988105060238,0.6714744632292,2.36287627818431
150,"D",1,"Control-I",1.43422913766514,0.665008268015324,2.49044136542617
151,"D",1,"Control-I",1.47905787894251,0.658717422361299,2.61412700618969
152,"D",1,"Control-I",1.52435399071095,0.652603790380459,2.73301747526446
153,"D",1,"Control-I",1.570104050755,0.646669183673903,2.84623254921356
154,"D",1,"Control-I",1.61629450234447,0.640915360793677,2.95293402323994
155,"D",1,"Control-I",1.66291165825171,0.635344026721679,3.05233191696147
156,"D",1,"Control-I",1.70994170480732,0.629956832364433,3.14369032314931
157,"D",1,"Control-I",1.75737070599354,0.624755374063892,3.22633285612752
158,"D",1,"Control-I",1.80518460757369,0.619741193124408,3.29964765949602
159,"D",1,"Control-I",1.85336924125684,0.614915775356008,3.36309193610127
160,"D",1,"Control-I",1.90191032889612,0.610280550634118,3.41619596671646
161,"D",1,"Control-I",1.95079348671965,0.605836892475858,3.45856658767841
162,"D",1,"Control-I",2.00000422959279,0.601586117633044,3.48989010173366
