"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"A",4,"Control-I",0.69656890964086,6.37894346203991,3.77150994610448
2,"A",4,"Control-I",0.684372228069647,6.37740255107724,4.1027064374938
3,"A",4,"Control-I",0.672182775849651,6.37483487348354,4.42898051336339
4,"A",4,"Control-I",0.660004164978634,6.37124119011711,4.74791655460877
5,"A",4,"Control-I",0.647840004241833,6.36662256586389,5.05715327036646
6,"A",4,"Control-I",0.635693898142598,6.36098036932191,5.35440118018539
7,"A",4,"Control-I",0.6235694458343,6.35431627239578,5.63745956453916
8,"A",4,"Control-I",0.611470240053827,6.34663224980125,5.90423275818344
9,"A",4,"Control-I",0.599399866056973,6.33793057848005,6.15274566572819
10,"A",4,"Control-I",0.587361900556053,6.32821383692517,6.38115838455299
11,"A",4,"Control-I",0.575359910660045,6.31748490441686,6.58777982680223
12,"A",4,"Control-I",0.563397452817581,6.30574696016936,6.77108023960797
13,"A",4,"Control-I",0.551478071763089,6.29300348238888,6.92970253084498
14,"A",4,"Control-I",0.539605299466418,6.27925824724291,7.062472316566
15,"A",4,"Control-I",0.527782654086235,6.26451532774128,7.1684066157296
16,"A",4,"Control-I",0.516013638927518,6.2487790925292,7.24672112784793
17,"A",4,"Control-I",0.504301741403457,6.23205420459279,7.2968360396731
18,"A",4,"Control-I",0.49265043200205,6.2143456198773,7.31838031793163
19,"A",4,"Control-I",0.481063163257729,6.19565858581855,7.31119445632496
20,"A",4,"Control-I",0.469543368728297,6.17599863978805,7.27533165645832
21,"A",4,"Control-I",0.458094461977491,6.15537160745209,7.21105743395464
22,"A",4,"Control-I",0.446719835563468,6.13378360104553,7.11884765266976
23,"A",4,"Control-I",0.435422860033519,6.11124101756057,6.99938500156294
24,"A",4,"Control-I",0.424206882925303,6.0877505368512,6.85355394030668
25,"A",4,"Control-I",0.413075227774898,6.06331911965383,6.68243415105673
26,"A",4,"Control-I",0.402031193131965,6.03795400552465,6.48729254486314
27,"A",4,"Control-I",0.391078051582318,6.01166271069439,6.26957388190413
28,"A",4,"Control-I",0.380219048778187,5.98445302584112,6.03089007498718
29,"A",4,"Control-I",0.36945740247646,5.95633301378171,5.7730082555106
30,"A",4,"Control-I",0.358796301585191,5.9273110070826,5.49783769024089
31,"A",4,"Control-I",0.348238905218659,5.89739560559073,5.20741564576958
32,"A",4,"Control-I",0.337788341761255,5.86659567388518,4.90389230530421
33,"A",4,"Control-I",0.327447707940474,5.83492033865044,4.58951484946411
34,"A",4,"Control-I",0.317220067909285,5.80237898597194,4.26661081894134
35,"A",4,"Control-I",0.30710845233816,5.76898125855479,3.93757088220369
36,"A",4,"Control-I",0.297115857517019,5.73473705286639,3.60483113582184
37,"A",4,"Control-I",0.287245244467366,5.69965651620395,3.27085506846259
38,"A",4,"Control-I",0.277499538064874,5.66375004368759,2.93811532208074
39,"A",4,"Control-I",0.267881626172677,5.62702827518002,2.6090753853431
40,"A",4,"Control-I",0.258394358785642,5.58950209213378,2.28617135482032
41,"A",4,"Control-I",0.249040547185847,5.55118261436679,1.97179389898022
42,"A",4,"Control-I",0.239822963109542,5.51208119676731,1.66827055851486
43,"A",4,"Control-I",0.230744337925819,5.47220942592925,1.37784851404355
44,"A",4,"Control-I",0.221807361827253,5.43157911671883,1.10267794877383
45,"A",4,"Control-I",0.213014683032739,5.39020230877352,0.844796129297252
46,"A",4,"Control-I",0.204368907002764,5.34809126293452,0.606112322380308
47,"A",4,"Control-I",0.195872595667358,5.30525845761352,0.388393659421294
48,"A",4,"Control-I",0.187528266666934,5.26171658509517,0.193252053227702
49,"A",4,"Control-I",0.17933839260626,5.21747854777598,0.0221322639777474
50,"A",4,"Control-I",0.171305400321773,5.17255745434117,-0.12369879727851
51,"A",4,"Control-I",0.163431670162454,5.12696661588018,-0.243161448385325
52,"A",4,"Control-I",0.155719535284476,5.08071954194238,-0.335371229670209
53,"A",4,"Control-I",0.148171280959846,5.03382993653389,-0.399645452173893
54,"A",4,"Control-I",0.140789143899225,4.98631169405673,-0.43550825204053
55,"A",4,"Control-I",0.133575311589143,4.93817889519168,-0.442694113647198
56,"A",4,"Control-I",0.126531921643802,4.88944580272585,-0.421149835388673
57,"A",4,"Control-I",0.119661061171651,4.84012685732626,-0.371034923563502
58,"A",4,"Control-I",0.112964766156933,4.79023667326084,-0.292720411445171
59,"A",4,"Control-I",0.106445020856379,4.73979003406784,-0.18678611228157
60,"A",4,"Control-I",0.100103757211229,4.68880188817518,-0.0540163265605554
61,"A",4,"Control-I",0.0939428542747567,4.63728734447091,0.104605964676455
62,"A",4,"Control-I",0.0879641376554655,4.58526166782609,0.287906377482199
63,"A",4,"Control-I",0.0821693789761208,4.53274027457152,0.494527819731436
64,"A",4,"Control-I",0.0765602953487805,4.47973872792954,0.722940538556234
65,"A",4,"Control-I",0.0711385488659775,4.42627273340227,0.971453446100991
66,"A",4,"Control-I",0.0659057461082053,4.37235813411779,1.23822663974526
67,"A",4,"Control-I",0.0608634376678543,4.31801090613543,1.52128502409904
68,"A",4,"Control-I",0.0560131176897372,4.26324715371176,1.81853293391797
69,"A",4,"Control-I",0.0513562234283421,4.20808310452852,2.12776964967566
70,"A",4,"Control-I",0.0468941348219426,4.15253510488402,2.44670569092104
71,"A",4,"Control-I",0.0426281740836925,4.09661961484937,2.77297976679063
72,"A",4,"Control-I",0.0385596053098256,4.04035320339104,3.10417625817995
73,"A",4,"Control-I",0.0346896341050764,3.98375254346106,3.43784310214221
74,"A",4,"Control-I",0.0310194072254337,3.92683440705651,3.77150994610447
75,"A",4,"Control-I",0.027550012238332,3.8696156602496,4.10270643749379
76,"A",4,"Control-I",0.0242824772003817,3.8121132581899,4.42898051336339
77,"A",4,"Control-I",0.0212177703527336,3.75434424008014,4.74791655460876
78,"A",4,"Control-I",0.0183567998341685,3.69632572412714,5.05715327036645
79,"A",4,"Control-I",0.0157004134119959,3.63807490246932,5.35440118018539
80,"A",4,"Control-I",0.0132493982308421,3.5796090360823,5.63745956453916
81,"A",4,"Control-I",0.0110044805794025,3.52094544966407,5.90423275818343
82,"A",4,"Control-I",0.00896632567522668,3.46210152650137,6.15274566572819
83,"A",4,"Control-I",0.00713553746759959,3.40309470331857,6.38115838455299
84,"A",4,"Control-I",0.00551265845857886,3.34394246511087,6.58777982680222
85,"A",4,"Control-I",0.00409816954223938,3.28466233996304,6.77108023960797
86,"A",4,"Control-I",0.00289248986217439,3.22527189385555,6.92970253084498
87,"A",4,"Control-I",0.00189597668729365,3.16578872545933,7.062472316566
88,"A",4,"Control-I",0.00110892530595741,3.10623046092091,7.1684066157296
89,"A",4,"Control-I",0.000531568938475938,3.04661474863946,7.24672112784793
90,"A",4,"Control-I",0.000164078668001318,2.98695925403714,7.2968360396731
91,"A",4,"Control-I",6.56338983179475e-06,2.92728165432447,7.31838031793163
92,"A",4,"Control-I",5.90697791436779e-05,2.8675996332622,7.31119445632496
93,"A",4,"Control-I",0.000321582277160703,2.8079308759212,7.27533165645832
94,"A",4,"Control-I",0.000794023095764116,2.74829306344204,7.21105743395464
95,"A",4,"Control-I",0.00147625224054341,2.68870386779564,7.11884765266976
96,"A",4,"Control-I",0.00236806755227914,2.62918094654671,6.99938500156294
97,"A",4,"Control-I",0.00346920476684759,2.56974193762144,6.85355394030669
98,"A",4,"Control-I",0.00477933759352754,2.51040445408095,6.68243415105673
99,"A",4,"Control-I",0.00629807781168745,2.45118607890223,6.48729254486314
100,"A",4,"Control-I",0.00802497538582368,2.3921043597679,6.26957388190413
101,"A",4,"Control-I",0.00995951859891532,2.3331768038664,6.03089007498718
102,"A",4,"Control-I",0.0121011342040577,2.27442087270432,5.77300825551061
103,"A",4,"Control-I",0.014449187594327,2.21585397693212,5.49783769024089
104,"A",4,"Control-I",0.0170029829908286,2.15749347118499,5.20741564576958
105,"A",4,"Control-I",0.0197617636488711,2.0993566489403,4.90389230530421
106,"A",4,"Control-I",0.022724712082206,2.0414607373932,4.58951484946412
107,"A",4,"Control-I",0.0258909503052672,1.98382289235175,4.26661081894134
108,"A",4,"Control-I",0.0292595400933359,1.92646019315337,3.9375708822037
109,"A",4,"Control-I",0.0328294832605577,1.86938963760384,3.60483113582184
110,"A",4,"Control-I",0.0365997219557268,1.81262813694042,3.2708550684626
111,"A",4,"Control-I",0.0405691389757492,1.7561925108208,2.93811532208074
112,"A",4,"Control-I",0.0447365580966949,1.70009948233896,2.6090753853431
113,"A",4,"Control-I",0.049100744422338,1.64436567306984,2.28617135482032
114,"A",4,"Control-I",0.0536604047500833,1.58900759814395,1.97179389898023
115,"A",4,"Control-I",0.0584141879541704,1.53404166135362,1.66827055851486
116,"A",4,"Control-I",0.0633606853860408,1.47948415029218,1.37784851404355
117,"A",4,"Control-I",0.0684984312917511,1.42535123152761,1.10267794877383
118,"A",4,"Control-I",0.073825903246308,1.37165894581203,0.844796129297255
119,"A",4,"Control-I",0.079341522604795,1.31842320332845,0.606112322380308
120,"A",4,"Control-I",0.0850436549701594,1.26565977897631,0.388393659421296
121,"A",4,"Control-I",0.0909306106775193,1.21338430769696,0.193252053227702
122,"A",4,"Control-I",0.0970006452948476,1.16161227984075,0.0221322639777489
123,"A",4,"Control-I",0.103251960139885,1.11035903657686,-0.123698797278509
124,"A",4,"Control-I",0.109682702813129,1.0596397653474,-0.243161448385324
125,"A",4,"Control-I",0.116290967746738,1.00946949536705,-0.335371229670209
126,"A",4,"Control-I",0.123074796769195,0.959863093169574,-0.399645452173892
127,"A",4,"Control-I",0.130032179685553,0.910835258202529,-0.43550825204053
128,"A",4,"Control-I",0.137161054873101,0.862400518471526,-0.442694113647198
129,"A",4,"Control-I",0.144459309892268,0.814573226235254,-0.421149835388673
130,"A",4,"Control-I",0.151924782112581,0.767367553752601,-0.371034923563502
131,"A",4,"Control-I",0.159555259353506,0.720797489083104,-0.292720411445172
132,"A",4,"Control-I",0.167348480539954,0.674876831941991,-0.186786112281572
133,"A",4,"Control-I",0.175302136372299,0.629619189611021,-0.0540163265605564
134,"A",4,"Control-I",0.183413870010661,0.585037972906357,0.104605964676453
135,"A",4,"Control-I",0.1916812777733,0.541146392204648,0.287906377482199
136,"A",4,"Control-I",0.200101909848869,0.497957453528515,0.494527819731434
137,"A",4,"Control-I",0.208673271022352,0.455483954692583,0.722940538556233
138,"A",4,"Control-I",0.217392821414449,0.413738481511209,0.971453446100988
139,"A",4,"Control-I",0.226257977234195,0.372733404069038,1.23822663974526
140,"A",4,"Control-I",0.235266111544595,0.332480873055477,1.52128502409903
141,"A",4,"Control-I",0.244414555041041,0.292992816164186,1.81853293391797
142,"A",4,"Control-I",0.253700596842286,0.254280934558646,2.12776964967565
143,"A",4,"Control-I",0.263121485293734,0.216356699404847,2.44670569092104
144,"A",4,"Control-I",0.272674428782819,0.179231348472136,2.77297976679062
145,"A",4,"Control-I",0.282356596566215,0.142915882803225,3.10417625817995
146,"A",4,"Control-I",0.29216511960865,0.107421063454345,3.43784310214221
147,"A",4,"Control-I",0.30209709143306,0.0727574083065092,3.77150994610447
148,"A",4,"Control-I",0.312149568981845,0.038935188948841,4.10270643749379
149,"A",4,"Control-I",0.322319573488956,0.00596442763487873,4.42898051336338
150,"A",4,"Control-I",0.332604091362573,-0.026145105687233,4.74791655460876
151,"A",4,"Control-I",0.343000075078089,-0.0573838962697889,5.05715327036645
152,"A",4,"Control-I",0.353504444081168,-0.0877426873849516,5.35440118018538
153,"A",4,"Control-I",0.36411408570057,-0.117212483067718,5.63745956453916
