"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"B",3,"Control-I",1.34314576003298,3.27563734209381,2.62276991305104
2,"B",3,"Control-I",1.31962774062081,3.27479737457635,2.86446011279317
3,"B",3,"Control-I",1.29612366106771,3.27339770527278,3.10255818634704
4,"B",3,"Control-I",1.27264048613972,3.2714387489353,3.33530133887925
5,"B",3,"Control-I",1.24918517440837,3.26892108604497,3.56096642151812
6,"B",3,"Control-I",1.22576467618873,3.26584546263963,3.77788268894505
7,"B",3,"Control-I",1.20238593147989,3.26221279009286,3.98444416900834
8,"B",3,"Control-I",1.17905586790845,3.25802414484396,4.1791215527791
9,"B",3,"Control-I",1.15578139867575,3.2532807680789,4.36047351701952
10,"B",3,"Control-I",1.13256942050934,3.24798406536259,4.52715739523584
11,"B",3,"Control-I",1.1094268116193,3.24213560622236,4.67793911831128
12,"B",3,"Control-I",1.0863604296601,3.23573712368287,4.8117023511221
13,"B",3,"Control-I",1.06337710969853,3.22879051375258,4.92745675749218
14,"B",3,"Control-I",1.04048366218832,3.22129783486194,5.02434533229569
15,"B",3,"Control-I",1.01768687095203,3.21326130725342,5.10165074642309
16,"B",3,"Control-I",0.994993491170925,3.20468331232357,5.15880065763497
17,"B",3,"Control-I",0.972410247383178,3.19556639191744,5.19537194798371
18,"B",3,"Control-I",0.949943831491317,3.18591324757529,5.21109385643075
19,"B",3,"Control-I",0.927600900779234,3.17572673973212,5.20584998346655
20,"B",3,"Control-I",0.905388075939499,3.16500988687006,5.17967915289187
21,"B",3,"Control-I",0.883311939111505,3.15376586462389,5.13277512437991
22,"B",3,"Control-I",0.861379031931035,3.14199800484007,5.0654851589475
23,"B",3,"Control-I",0.839595853591838,3.12970979458943,4.97830744795602
24,"B",3,"Control-I",0.817968858919776,3.11690487513386,4.87188742467686
25,"B",3,"Control-I",0.796504456460118,3.10358704084736,4.74701298572927
26,"B",3,"Control-I",0.775209006578553,3.08976023809163,4.6046086577695
27,"B",3,"Control-I",0.754088819576474,3.07542856404676,4.44572875261888
28,"B",3,"Control-I",0.733150153821102,3.06059626549705,4.27154956150796
29,"B",3,"Control-I",0.712399213890993,3.04526773757268,4.08336064622778
30,"B",3,"Control-I",0.691842148737489,3.02944752244729,3.88255529166558
31,"B",3,"Control-I",0.671485049862654,3.01314030799204,3.67062019041091
32,"B",3,"Control-I",0.651333949514227,2.99635092638653,3.4491244358039
33,"B",3,"Control-I",0.631394818898137,2.97908435268686,3.21970790491711
34,"B",3,"Control-I",0.611673566409108,2.96134570335146,2.98406911747945
35,"B",3,"Control-I",0.592176035879871,2.94314023472496,2.74395266063035
36,"B",3,"Control-I",0.572908004849514,2.92447334148063,2.50113627260696
37,"B",3,"Control-I",0.553875182851468,2.90535055502179,2.25741768099223
38,"B",3,"Control-I",0.535083209721655,2.88577754184278,2.01460129296884
39,"B",3,"Control-I",0.516537653927275,2.86576010184983,1.77448483611974
40,"B",3,"Control-I",0.498244010916758,2.8453041666424,1.53884604868208
41,"B",3,"Control-I",0.480207701491335,2.82441579775559,1.30942951779529
42,"B",3,"Control-I",0.462434070198746,2.8031011848639,1.08793376318828
43,"B",3,"Control-I",0.444928383749529,2.78136664394714,0.87599866193361
44,"B",3,"Control-I",0.427695829456382,2.75921861541885,0.675193307371403
45,"B",3,"Control-I",0.410741513697052,2.73666366221787,0.487004392091226
46,"B",3,"Control-I",0.394070460401201,2.71370846786363,0.312825200980305
47,"B",3,"Control-I",0.377687609561712,2.69035983447561,0.153945295829687
48,"B",3,"Control-I",0.361597815770861,2.66662468075779,0.0115409678699219
49,"B",3,"Control-I",0.345805846781793,2.64251003994847,-0.113333471077669
50,"B",3,"Control-I",0.330316382095738,2.61802305773616,-0.219753494356838
51,"B",3,"Control-I",0.315134011575373,2.59317099014216,-0.306931205348317
52,"B",3,"Control-I",0.300263234084745,2.56796120137044,-0.374221170780722
53,"B",3,"Control-I",0.285708456156163,2.5424011616255,-0.42112519929268
54,"B",3,"Control-I",0.271473990684445,2.51649844489874,-0.447296029867363
55,"B",3,"Control-I",0.257564055648914,2.49026072672415,-0.452539902831565
56,"B",3,"Control-I",0.243982772863523,2.46369578190389,-0.436817994384528
57,"B",3,"Control-I",0.23073416675547,2.43681148220442,-0.400246704035782
58,"B",3,"Control-I",0.217822163172672,2.40961579402395,-0.3430967928239
59,"B",3,"Control-I",0.205250588220455,2.38211677603183,-0.265791378696502
60,"B",3,"Control-I",0.193023167127794,2.35432257678056,-0.168902803893001
61,"B",3,"Control-I",0.181143523143448,2.32624143229122,-0.0531483975229135
62,"B",3,"Control-I",0.169615176462313,2.29788166361298,0.0806148352879004
63,"B",3,"Control-I",0.158441543182314,2.26925167435734,0.231396558363347
64,"B",3,"Control-I",0.147625934292137,2.24035994820801,0.398080436579658
65,"B",3,"Control-I",0.137171554690117,2.21121504640698,0.579432400820078
66,"B",3,"Control-I",0.127081502234554,2.18182560521765,0.774109784590841
67,"B",3,"Control-I",0.117358766825752,2.15220033336572,0.98067126465413
68,"B",3,"Control-I",0.108006229520046,2.12234800945861,1.19758753208106
69,"B",3,"Control-I",0.0990266616760836,2.09227747938415,1.42325261471993
70,"B",3,"Control-I",0.0904227241336128,2.06199765368939,1.65599576725214
71,"B",3,"Control-I",0.0821969664250151,2.03151750494016,1.89409384080601
72,"B",3,"Control-I",0.0743518260198262,2.00084606506237,2.13578404054814
73,"B",3,"Control-I",0.0668896276024599,1.96999242266558,2.37927697679959
74,"B",3,"Control-I",0.0598125823833548,1.93896572034992,2.62276991305104
75,"B",3,"Control-I",0.0531227874437445,1.90777515199689,2.86446011279316
76,"B",3,"Control-I",0.0468222251142473,1.87642996004505,3.10255818634704
77,"B",3,"Control-I",0.0409127623874585,1.84493943275125,3.33530133887925
78,"B",3,"Control-I",0.0353961503647208,1.81331290143835,3.56096642151812
79,"B",3,"Control-I",0.0302740237372347,1.78155973773014,3.77788268894505
80,"B",3,"Control-I",0.0255479003016646,1.74968935077432,3.98444416900834
81,"B",3,"Control-I",0.0212191805103825,1.71771118445435,4.1791215527791
82,"B",3,"Control-I",0.017289147056484,1.68563471459106,4.36047351701952
83,"B",3,"Control-I",0.0137589644936984,1.65346944613475,4.52715739523583
84,"B",3,"Control-I",0.0106296788913069,1.62122491034863,4.67793911831128
85,"B",3,"Control-I",0.00790221752416873,1.58891066198456,4.81170235112209
86,"B",3,"Control-I",0.00557738859795072,1.55653627645172,4.92745675749218
87,"B",3,"Control-I",0.00365588100963739,1.52411134697925,5.02434533229569
88,"B",3,"Control-I",0.00213826414339668,1.49164548177353,5.10165074642308
89,"B",3,"Control-I",0.00102498770185896,1.45914830117109,5.15880065763496
90,"B",3,"Control-I",0.0003163815728604,1.4266294347879,5.19537194798371
91,"B",3,"Control-I",1.26557316900116e-05,1.39409851866588,5.21109385643075
92,"B",3,"Control-I",0.00011390017886934,1.36156519241755,5.20584998346655
93,"B",3,"Control-I",0.000620084913483787,1.3290390963696,5.17967915289187
94,"B",3,"Control-I",0.00153105994207191,1.29652986870627,5.13277512437991
95,"B",3,"Control-I",0.00284655532307259,1.26404714261331,5.0654851589475
96,"B",3,"Control-I",0.00456618124681346,1.23160054342351,4.97830744795603
97,"B",3,"Control-I",0.00668942815102094,1.19919968576445,4.87188742467686
98,"B",3,"Control-I",0.00921566687181378,1.16685417070953,4.74701298572927
99,"B",3,"Control-I",0.0121441488301383,1.13457358293294,4.6046086577695
100,"B",3,"Control-I",0.0154740062535886,1.1023674878695,4.44572875261889
101,"B",3,"Control-I",0.0192042524335456,1.07024542888025,4.27154956150796
102,"B",3,"Control-I",0.0233337820175611,1.03821692442451,4.08336064622779
103,"B",3,"Control-I",0.0278613713368968,1.00629146523939,3.88255529166558
104,"B",3,"Control-I",0.032785678769124,0.974478511527454,3.67062019041091
105,"B",3,"Control-I",0.0381052451356752,0.942787490153463,3.4491244358039
106,"B",3,"Control-I",0.0438184941342302,0.911227791850999,3.21970790491711
