"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"B",3,"Control-III",1.19325059806826,3.2223764341653,2.52000251021902
2,"B",3,"Control-III",1.17235719128845,3.22155012427472,2.75222261729543
3,"B",3,"Control-III",1.15147616867845,3.22017321318585,2.98099134765504
4,"B",3,"Control-III",1.13061371773591,3.21824610890714,3.20461497765741
5,"B",3,"Control-III",1.10977602045529,3.21576938248119,3.42143787618502
6,"B",3,"Control-III",1.08896925149601,3.21274376781549,3.62985476235683
7,"B",3,"Control-III",1.06819957635276,3.20917016146497,3.82832259046628
8,"B",3,"Control-III",1.04747314952854,3.2050496223663,4.01537197415183
9,"B",3,"Control-III",1.02679611271092,3.20038337152416,4.18961806521948
10,"B",3,"Control-III",1.00617459295216,3.19517279164938,4.34977080657433
11,"B",3,"Control-III",0.985614700853609,3.18941942674921,4.4946444833519
12,"B",3,"Control-III",0.96512252875502,3.18312498166986,4.62316650153615
13,"B",3,"Control-III",0.944704148929241,3.17629132159125,4.73438532907036
14,"B",3,"Control-III",0.92436561178288,3.16892047147433,4.8274775406675
15,"B",3,"Control-III",0.904112944063434,3.16101461546107,4.90175391416301
16,"B",3,"Control-III",0.883952147073438,3.15257609622724,4.95666453327455
17,"B",3,"Control-III",0.863889194892144,3.1436074142882,4.99180285898974
18,"B",3,"Control-III",0.843930032605278,3.13411122725797,5.00690873943881
19,"B",3,"Control-III",0.82408057454338,3.1240903490617,5.001870335968
20,"B",3,"Control-III",0.80434670252926,3.11354774910189,4.97672495115382
21,"B",3,"Control-III",0.784734264135087,3.10248655137841,4.93165875262784
22,"B",3,"Control-III",0.765249070949629,3.09091003356289,4.86700539475668
23,"B",3,"Control-III",0.745896896856151,3.07882162602739,4.78324354838178
24,"B",3,"Control-III",0.726683476321492,3.06622491082795,4.68099335690803
25,"B",3,"Control-III",0.707614502696816,3.05312362064314,4.56101184497889
26,"B",3,"Control-III",0.68869562653055,3.039521637668,4.42418731373085
27,"B",3,"Control-III",0.669932453894003,3.02542299246364,4.27153276412259
28,"B",3,"Control-III",0.651330544720172,3.0108318627629,4.10417839703027
29,"B",3,"Control-III",0.632895411156207,2.99575257223242,3.9233632456357
30,"B",3,"Control-III",0.614632515930045,2.98018958919141,3.73042600205816
31,"B",3,"Control-III",0.596547270731687,2.96414752528764,3.52679510614628
32,"B",3,"Control-III",0.578645034609597,2.94763113413084,3.31397816980923
33,"B",3,"Control-III",0.5609311123827,2.93064530988418,3.09355081518554
34,"B",3,"Control-III",0.54341075306845,2.91319508581396,2.8671450092881
35,"B",3,"Control-III",0.526089148327431,2.89528563279819,2.63643698149136
36,"B",3,"Control-III",0.50897143092496,2.87692225779429,2.40313481331549
37,"B",3,"Control-III",0.492062673210133,2.85811040226662,2.16896579238841
38,"B",3,"Control-III",0.475367885612782,2.83885564057394,1.93566362421253
39,"B",3,"Control-III",0.458892015158776,2.81916367831771,1.70495559641579
40,"B",3,"Control-III",0.442639944004107,2.79904035065132,1.47854979051836
41,"B",3,"Control-III",0.426616487988209,2.77849162055106,1.25812243589467
42,"B",3,"Control-III",0.410826395206911,2.75752357704914,1.04530549955761
43,"B",3,"Control-III",0.395274344605485,2.73614243342938,0.841674603645738
44,"B",3,"Control-III",0.379964944592164,2.71435452538606,0.648737360068194
45,"B",3,"Control-III",0.364902731672575,2.69216630914657,0.467922208673627
46,"B",3,"Control-III",0.350092169105476,2.66958435955824,0.300567841581305
47,"B",3,"Control-III",0.335537645580194,2.64661536814009,0.14791329197304
48,"B",3,"Control-III",0.321243473916162,2.62326614109999,0.0110887607250032
49,"B",3,"Control-III",0.307213889784937,2.59954359731783,-0.108892751204136
50,"B",3,"Control-III",0.29345305045508,2.5754547662953,-0.211142942677891
51,"B",3,"Control-III",0.279965033560268,2.55100678607292,-0.294904789052785
52,"B",3,"Control-III",0.266753835891003,2.52620690111486,-0.35955814692395
53,"B",3,"Control-III",0.253823372210274,2.50106246016226,-0.404624345449927
54,"B",3,"Control-III",0.241177474093533,2.47558091405562,-0.429769730264106
55,"B",3,"Control-III",0.228819888793312,2.44976981352701,-0.434808133734918
56,"B",3,"Control-III",0.216754278128834,2.42363680696255,-0.419702253285848
57,"B",3,"Control-III",0.204984217400937,2.39718963813609,-0.384563927570658
58,"B",3,"Control-III",0.193513194332633,2.37043614391453,-0.329653308459124
59,"B",3,"Control-III",0.182344608035622,2.34338425193559,-0.255376934963614
60,"B",3,"Control-III",0.171481768003061,2.31604197825869,-0.162284723366472
61,"B",3,"Control-III",0.160927893128892,2.28841742498962,-0.051065895832264
62,"B",3,"Control-III",0.150686110754011,2.2605187778797,0.0774561223519909
63,"B",3,"Control-III",0.140759455739571,2.23235430390018,0.222329799129554
64,"B",3,"Control-III",0.131150869567688,2.20393234879252,0.382482540484404
65,"B",3,"Control-III",0.121863199469816,2.17526133459542,0.556728631552064
66,"B",3,"Control-III",0.112899197583047,2.14634975714917,0.743778015237612
