"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"C",5,"Control-II",2.21543659734552,0.887831497067277,1.42801840804295
2,"C",5,"Control-II",2.17664506596213,0.887502634403774,1.57674381489082
3,"C",5,"Control-II",2.13787652752176,0.886954638242454,1.72325878693675
4,"C",5,"Control-II",2.09914246997907,0.886187670966407,1.8664785785888
5,"C",5,"Control-II",2.06045437107124,0.885201959844589,2.00534284061776
6,"C",5,"Control-II",2.02182369491694,0.883997796964479,2.13882347061191
7,"C",5,"Control-II",1.98326188861924,0.882575539145527,2.26593222468754
8,"C",5,"Control-II",1.94478037887357,0.880935607833418,2.3857280341009
9,"C",5,"Control-II",1.90639056858177,0.879078488975194,2.49732397259197
10,"C",5,"Control-II",1.86810383347315,0.877004732875252,2.59989382287614
11,"C",5,"Control-II",1.82993151873361,0.87471495403228,2.69267819366794
12,"C",5,"Control-II",1.79188493564385,0.872209830957166,2.77499014194843
13,"C",5,"Control-II",1.75397535822753,0.869490105971943,2.84622025885094
14,"C",5,"Control-II",1.71621401991062,0.866556584989819,2.90584118151117
15,"C",5,"Control-II",1.67861211019259,0.863410137276374,2.95341149747726
16,"C",5,"Control-II",1.64118077133083,0.860051695191969,2.98857901277319
17,"C",5,"Control-II",1.60393109503887,0.856482253915476,3.01108335941973
18,"C",5,"Control-II",1.56687411919971,0.85270287114938,3.0207579231079
19,"C",5,"Control-II",1.53002082459504,0.848714666806361,3.01753107675297
20,"C",5,"Control-II",1.49338213165142,0.844518822677437,3.00142671079639
21,"C",5,"Control-II",1.45696889720429,0.840116582081777,2.97256405632927
22,"C",5,"Control-II",1.42079191128089,0.835509249498279,2.93115680234715
23,"C",5,"Control-II",1.3848618939029,0.830698190179021,2.87751151367137
24,"C",5,"Control-II",1.3491894919099,0.825684829744711,2.81202536125045
25,"C",5,"Control-II",1.31378527580449,0.820470653762242,2.73518318164534
26,"C",5,"Control-II",1.27865973661997,0.815057207304489,2.64755388746912
27,"C",5,"Control-II",1.24382328281168,0.80944609449247,2.54978625535707
28,"C",5,"Control-II",1.20928623717272,0.803638978020009,2.44260412265146
29,"C",5,"Control-II",1.17505883377508,0.797637578661043,2.32680102836313
30,"C",5,"Control-II",1.14115121493706,0.791443674759724,2.20323433808624
31,"C",5,"Control-II",1.10757342821794,0.785059101703453,2.07281889636343
