"Day","Site","Trial_Number","Arm","Var1","Var2","Var3"
1,"C",3,"Control-I",2.32125018547775,0.772095145204664,1.00645364710337
2,"C",3,"Control-I",2.28060589462936,0.77180915257344,1.1112738842207
3,"C",3,"Control-I",2.23998569491197,0.771332592350984,1.21453622813752
4,"C",3,"Control-I",2.19940162296741,0.770665605752375,1.31547616058778
5,"C",3,"Control-I",2.15886570473207,0.769808390420137,1.4133463576274
6,"C",3,"Control-I",2.11838995187336,0.768761200365674,1.50742222255927
7,"C",3,"Control-I",2.0779863582304,0.767524345893997,1.59700725059368
8,"C",3,"Control-I",2.03766689625996,0.766098193511782,1.6814381855261
9,"C",3,"Control-I",1.99744351348878,0.764483165818758,1.76008993025409
10,"C",3,"Control-I",1.95732812897328,0.762679741382486,1.83238017477749
11,"C",3,"Control-I",1.91733262976765,0.760688454596546,1.897773707418
12,"C",3,"Control-I",1.87746886740147,0.758509895522189,1.95578637733912
13,"C",3,"Control-I",1.83774865436787,0.756144709713486,2.00598867902961
14,"C",3,"Control-I",1.7981837606232,0.753593598026038,2.04800893221198
15,"C",3,"Control-I",1.75878591009935,0.750857316409293,2.08153603363328
16,"C",3,"Control-I",1.71956677722972,0.74793667568255,2.10632176036467
17,"C",3,"Control-I",1.68053798348979,0.744832541294689,2.1221826075572
18,"C",3,"Control-I",1.64171109395345,0.74154583306772,2.12900114704748
19,"C",3,"Control-I",1.60309761386602,0.738077524924225,2.12672689675472
20,"C",3,"Control-I",1.56470898523501,0.734428644598759,2.1153766944324
21,"C",3,"Control-I",1.52655658343958,0.730600273333312,2.09503457300742
22,"C",3,"Control-I",1.48865171385976,0.726593545556912,2.06585113842974
23,"C",3,"Control-I",1.45100560852648,0.722409648549472,2.02804245463857
24,"C",3,"Control-I",1.41362942279321,0.718049822089971,1.98188844390063
25,"C",3,"Control-I",1.37653423203042,0.713515358089082,1.92773081436354
26,"C",3,"Control-I",1.33973102834372,0.70880760020635,1.86597053016831
27,"C",3,"Control-I",1.30323071731665,0.703927943452038,1.79706484285109
28,"C",3,"Control-I",1.2670441147791,0.698877833773753,1.72152390601281
29,"C",3,"Control-I",1.23118194360236,0.693658767627983,1.63990699832037
30,"C",3,"Control-I",1.19565483052174,0.688272291536664,1.55281838280308
31,"C",3,"Control-I",1.16047330298758,0.682720001628912,1.46090283310061
32,"C",3,"Control-I",1.12564778604575,0.677003543168055,1.36484085978452
33,"C",3,"Control-I",1.09118859924854,0.671124610064105,1.26534367209613
34,"C",3,"Control-I",1.05710595359667,0.665084944371819,1.16314791240207
35,"C",3,"Control-I",1.02340994851362,0.658886335774488,1.05901020235197
36,"C",3,"Control-I",0.99011056885291,0.652530621053618,0.953701541116471
37,"C",3,"Control-I",0.957217681939398,0.646019683544646,0.848001597179091
38,"C",3,"Control-I",0.92474103464536,0.639355452578875,0.742692935943589
39,"C",3,"Control-I",0.892690250502294,0.632539902911766,0.638555225893494
40,"C",3,"Control-I",0.861074826849254,0.625575054137776,0.536359466199438
41,"C",3,"Control-I",0.829904132018584,0.618462970091911,0.436862278511044
42,"C",3,"Control-I",0.799187402559882,0.611205758238165,0.340800305194957
43,"C",3,"Control-I",0.768933740503008,0.603805569045035,0.248884755492479
44,"C",3,"Control-I",0.739152110660957,0.596264595348286,0.161796139975188
45,"C",3,"Control-I",0.709851337973391,0.588585071701173,0.0801792322827475
46,"C",3,"Control-I",0.681040104891619,0.58076927371229,0.00463829544446891
47,"C",3,"Control-I",0.652726948805803,0.572819517371261,-0.0642673918727454
48,"C",3,"Control-I",0.624920259515136,0.564738158362458,-0.126027676067978
49,"C",3,"Control-I",0.597628276741774,0.556527591366966,-0.180185305605068
50,"C",3,"Control-I",0.570859087689222,0.548190249352984,-0.226339316343013
51,"C",3,"Control-I",0.544620624645923,0.539728602854886,-0.264148000134173
52,"C",3,"Control-I",0.518920662634749,0.531145159241147,-0.293331434711856
53,"C",3,"Control-I",0.493766817109093,0.522442461971354,-0.313673556136833
54,"C",3,"Control-I",0.46916654169625,0.513623089842529,-0.325023758459156
55,"C",3,"Control-I",0.445127125988743,0.504689656224971,-0.327298008751916
56,"C",3,"Control-I",0.421655693384258,0.49564480828786,-0.320479469261636
57,"C",3,"Control-I",0.398759198974831,0.486491226214844,-0.304618622069105
58,"C",3,"Control-I",0.376444427485902,0.477231622409842,-0.279832895337714
59,"C",3,"Control-I",0.354717991265856,0.467868740693298,-0.24630579391642
60,"C",3,"Control-I",0.33358632832664,0.458405355489135,-0.204285540734046
61,"C",3,"Control-I",0.313055700436041,0.448844271002623,-0.15408323904356
62,"C",3,"Control-I",0.29313219126219,0.439188320389443,-0.09607056912244
63,"C",3,"Control-I",0.273821704570841,0.429440364916152,-0.030677036481933
64,"C",3,"Control-I",0.255129962475954,0.419603293112336,0.0416132080414738
65,"C",3,"Control-I",0.237062503744113,0.409680019914671,0.12026495276946
66,"C",3,"Control-I",0.219624682153267,0.399673485803169,0.204695887701884
67,"C",3,"Control-I",0.202821664906293,0.389586655929844,0.294280915736292
68,"C",3,"Control-I",0.186658431099841,0.379422519240079,0.38835678066816
69,"C",3,"Control-I",0.171139770248918,0.369184087586937,0.486226977707781
70,"C",3,"Control-I",0.156270280867655,0.358874394838679,0.587166910158043
71,"C",3,"Control-I",0.142054369106664,0.348496495979768,0.69042925407486
72,"C",3,"Control-I",0.128496247447406,0.33805346620561,0.795249491192186
73,"C",3,"Control-I",0.115599933453936,0.327548400011304,0.900851569147779
74,"C",3,"Control-I",0.103369248582415,0.316984410274684,1.00645364710337
75,"C",3,"Control-I",0.091807817048732,0.306364627333897,1.1112738842207
76,"C",3,"Control-I",0.0809190647545648,0.295692198059822,1.21453622813752
77,"C",3,"Control-I",0.0707062182722176,0.284970284923583,1.31547616058778
78,"C",3,"Control-I",0.0611723038885144,0.27420206505944,1.4133463576274
79,"C",3,"Control-I",0.0523201467080452,0.263390729323337,1.50742222255927
80,"C",3,"Control-I",0.0441523698160281,0.252539481347378,1.59700725059367
81,"C",3,"Control-I",0.0366713935010315,0.24165153659053,1.6814381855261
82,"C",3,"Control-I",0.0298794345377901,0.230730121385804,1.76008993025409
83,"C",3,"Control-I",0.0237785055303269,0.21977847198423,1.83238017477749
84,"C",3,"Control-I",0.0183704143155761,0.208799833595879,1.897773707418
85,"C",3,"Control-I",0.0136567634276802,0.197797459428247,1.95578637733912
86,"C",3,"Control-I",0.0096389496231271,0.186774609722248,2.00598867902961
87,"C",3,"Control-I",0.00631816346685804,0.175734550786144,2.04800893221198
88,"C",3,"Control-I",0.00369538897947921,0.164680554027662,2.08153603363327
89,"C",3,"Control-I",0.0017714033456756,0.153615894984605,2.10632176036467
90,"C",3,"Control-I",0.000546776683914063,0.142543852354243,2.1221826075572
91,"C",3,"Control-I",2.18718775034197e-05,0.131467707021761,2.12900114704748
92,"C",3,"Control-I",0.000196844467066389,0.120390741088065,2.12672689675472
93,"C",3,"Control-I",0.00107164260444896,0.109316236897222,2.1153766944324
94,"C",3,"Control-I",0.00264600706808218,0.098247476063829,2.09503457300742
95,"C",3,"Control-I",0.00491947133979922,0.0871877385006059,2.06585113842974
96,"C",3,"Control-I",0.00789136174306983,0.0761403014464811,2.02804245463857
97,"C",3,"Control-I",0.01156079764263,0.065108438495477,1.98188844390063
98,"C",3,"Control-I",0.0159266917054287,0.0540954186266728,1.92773081436354
99,"C",3,"Control-I",0.020987750222832,0.0431045052355364,1.86597053016831
100,"C",3,"Control-I",0.0267424734939748,0.0321389551669087,1.79706484285109
101,"C",3,"Control-I",0.033189156270154,0.0212020177499311,1.72152390601282
102,"C",3,"Control-I",0.040325888260133,0.0102969338351986,1.63990699832038
103,"C",3,"Control-I",0.0481505546961994,-0.000573065165573712,1.55281838280308
104,"C",3,"Control-I",0.0566608369608185,-0.0114047582370882,1.46090283310061
105,"C",3,"Control-I",0.0658542132736882,-0.0221949357149209,1.36484085978452
106,"C",3,"Control-I",0.0757279594389968,-0.0329404002366137,1.26534367209613
107,"C",3,"Control-I",0.086279149652664,-0.0436379676891229,1.16314791240207
108,"C",3,"Control-I",0.0975046573693156,-0.0542844681523398,1.05901020235197
109,"C",3,"Control-I",0.109401156228748,-0.0648767468384069,0.953701541116472
110,"C",3,"Control-I",0.121965121041604,-0.0754116650265496,0.848001597179093
111,"C",3,"Control-I",0.135192828833954,-0.0858861009931462,0.742692935943589
112,"C",3,"Control-I",0.149080359950504,-0.0962969509367634,0.638555225893495
113,"C",3,"Control-I",0.163623599216066,-0.106641129897878,0.536359466199438
114,"C",3,"Control-I",0.178818237154976,-0.116915572673018,0.436862278511046
115,"C",3,"Control-I",0.194659771268087,-0.127117234723049,0.340800305194957
116,"C",3,"Control-I",0.211143507366952,-0.137243093075336,0.248884755492481
117,"C",3,"Control-I",0.228264560964817,-0.147290147219514,0.161796139975188
118,"C",3,"Control-I",0.246017858723999,-0.157255419996608,0.0801792322827484
119,"C",3,"Control-I",0.264398139959224,-0.167135958481226,0.00463829544446909
120,"C",3,"Control-I",0.283399958196482,-0.176928834856574,-0.0642673918727447
121,"C",3,"Control-I",0.303017682786938,-0.186631147282037,-0.126027676067978
122,"C",3,"Control-I",0.32324550057541,-0.196240020753048,-0.180185305605068
123,"C",3,"Control-I",0.344077417622934,-0.205752607953022,-0.226339316343012
